Index	Region, subregion, country or area *	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
1	WORLD	7383008.82	7476053.631	7571259.156	7668093.338	7766124.032	7865018.659	7964548.504	8064584.649	8165084.011	8266066.859	8367547.932	8469463.66	8571608.326	8673606.754	8774992.02300001	8875432.903	8974792.089	9073155.139	9170703.672	9267733.375	9364490.721	9461032.808	9557381.222	9653714.802	9750240.54099999	9847129.01099999	9944468.537	10042309.956	10140733.844	10239810.064	10339587.097	10440102.5	10541359.818	10643322.099	10745925.649	10849107.46	10952856.871	11057142.049	11161849.515	11266838.08	11371996.809	11477284.549	11582693.995	11688193.044	11793759.211	11899382.361	12005055.751	12110794.542	12216646.447	12322677.548	12428951.732	12535499.137	12642357.013	12749606.345	12857342.121	12965645.028	13074559.236	13184116.031	13294366.937	13405362.275	13517141.317	13629727.693	13743132.581	13857362.008	13972413.932	14088280.438	14204954.7	14322419.334	14440638.073	14559563.944	14679150.158	14799366.896	14920179.039	15041525.577	15163336.714	15285550.227	15408117.508	15531000.699	15654169.122	15777593.262	15901239.679	16025070.42	16149040.619	16273099.129	16397188.424	16521244.912
2	More developed regions	1253206.546	1258081.417	1263203.871	1268494.813	1273891.321	1279346.659	1284831.225	1290331.284	1295847.299	1301389.607	1306967.021	1312574.237	1318181.118	1323728.11	1329139.338	1334361.176	1339373.806	1344193.398	1348848.91	1353387.281	1357847.958	1362244.74	1366584.091	1370890.985	1375193.373	1379517.411	1383879.185	1388297.387	1392803.672	1397433.377	1402214.227	1407161.088	1412279.193	1417573.841	1423045.87	1428693.818	1434520.953	1440524.912	1446689.755	1452993.79	1459418.437	1465958.715	1472610.085	1479355.288	1486174.244	1493052.379	1499984.095	1506971.067	1514016.761	1521128.119	1528312.86	1535574.746	1542919.768	1550361.245	1557915.716	1565598.565	1573417.266	1581380.989	1589508.964	1597823.434	1606341.724	1615072.29	1624017.646	1633181.498	1642565.088	1652168.255	1661990.907	1672030.514	1682280.295	1692730.695	1703371.799	1714197.033	1725197.897	1736359.15	1747662.91	1759093.175	1770637.102	1782284.386	1794026.409	1805854.595	1817758.926	1829728.071	1841748.543	1853804.78	1865879.505	1877953.363
3	Less developed regions	6129802.274	6217972.214	6308055.285	6399598.525	6492232.711	6585672	6679717.279	6774253.365	6869236.712	6964677.252	7060580.911	7156889.423	7253427.208	7349878.644	7445852.68500001	7541071.727	7635418.283	7728961.741	7821854.762	7914346.094	8006642.763	8098788.068	8190797.131	8282823.817	8375047.16799999	8467611.59999999	8560589.352	8654012.569	8747930.172	8842376.687	8937372.87	9032941.412	9129080.625	9225748.25799999	9322879.77900001	9420413.642	9518335.91800001	9616617.137	9715159.76	9813844.29	9912578.37200001	10011325.834	10110083.91	10208837.756	10307584.967	10406329.982	10505071.656	10603823.475	10702629.686	10801549.429	10900638.872	10999924.391	11099437.245	11199245.1	11299426.405	11400046.463	11501141.97	11602735.042	11704857.973	11807538.841	11910799.593	12014655.403	12119114.935	12224180.51	12329848.844	12436112.183	12542963.793	12650388.82	12758357.778	12866833.249	12975778.359	13085169.863	13194981.142	13305166.427	13415673.804	13526457.052	13637480.406	13748716.313	13860142.713	13971738.667	14083480.753	14195342.349	14307292.076	14419294.349	14531308.919	14643291.549
4	Least developed countries	956631.108	980372.872	1004991.558	1030404.763	1056545.289	1083361.426	1110817.353	1138892.627	1167579.833	1196881.171	1226796.995	1257314.478	1288397.056	1319980.01	1351983.125	1384347.453	1417044.927	1450082.345	1483480.174	1517276.144	1551500.053	1586153.215	1621230.214	1656747.297	1692723.848	1729174.869	1766106.208	1803518.648	1841414.715	1879795.289	1918659.309	1958004.336	1997826.364	2038119.606	2078876.842	2120088.697	2161748.353	2203843.504	2246351.996	2289247.352	2332506.434	2376115.452	2420064.561	2464339.418	2508926.254	2553812.575	2598987.29	2644440.888	2690165.632	2736154.824	2782402.542	2828900.465	2875642.332	2922626.364	2969852.865	3017320.404	3065023.325	3112954.389	3161109.121	3209482.997	3258070.5	3306864.56	3355856.722	3405037.112	3454394.632	3503918.417	3553599.438	3603427.813	3653390.522	3703473.435	3753663.431	3803949.993	3854323.873	3904774.704	3955292.672	4005868.047	4056491.763	4107154.949	4157849.08	4208566.155	4259298.218	4310037.857	4360777.871	4411511.432	4462231.941	4512933.182
5	Less developed regions, excluding least developed countries	5173171.166	5237599.342	5303063.727	5369193.762	5435687.422	5502310.574	5568899.926	5635360.738	5701656.879	5767796.081	5833783.916	5899574.945	5965030.152	6029898.634	6093869.56	6156724.274	6218373.356	6278879.396	6338374.588	6397069.95	6455142.71	6512634.853	6569566.917	6626076.52	6682323.31999999	6738436.731	6794483.144	6850493.921	6906515.45699999	6962581.39799999	7018713.561	7074937.076	7131254.261	7187628.652	7244002.93700001	7300324.945	7356587.565	7412773.633	7468807.764	7524596.938	7580071.938	7635210.382	7690019.349	7744498.338	7798658.713	7852517.407	7906084.366	7959382.587	8012464.054	8065394.605	8118236.33	8171023.926	8223794.913	8276618.736	8329573.54	8382726.059	8436118.645	8489780.653	8543748.852	8598055.844	8652729.093	8707790.843	8763258.213	8819143.398	8875454.212	8932193.766	8989364.355	9046961.007	9104967.256	9163359.814	9222114.928	9281219.87000001	9340657.269	9400391.723	9460381.132	9520589.00500001	9580988.643	9641561.364	9702293.63300001	9763172.512	9824182.535	9885304.492	9946514.205	10007782.917	10069076.978	10130358.367
6	Less developed regions, excluding China	4701441.323	4781014.266	4862648.512	4945961.162	5030639.522	5116440.629	5203194.151	5290800.08	5379218.172	5468452.508	5558502.611	5649312.123	5740723.625	5832459.302	5924175.942	6015625.72	6106698.473	6197439.926	6287960.981	6378451.445	6469067.612	6559832.841	6650747.57	6741925.329	6833500.441	6925579.92699999	7018211.949	7111414.116	7205220.68899999	7299655.88099999	7394731.575	7490456.138	7586818.547	7683780.166	7781285.60800001	7879278.808	7977739.273	8076628.652	8175849.669	8275284.245	8374837.69000001	8474466.81	8574156.019	8673874.52500001	8773600.58599999	8873319.763	8973018.324	9072695.28	9172371.282	9272078.905	9371851.053	9471698.721	9571641.187	9671731.03300001	9772032.494	9872598.419	9973453.09	10074609.827	10176097.398	10277943.224	10380167.255	10482780.668	10585784.718	10689172.792	10792931.359	10897045.179	11001505.826	11106299.483	11211395.978	11316758.263	11422351.829	11528158.378	11634158.233	11740313.694	11846582.586	11952930.136	12059333.663	12165780.501	12272265.086	12378784.711	12485335.828	12591913.318	12698509.006	12805112.139	12911708.977	13018283.375
7	High-income countries	1180060.957	1187315.566	1194730.25	1202235.28	1209778.65	1217325.94	1224861.645	1232387.641	1239920.814	1247487.735	1255110.498	1262790.219	1270494.189	1278149.573	1285660.223	1292955.23	1300010.619	1306839.655	1313456.593	1319891.248	1326169.601	1332299.059	1338284.135	1344147.531	1349916.609	1355618.106	1361267.087	1366883.287	1372504.062	1378172.491	1383923.521	1389775.663	1395737.835	1401823.374	1408042.196	1414400.781	1420906.776	1427561.343	1434354.655	1441271.358	1448297.533	1455430.627	1462666.655	1469988.789	1477376.433	1484813.496	1492294.327	1499817.955	1507380.984	1514981.538	1522619.845	1530296.843	1538016.547	1545786.444	1553616.892	1561518.547	1569497.046	1577561.504	1585731.592	1594031.033	1602479.123	1611085.78	1619855.983	1628798.168	1637919.553	1647225.707	1656719.885	1666403.758	1676278.448	1686343.692	1696597.123	1707036.418	1717655.777	1728443.504	1739384.795	1750466.017	1761675.992	1773005.499	1784446.197	1795989.304	1807623.941	1819337.288	1831113.946	1842935.741	1854782.292	1866630.528
8	Middle-income countries	5558263.979	5625902.759	5694918.233	5764893.697	5835484.108	5906415.51	5977487.941	6048572.953	6119604.133	6190562.464	6261430.705	6332145.738	6402556.038	6472403.953	6541376.728	6609256.894	6675948.821	6741518.308	6806120.911	6869999.829	6933357.681	6996244.284	7058680.548	7120812.086	7182805.527	7244794.98	7306850.902	7369005.078	7431299.596	7493761.199	7556404.89	7619252.906	7682304.492	7745515.229	7808818.477	7872153.602	7935508.792	7998861.916	8062127.897	8125202.875	8188009.086	8250520.194	8312741.828	8374671.097	8436317.887	8497699.162	8558824.015	8619717.575	8680438.405	8741061.059	8801655.401	8862258.868	8922911.659	8983690.732	9044682.804	9105961.279	9167571.455	9229543.476	9291915.273	9354719.686	9417983.674	9481728.791	9545970.644	9610717.86	9675973.583	9741736.13	9808004.994	9874770.849	9942009.085	10009686.466	10077771.001	10146245.455	10215089.313	10284262.126	10353716.991	10423413.453	10493322.222	10563422.874	10633701.207	10704144.188	10774736.775	10845460.385	10916291.94	10987204.011	11058164.559	11129137.516
9	Upper-middle-income countries	2588362.98	2610248.06	2631886.107	2653163.867	2673996.657	2694328.014	2714131.018	2733407.306	2752182.391	2770499.348	2788397.59	2805891.096	2822948.758	2839486.577	2855390.686	2870586.646	2885056.389	2898847.944	2912036.958	2924731.827	2937024.063	2948945.787	2960515.702	2971797.329	2982860.43	2993762.34	3004538.336	3015208.336	3025792.97	3036305.881	3046756.597	3057160.658	3067524.104	3077832.521	3088061.957	3098192.523	3108225.861	3118162.543	3127979.798	3137649.169	3147152.026	3156487.732	3165667.782	3174702.233	3183606.419	3192398.504	3201091.718	3209706.653	3218279.774	3226854.714	3235471.738	3244155.852	3252930.869	3261834.659	3270907.804	3280185.732	3289693.919	3299451.791	3309479.834	3319796.085	3330416.356	3341353.624	3352619.972	3364227.13	3376185.59	3388502.033	3401179.461	3414215.318	3427601.651	3441326.148	3455375.862	3469741.292	3484411.47	3499369.146	3514594.39	3530066.907	3545767.536	3561677.145	3577776.727	3594045.868	3610462.407	3627002.067	3643638.206	3660341.923	3677081.895	3693824.665
10	Lower-middle-income countries	2969900.999	3015654.699	3063032.126	3111729.83	3161487.451	3212087.496	3263356.923	3315165.647	3367421.742	3420063.116	3473033.115	3526254.642	3579607.28	3632917.376	3685986.042	3738670.248	3790892.432	3842670.364	3894083.953	3945268.002	3996333.618	4047298.497	4098164.846	4149014.757	4199945.097	4251032.64	4302312.566	4353796.742	4405506.626	4457455.318	4509648.293	4562092.248	4614780.388	4667682.708	4720756.52	4773961.079	4827282.931	4880699.373	4934148.099	4987553.706	5040857.06	5094032.462	5147074.046	5199968.864	5252711.468	5305300.658	5357732.297	5410010.922	5462158.631	5514206.345	5566183.663	5618103.016	5669980.79	5721856.073	5773775	5825775.547	5877877.536	5930091.685	5982435.439	6034923.601	6087567.318	6140375.167	6193350.672	6246490.73	6299787.993	6353234.097	6406825.533	6460555.531	6514407.434	6568360.318	6622395.139	6676504.163	6730677.843	6784892.98	6839122.601	6893346.546	6947554.686	7001745.729	7055924.48	7110098.32	7164274.368	7218458.318	7272653.734	7326862.088	7381082.664	7435312.851
