BEL	Бельгия	-999	-999.00	-999.00	100.00%	11620.0	0.15%	30528	0.02%
BIH	Босния и Герцоговина	-999	-999.00	-999.00	100.00%	3498.2	0.05%	51209	0.03%
IRL	Ирландия	-999	-999.00	-999.00	100.00%	4888.0	0.06%	70273	0.05%
ISL	Исландия	-999	-999.00	-999.00	100.00%	343.2	0.00%	103000	0.07%
CYP	Кипр	-999	-999.00	-999.00	100.00%	1207.3	0.02%	9251	0.01%
KOS	Косово	-999	-999.00	-999.00	100.00%	1810.5	0.02%	10887	0.01%
LUX	Люксембург	-999	-999.00	-999.00	100.00%	603.9	0.01%	2586	0.00%
PRT	Португалия	-999	-999.00	-999.00	100.00%	10218.4	0.13%	92090	0.06%
MKD	Македония	-999	-999.00	-999.00	100.00%	2088.0	0.03%	25713	0.02%
FIN	Финляндия	-999	-999.00	-999.00	100.00%	5580.1	0.07%	338424	0.22%
MNE	Монтенегро	-999	-999.00	-999.00	100.00%	629.4	0.01%	13812	0.01%
CHE	Швейцария	-999	-999.00	-999.00	100.00%	8670.5	0.11%	41284	0.03%
SWE	Швеция	1976	0.03	-999.00	-3330000.00%	10121.7	0.13%	450295	0.30%
SVN	Словения	1993	0.00	-999.00	-49182143.78%	2082.1	0.03%	20273	0.01%
AUT	Австрия	1965	1.40	0.55	39.24%	8782.2	0.11%	83871	0.06%
DEU	Германия	1975	4.70	1.90	40.44%	82540.4	1.06%	357114	0.24%
ROU	Румыния	1976	15.09	3.32	22.00%	19388.4	0.25%	238397	0.16%
HUN	Венгрия	1982	2.00	0.83	41.60%	9621.3	0.12%	93028	0.06%
SRB	Сербия	1982	1.90	0.77	40.63%	8703.9	0.11%	88361	0.06%
HRV	Хорватия	1982	2.50	0.60	24.08%	4115.9	0.05%	56594	0.04%
ALB	Албания	1983	3.70	0.73	19.63%	2942.0	0.04%	28748	0.02%
ESP	Испания	1983	2.80	0.03	1.00%	46459.2	0.60%	505992	0.34%
GRC	Греция	1984	1.30	0.09	7.06%	11102.6	0.14%	131990	0.09%
BGR	Болгария	1985	0.30	0.05	16.93%	6940.5	0.09%	110879	0.07%
NLD	Нидерланды	1986	4.50	1.66	36.93%	17181.2	0.22%	41850	0.03%
FRA	Франция	1988	3.30	0.66	19.91%	65721.2	0.85%	640679	0.43%
TUR	Турция	1991	4.30	3.14	72.92%	83835.8	1.08%	783562	0.52%
SVK	Словакия	1996	0.08	0.00	5.09%	5451.4	0.07%	49037	0.03%
NOR	Норвегия	1997	156.23	81.46	52.14%	5449.7	0.07%	323802	0.22%
GBR	Великобритания	1999	137.10	45.14	32.92%	67334.2	0.87%	242495	0.16%
CZE	Чехия	2003	0.30	0.09	31.19%	10633.4	0.14%	78865	0.05%
DNK	Дания	2004	19.06	3.52	18.47%	5796.8	0.07%	43094	0.03%
ITA	Италия	2005	6.11	5.42	88.71%	59132.1	0.76%	301336	0.20%
POL	Польша	2018	1.05	0.95	90.80%	37942.2	0.49%	312679	0.21%
	Всего Eurozone:	1999	330.03	149.26	45.23%	622435.9	8.01%	5771998	3.84%
