BTN	Бутан	-999	-999.00	-999.00	100.00%	835.2	0.01%	38394	0.03%
KHM	Камбоджа	-999	-999.00	-999.00	100.00%	16715.5	0.22%	181035	0.12%
LAO	Лаос	-999	-999.00	-999.00	100.00%	7164.8	0.09%	236800	0.16%
NPL	Непал	-999	-999.00	-999.00	100.00%	30260.2	0.39%	147181	0.10%
PRK	Северная Корея	-999	-999.00	-999.00	100.00%	25840.9	0.33%	120540	0.08%
KOR	Южная Корея	-999	-999.00	-999.00	100.00%	51507.0	0.66%	100210	0.07%
IDN	Индонезия	1977	84.94	35.13	41.36%	272223.0	3.50%	1910931	1.27%
BRN	Бруней-Даруссалам	1979	12.74	5.03	39.48%	444.5	0.01%	5765	0.00%
TWN	Тайвань	1980	0.30	0.01	3.32%	23780.5	0.31%	36197	0.02%
MMR	Мьянма (Бирма)	1984	1.60	0.44	27.23%	54808.3	0.71%	676578	0.45%
JPN	Япония	1992	0.80	0.22	27.58%	126495.6	1.63%	377930	0.25%
PNG	Папуа-Новая Гвинея	1993	6.20	2.03	32.81%	8755.7	0.11%	462840	0.31%
AUS	Австралия	2000	33.60	15.49	46.10%	25398.2	0.33%	7692024	5.11%
BGD	Бангладеш	2004	0.30	0.15	50.78%	169775.3	2.18%	147570	0.10%
VNM	Вьетнам	2004	19.99	9.60	48.02%	98360.1	1.27%	331212	0.22%
MYS	Малайзия	2004	35.76	25.25	70.61%	32869.3	0.42%	330803	0.22%
TLS	Восточный Тимор	2006	4.90	0.71	14.51%	1381.4	0.02%	14874	0.01%
NZL	Новая Зеландия	2008	2.90	0.49	16.94%	4834.4	0.06%	270467	0.18%
PHL	Филиппины	2014	1.80	0.10	5.38%	109703.4	1.41%	300000	0.20%
THA	Таиланд	2016	9.71	7.17	73.84%	69410.9	0.89%	513120	0.34%
	Всего Other Asia:	-999	-999.00	-999.00	100.00%	1130564.3	14.54%	13894471	9.23%
