#														
# Contains metadata to API international production files														
#														
Code	Region	Group	Order	EnglishName	RussianName	Population	Territory	GDP	GDP_PPP	Peak_Year	Peak_Production	Production_2020	2020_to_peak	Density_2020
BRA	SAM	3	232	Brazil	Бразилия	213863.046	8515767.0	9179	16234	2020	156.07	156.07	No	0.912
GUY	SAM	3	233	Guyana	Гайяна	790.782	214969.0	4929	11368	2020	3.77	3.77	No	0.894
GHA	AFR	3	234	Ghana	Гана	30733.755	238533.0	2157	5563	2020	10.10	10.10	No	0.849
GRP1	GEN	0	235	Group 1 – No Production	Группа 1 – добычи нет	948778.700	32832451.0	7213	10403	2006	1.51	-999.00	No	0.833
GRP2	GEN	0	236	Group 2 – Peak Before 2011	Группа 2 – пик добычи до 2011 г.	2648962.600	54839459.0	12739	19845	2005	1726.00	956.30	Yes	0.833
GRP3	GEN	0	237	Group 3 – Peak After 2010 or Not Yet	Группа 3 – пик добычи после 2010 или не пройден	2811314.100	59453020.0	14965	23397	2019	2818.10	2594.30	Yes	0.833
TOPPRD	GEN	0	238	Top Producers	Страны с существенной добычей (более 1% от общей 2018 г)	2941029.400	73130510.0	16309	24797	2018	3366.60	3149.20	No	0.833
GRPAFR	GEN	0	239	Afrozone	Афрозона	1347821.300	30309225.0	1794	5168	2008	505.80	402.06	Yes	0.833
GRPNAM	GEN	0	240	North America	Северная Америка	502961.500	23640198.0	47268	50761	2019	725.18	673.85	No	0.798
GRPSAM	GEN	0	241	South America	Южная Америка	527846.500	18541175.0	8593	15048	2015	383.43	286.93	No	0.901
GRPEUR	GEN	0	242	Eurozone	Еврозона	622435.900	5771998.0	32246	41230	1999	330.03	149.26	Yes	0.823
GRPCIS	GEN	0	243	Former CIS	Страны бывшего СНГ	297603.300	22307772.0	7664	20860	2019	701.34	701.34	Yes	0.849
GRPMEA	GEN	0	244	Middle East	Ближний Восток	263989.300	5529925.0	263989	5529925	2018	1416.37	1343.78	Yes	0.830
GRPASA	GEN	0	245	Other Asia	Прочая Азия	-999.000	-999.0	-999	-999	-999	-999.00	-999.00	Yes	0.790
GRPCHI	GEN	0	246	Chinazone	Китазона	1427797.900	11200050.0	9505	18596	2015	218.40	195.25	Yes	0.858
GRPIND	GEN	0	247	Indozone	Индозона	1646779.800	4887649.0	1959	7650	2014	43.75	38.20	Yes	0.817
