Year	Crude	NGPL
1973	30199.1	0.0
1974	31468.1	0.0
1975	30567.4	0.0
1976	33025.5	0.0
1977	34453.4	0.0
1978	34757.6	0.0
1979	37106.6	0.0
1980	37524.6	2294.7
1981	35848.4	2446.3
1982	32547.5	2441.5
1983	31438.7	2393.2
1984	31872.0	2522.7
1985	31152.0	2575.1
1986	33378.1	2635.2
1987	33197.0	2672.8
1988	34734.7	2806.7
1989	34593.8	2735.4
1990	34525.4	2859.3
1991	33896.0	3005.2
1992	32552.8	2937.9
1993	31284.8	2981.2
1994	30690.4	3237.2
1995	31036.1	3306.7
1996	31237.9	3406.1
1997	32404.6	3456.6
1998	33535.6	3502.7
1999	33320.2	3611.6
2000	34865.8	3738.8
2001	34617.0	3882.0
2002	34465.9	4001.0
2003	35960.6	4192.6
2004	37990.9	4771.6
2005	38815.6	5003.6
2006	38970.9	5108.4
2007	38934.0	5254.2
2008	40141.7	5302.8
2009	39890.1	5381.4
2010	41836.2	5566.7
2011	43517.6	5949.1
2012	45411.1	6274.1
2013	46751.5	6610.0
2014	48923.9	6973.6
2015	51250.8	7355.1
2016	51299.9	7450.6
2017	51783.4	7359.9
2018	54114.7	7967.1
2019	55495.5	8510.5
2020	51853.3	8754.6
