,1000 bbl/d,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gibraltar,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Greece,EUR,0.000,8.000,21.000,24.000,26.000,25.000,25.000,24.000,21.000,17.000,15.000,16.000,13.000,11.000,10.000,9.000,8.000,9.100,6.500,0.300,4.749,4.992,3.162,2.830,2.836,2.668,1.838,1.247,1.000,1.168,2.334,1.751,1.669,1.247,1.162,1.077,3.172,2.753
Greenland,NAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Grenada,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Guadeloupe,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Guam,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Guatemala,SLM,5.000,5.000,6.000,7.000,5.000,3.000,5.000,4.000,3.000,4.000,4.000,4.400,4.800,7.000,8.300,9.500,13.000,16.000,24.000,23.000,20.680,21.080,17.995,21.995,19.811,17.153,20.145,15.818,15.525,13.510,11.953,10.945,10.565,9.987,10.052,10.039,8.977,9.666
Guinea,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Guinea-Bissau,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Guyana,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Haiti,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hawaiian Trade Zone,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hong Kong,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hungary,EUR,38.000,38.000,41.000,40.000,40.000,37.000,37.000,35.000,39.000,36.000,40.000,34.000,33.000,34.000,39.000,35.000,32.000,35.000,26.000,24.000,26.995,27.189,24.074,25.000,23.680,19.167,17.825,16.323,15.921,15.915,14.408,12.992,12.913,12.000,11.496,12.000,13.833,14.003
Iceland,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
India,APAC,182.000,325.000,390.000,480.000,519.000,620.000,630.000,609.000,635.000,700.000,660.000,615.000,561.000,534.000,590.000,703.000,651.000,675.000,661.000,653.000,646.342,642.397,664.753,660.027,683.109,664.658,691.216,697.531,693.713,680.433,751.300,782.341,779.155,772.076,767.498,761.044,734.503,733.877
Indonesia,APAC,1577.000,1605.000,1339.000,1343.000,1412.000,1325.000,1390.000,1343.000,1342.000,1409.000,1462.000,1592.000,1504.000,1511.000,1510.000,1503.000,1547.000,1520.000,1518.000,1472.000,1428.380,1340.000,1249.027,1155.370,1095.639,1058.905,1005.909,953.914,976.724,948.804,944.886,902.054,859.742,828.238,789.000,785.762,831.620,801.236
Iran,MEA,1662.000,1380.000,2214.000,2440.000,2174.000,2250.000,2035.000,2298.000,2240.000,2810.000,3088.000,3312.000,3429.000,3540.000,3618.000,3643.000,3686.000,3664.000,3634.000,3557.000,3696.300,3723.701,3444.301,3742.795,4001.434,4138.575,4027.808,3911.890,4050.273,4037.038,4080.419,4054.000,3386.850,3113.299,3239.068,3300.000,4067.678,4446.384
Iraq,MEA,2514.000,1000.000,1012.000,1005.000,1209.000,1433.000,1690.000,2079.000,2685.000,2897.000,2040.000,305.000,425.000,512.000,553.000,560.000,579.000,1155.000,2150.000,2508.000,2570.683,2390.000,2023.000,1308.247,2011.470,1877.658,1995.603,2086.292,2375.266,2390.592,2399.303,2625.685,2983.333,3054.384,3368.041,4054.041,4451.516,4466.942
Ireland,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Israel,MEA,35.000,36.000,1.000,1.000,1.000,1.000,1.000,0.300,0.400,0.300,0.200,0.200,0.200,0.200,0.100,0.100,0.200,0.300,0.200,0.200,0.080,0.080,0.100,0.060,0.075,0.100,0.100,0.100,0.100,0.100,0.100,0.390,0.390,0.390,0.390,0.390,0.390,0.390
Italy,EUR,38.000,37.000,35.000,45.000,45.000,45.000,49.000,67.000,90.000,82.000,87.000,80.000,83.000,83.000,86.000,93.000,101.000,112.000,107.000,82.000,90.000,78.460,85.362,95.849,104.167,114.608,110.342,107.937,99.451,82.781,96.005,99.178,100.967,101.775,106.288,100.211,70.675,77.526
Jamaica,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Japan,APAC,10.000,7.000,9.000,9.000,8.000,11.000,13.000,12.000,12.000,11.000,11.000,15.000,17.000,12.000,11.000,11.000,12.000,9.900,9.000,7.900,7.000,6.334,5.332,5.000,6.000,6.581,6.000,5.666,6.000,5.329,4.995,5.000,5.000,4.666,4.751,4.247,3.918,3.841
Jordan,MEA,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.500,0.500,0.200,0.300,0.300,0.050,0.031,0.025,0.030,0.031,0.040,0.031,0.040,0.040,0.040,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.018,0.022,0.022,0.022,0.022,0.022,0.022
Kazakhstan,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.000,408.000,415.000,414.000,457.000,521.000,526.000,604.000,718.000,814.863,939.192,1026.710,1203.249,1288.285,1313.334,1360.425,1345.421,1455.151,1525.199,1552.937,1514.475,1572.899,1632.077,1653.055,1595.199,1776.816
Kenya,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kiribati,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Korea_ North,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Korea_ South,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kosovo,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,MEA,1656.000,1125.000,823.000,1064.000,1157.000,1023.000,1419.000,1585.000,1492.000,1783.000,1175.000,190.000,1058.000,1852.000,2025.000,2057.000,2062.000,2007.000,2085.000,1898.000,2078.500,1997.500,1894.160,2136.000,2375.697,2529.178,2535.342,2464.096,2585.749,2350.000,2300.411,2530.137,2634.945,2650.000,2642.055,2803.671,2923.825,2774.482
Kyrgyzstan,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.100,1.900,1.500,1.900,1.900,1.700,1.600,1.500,2.000,2.000,1.520,1.380,1.400,2.000,2.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Laos,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Latvia,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lebanon,MEA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lesotho,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Liberia,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Libya,AFR,1787.000,1140.000,1150.000,1105.000,1087.000,1059.000,1034.000,972.000,1175.000,1150.000,1375.000,1483.000,1433.000,1361.000,1378.000,1390.000,1401.000,1446.000,1390.000,1319.000,1410.027,1366.548,1318.521,1420.521,1515.219,1633.110,1681.041,1701.808,1735.833,1650.000,1650.000,465.397,1366.803,918.329,470.836,403.973,384.686,818.068
Lithuania,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,1.600,2.900,3.200,3.000,3.800,5.500,4.600,5.984,9.555,8.840,7.758,6.108,4.386,3.673,3.087,3.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Luxembourg,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Macau,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Macedonia,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Madagascar,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Malawi,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Malaysia,APAC,283.000,264.000,306.000,365.000,440.000,440.000,504.000,497.000,540.000,585.000,619.000,646.000,653.000,640.000,645.000,682.000,695.000,700.000,720.000,693.000,690.027,659.205,698.460,737.857,763.475,726.444,691.808,682.482,687.964,658.704,638.260,569.934,585.560,575.795,602.975,654.178,666.934,647.915
Maldives,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mali,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Malta,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Martinique,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mauritania,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.619,14.992,12.833,11.245,8.232,7.738,6.577,6.750,6.003,5.247,4.836,4.000
Mauritius,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mexico,NAM,1936.000,2313.000,2748.000,2689.000,2780.000,2745.000,2435.000,2548.000,2512.000,2520.000,2553.000,2680.000,2669.000,2673.000,2782.000,2711.000,2944.000,3104.000,3160.000,2998.000,3104.070,3217.982,3262.895,3458.681,3475.825,3423.124,3345.428,3142.953,2838.989,2645.843,2621.139,2599.847,2592.505,2561.858,2468.548,2302.493,2186.874,1981.085
Micronesia,APAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moldova,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mongolia,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.200,0.179,0.202,0.381,0.501,0.589,0.550,1.032,2.329,3.208,5.123,5.976,6.983,9.935,14.051,20.288,23.177,23.426,20.000
Montenegro,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Montserrat,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Morocco,AFR,1.000,1.000,1.000,1.000,1.000,1.000,0.500,0.400,0.400,0.300,0.300,0.300,0.200,0.200,0.200,0.300,0.300,0.080,0.100,0.200,0.300,0.400,0.260,0.200,0.200,0.140,0.200,0.220,0.180,0.160,0.200,0.200,0.140,0.160,0.160,0.160,0.160,0.160
Mozambique,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Namibia,AFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nauru,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nepal,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Netherlands,EUR,25.000,27.000,38.000,53.000,61.000,76.000,93.000,87.000,77.000,64.000,70.000,74.000,53.000,50.000,78.000,66.000,56.000,53.000,52.000,32.000,28.780,26.203,46.329,46.948,42.639,31.742,26.323,39.904,33.508,25.485,20.000,22.255,20.833,21.986,29.468,27.304,18.087,17.915
Netherlands (Offshore),EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands Antilles,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
New Caledonia,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
New Zealand,APAC,7.000,10.000,15.000,15.000,17.000,19.000,29.000,28.000,33.000,38.000,40.000,41.000,38.000,41.000,39.000,32.000,37.000,58.000,47.000,42.000,36.000,33.164,30.389,23.992,19.517,18.978,17.085,41.137,59.986,55.888,53.038,46.323,41.079,35.266,39.266,41.285,34.727,31.485
Nicaragua,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Niger,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.712,20.000,20.000,20.000,14.000,13.000,11.000
Nigeria,AFR,2055.000,1433.000,1295.000,1241.000,1388.000,1495.000,1467.000,1341.000,1450.000,1716.000,1810.000,1892.000,1943.000,1960.000,1931.000,1993.000,2001.000,2132.000,2153.000,2130.000,2165.000,2256.156,2117.863,2275.000,2328.962,2627.438,2439.863,2349.644,2165.440,2208.311,2408.027,2473.751,2457.109,2307.318,2347.178,2171.162,1871.205,1967.693
Niue,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Norway,EUR,486.000,474.000,492.000,615.000,707.000,773.000,841.000,982.000,1113.000,1483.000,1630.000,1871.000,2132.000,2282.000,2570.000,2766.000,3091.000,3142.000,3011.000,3019.000,3221.517,3226.327,3130.584,3042.114,2954.475,2697.942,2490.578,2270.222,2181.956,2067.425,1870.605,1759.521,1611.568,1532.671,1562.184,1610.271,1647.975,1617.666
Oman,MEA,282.000,319.000,324.000,375.000,414.000,498.000,560.000,582.000,617.000,641.000,685.000,700.000,740.000,776.000,810.000,851.000,883.000,904.000,900.000,910.000,970.000,913.000,896.723,819.000,750.959,774.302,737.651,710.359,757.321,812.514,864.588,885.682,918.568,939.922,943.480,981.972,1006.841,970.356
Pakistan,APAC,10.000,10.000,12.000,13.000,17.000,35.000,42.000,42.000,45.000,48.000,62.000,62.000,61.000,60.000,55.000,57.000,55.000,57.000,55.000,53.000,54.421,59.870,64.268,60.000,62.000,65.626,65.666,70.249,63.661,62.414,65.000,66.000,71.000,81.000,94.000,90.214,85.503,89.721
Palestinian Territories,MEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Panama,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Papua New Guinea,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,53.000,126.000,110.000,100.000,103.000,80.000,79.000,97.000,70.062,67.500,55.153,50.493,45.579,40.281,48.496,38.463,41.355,39.548,30.795,29.162,27.331,22.962,35.351,52.603,55.992,51.162
Paraguay,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Peru,SLM,195.000,193.000,195.000,171.000,184.000,190.000,178.000,164.000,141.000,130.000,129.000,115.000,116.000,126.000,128.000,130.000,120.000,118.000,116.000,106.000,95.588,93.096,92.865,87.350,79.900,75.454,77.573,77.113,76.577,71.032,72.688,69.544,66.655,62.893,69.304,58.008,40.266,43.523
Philippines,APAC,15.000,2.000,8.000,13.000,12.000,9.000,8.000,6.000,6.000,5.000,4.700,3.000,8.000,9.100,6.100,3.400,2.000,1.000,0.800,0.900,1.144,8.460,9.852,13.781,25.000,25.000,25.000,24.622,24.551,35.000,33.000,34.000,30.000,35.000,38.000,24.123,20.000,15.000
Poland,EUR,7.000,7.000,5.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000,2.000,3.000,3.200,4.900,5.000,4.600,5.000,6.000,7.400,9.000,13.008,14.732,13.321,14.636,16.664,15.904,14.986,13.660,14.167,12.405,12.910,12.488,13.402,19.225,19.258,18.416,20.104,20.071
Portugal,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Puerto Rico,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
