,1000 bbl/d,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belarus,FSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.000,40.000,40.000,38.000,36.000,36.000,36.000,37.000,37.000,37.000,36.507,36.400,36.333,35.000,35.000,35.000,35.000,33.000,30.000,30.000,30.000,30.000,30.000,26.085,32.667,32.000
Belgium,EUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Belize,SLM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.257,3.000,3.511,3.990,4.252,4.000,3.239,3.000,1.818,2.000,2.000,2.000
Benin,AFR,0.000,0.000,0.000,4.000,7.000,8.000,8.000,7.000,5.000,4.000,4.000,4.000,5.600,5.800,5.900,3.000,2.000,1.300,1.000,1.000,0.690,0.700,0.800,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bermuda,NAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bhutan,APAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bolivia,SLM,27.000,22.000,24.000,22.000,21.000,20.000,18.000,19.000,19.000,20.000,21.000,21.000,21.000,22.000,23.000,28.000,30.000,29.000,35.000,32.000,29.923,34.337,32.164,29.332,47.635,50.734,48.896,49.181,38.877,33.780,34.542,35.515,41.581,47.492,51.099,55.605,59.328,59.326
Bosnia and Herzegovina,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Botswana,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brazil,SLM,182.000,213.000,260.000,339.000,475.000,564.000,572.000,566.000,554.000,596.000,631.000,630.000,626.000,643.000,671.000,695.000,795.000,841.000,969.000,1132.000,1269.000,1295.146,1455.192,1496.110,1477.369,1633.574,1722.733,1747.996,1812.228,1950.364,2054.668,2105.408,2061.225,2023.875,2254.600,2437.445,2515.459,2621.797
Brunei,APAC,235.000,163.000,154.000,162.000,160.000,153.000,166.000,139.000,137.000,132.000,150.000,161.000,165.000,165.000,167.000,163.000,155.000,160.000,157.000,182.000,193.000,195.225,163.000,169.944,178.173,187.679,199.074,149.699,133.486,128.608,131.085,156.452,145.658,122.142,114.449,115.329,109.117,100.644
Bulgaria,EUR,3.000,3.000,3.000,3.000,4.000,6.000,6.000,6.000,4.400,5.000,4.000,1.200,1.100,1.000,1.100,1.000,0.700,0.600,0.800,0.800,0.851,0.603,0.740,0.600,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Burkina Faso,AFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
