Year	Crude	NGPL
1973	0.0	0.0
1974	0.0	0.0
1975	0.0	0.0
1976	0.0	0.0
1977	0.0	0.0
1978	0.0	0.0
1979	0.0	0.0
1980	0.5	0.0
1981	0.1	0.0
1982	0.3	0.0
1983	4.4	0.0
1984	7.2	0.0
1985	8.1	0.0
1986	9.0	0.0
1987	7.5	0.0
1988	5.5	0.0
1989	4.2	0.0
1990	4.3	0.0
1991	4.3	0.0
1992	5.6	0.0
1993	5.9	0.0
1994	5.9	0.0
1995	3.0	0.0
1996	2.0	0.0
1997	1.3	0.0
1998	1.0	0.0
1999	1.0	0.0
2000	0.8	0.0
2001	0.8	0.0
2002	0.8	0.0
2003	0.4	0.0
2004	0.0	0.0
2005	0.0	0.0
2006	30.6	0.0
2007	15.0	0.0
2008	12.9	0.0
2009	11.3	0.0
2010	8.3	0.0
2011	7.8	0.0
2012	6.6	0.0
2013	6.8	0.0
2014	6.0	0.0
2015	5.3	0.0
2016	4.9	0.0
2017	3.5	0.0
2018	0.0	0.0
2019	0.0	0.0
2020	0.0	0.0
