#
# This file contains data, downloaded from EIA in 2015
# Used for comparison with the latest inputs
#
Code	Region	Country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
BWA	AFR	Botswana	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BRA	SAM	Brazil	182.000	213.000	260.000	339.000	475.000	564.000	572.000	566.000	554.000	596.000	630.500	630.000	625.915	643.000	671.425	695.425	795.003	841.422	968.500	1131.800	1269.000	1295.146	1455.192	1496.110	1477.369	1633.574	1722.733	1747.996	1812.228	1950.364	2054.668	2105.408	2061.225	2023.875	2254.600
BRN	АSA	Brunei Darussalam	235.000	163.000	154.000	162.000	160.000	153.000	166.000	139.000	137.000	132.000	150.000	161.200	165.273	165.000	167.207	163.000	155.396	160.000	157.400	182.000	193.000	195.225	163.000	169.944	178.173	190.868	198.238	155.244	133.486	130.608	136.162	156.452	145.658	121.981	111.838
BGR	EUR	Bulgaria	3.000	3.000	3.000	3.000	4.000	6.000	6.000	6.000	4.400	5.000	4.000	1.200	1.062	0.964	1.060	1.000	0.700	0.600	0.800	0.785	0.851	0.603	0.740	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
BFA	AFR	Burkina Faso	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MMR	АSA	Myanmar	30.000	27.000	30.000	30.000	32.000	30.000	24.000	17.000	13.000	15.000	13.000	15.000	14.400	13.600	13.600	9.560	8.010	9.000	11.000	9.498	12.000	10.000	15.000	15.000	20.000	20.000	23.000	21.162	21.353	18.085	20.329	20.000	20.000	20.000	20.000
BDI	AFR	Burundi	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KHM	АSA	Cambodia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CMR	AFR	Cameroon	58.000	87.000	109.000	114.000	135.000	185.000	177.000	174.000	163.000	170.000	161.000	153.288	140.355	126.860	107.945	111.000	108.000	124.000	120.500	100.000	84.822	76.647	69.819	67.000	65.989	82.315	86.403	82.827	81.325	76.904	65.000	61.660	63.000	62.756	80.830
CAN	NAM	Canada	1435.000	1285.000	1271.000	1356.000	1438.000	1471.000	1474.000	1535.000	1616.000	1560.000	1553.000	1547.980	1605.223	1679.446	1746.121	1805.247	1836.697	1922.242	1981.085	1906.600	1976.893	2029.173	2170.600	2305.726	2398.421	2368.878	2525.397	2628.125	2579.309	2579.480	2740.756	2900.647	3137.839	3325.129	3602.890
CPV	SMALL	Cabo Verde	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYM	SMALL	Cayman Islands	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CAF	AFR	Central African Republic	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TCD	AFR	Chad	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	36.068	170.587	176.658	157.918	144.203	127.164	119.471	122.521	114.964	104.484	97.907	103.422
CHL	SAM	Chile	33.000	41.000	43.000	39.000	38.000	36.000	31.000	30.000	24.400	22.000	19.609	17.000	15.000	13.958	12.411	10.578	9.178	7.353	8.077	7.700	6.762	6.642	6.000	6.000	5.590	4.419	2.992	2.550	3.092	3.684	4.164	4.586	6.082	6.666	6.666
CHN	CHI	China	2114.000	2012.000	2045.000	2120.000	2296.000	2505.000	2620.000	2690.000	2730.000	2756.500	2774.000	2835.000	2845.000	2890.000	2939.288	2990.000	3131.339	3200.342	3198.187	3195.000	3248.762	3300.004	3389.652	3408.871	3485.314	3608.622	3672.735	3728.820	3790.182	3795.959	4078.360	4058.685	4085.148	4164.115	4189.052
COL	SAM	Colombia	126.000	125.000	141.000	152.000	168.000	176.000	305.000	385.000	378.000	403.000	440.000	419.000	433.000	456.000	450.000	585.000	622.964	652.000	732.518	816.000	690.577	625.000	576.940	540.733	528.761	525.793	531.038	531.135	588.357	670.646	785.526	914.254	944.219	1003.246	989.947
COM	SMALL	Comoros	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COG	AFR	Congo	65.000	83.000	89.000	87.000	121.000	120.000	119.000	123.000	144.000	164.000	165.000	156.000	174.000	181.040	180.000	188.000	201.000	253.000	265.000	270.000	280.000	255.000	249.203	246.849	235.478	228.625	241.644	207.171	233.270	267.860	305.000	290.000	280.000	265.000	250.000
COD	AFR	Democratic Republic of the Congo	20.000	20.000	23.000	25.000	32.000	33.000	32.000	32.000	30.000	28.000	29.000	28.000	25.995	25.000	26.000	30.000	30.000	28.329	26.383	22.200	26.000	24.000	22.666	22.000	21.085	19.748	20.000	22.156	19.958	22.000	21.000	20.162	20.000	20.000	20.000
COK	SMALL	Cook Islands	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CRI	SAM	Costa Rica	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CIV	AFR	Cote d'Ivoire	1.000	7.000	9.000	23.000	27.000	28.000	20.000	18.000	12.000	2.000	2.000	2.000	1.500	0.500	6.820	8.000	16.000	18.767	20.000	15.000	11.497	11.000	12.000	19.000	26.000	39.000	62.000	52.000	59.165	57.817	43.833	39.589	37.915	37.000	36.000
HRV	EUR	Croatia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	35.906	35.508	39.460	32.000	30.000	29.367	31.160	25.000	24.000	23.000	22.000	22.000	20.249	18.658	16.751	15.094	13.667	15.581	14.584	13.490	11.833	11.997	10.074
CUB	SAM	Cuba	5.000	8.000	10.000	12.000	15.000	17.000	18.000	18.000	15.000	15.000	14.300	14.000	16.493	19.500	24.180	26.000	30.000	30.293	31.496	38.000	41.000	50.000	47.296	55.167	57.930	52.269	51.644	50.539	52.246	48.235	53.000	55.000	52.077	50.000	50.000
CYP	EUR	Cyprus	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CZE	EUR	Czechia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.109	2.435	2.990	4.155	3.260	3.612	3.915	3.590	3.671	5.345	6.501	6.079	6.167	5.329	5.000	4.915	4.252	3.592	3.085	3.000	3.000	3.000
DNK	EUR	Denmark	6.000	15.000	35.000	45.000	46.000	58.000	76.000	97.000	99.000	117.000	121.000	142.890	162.919	174.109	184.978	186.077	207.924	230.482	238.353	300.200	362.934	346.203	370.762	375.047	389.147	377.146	342.005	311.556	286.513	259.981	245.359	221.146	202.246	175.401	165.250
DJI	MEA	Djibouti	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DMA	SMALL	Dominica	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DOM	SAM	Dominican Republic	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ECU	SAM	Ecuador	204.000	211.000	211.000	237.000	258.000	281.000	293.000	174.000	302.000	279.000	285.000	299.000	321.000	343.670	365.000	392.027	395.790	388.241	375.482	372.600	394.921	412.184	392.529	411.014	528.245	531.976	535.680	511.088	504.728	485.620	486.087	499.513	503.592	526.112	556.358
EGY	AFR	Egypt	595.000	598.000	670.000	727.000	822.000	887.000	813.000	896.000	848.000	865.000	873.000	874.000	881.216	890.000	895.700	920.000	921.667	856.400	833.600	851.589	768.330	719.663	715.417	712.673	673.381	623.321	535.058	530.352	565.741	586.519	567.948	551.471	539.484	514.422	478.422
SLV	SAM	El Salvador	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GNQ	AFR	Equatorial Guinea	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.102	1.550	4.500	5.000	5.000	17.093	52.422	83.000	102.000	167.500	181.438	212.562	206.466	365.459	362.534	342.866	345.370	336.834	321.979	297.781	278.388	289.400	269.797	248.000
