#
# This file contains data, downloaded from EIA in 2015
# Used for comparison with the latest inputs
#
Code	Region	Country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
GUM	SMALL	Guam	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GTM	SAM	Guatemala	5.000	5.000	6.000	7.000	5.000	3.000	5.000	4.000	3.000	4.000	4.000	4.400	4.751	7.000	8.300	9.500	12.831	15.595	23.767	23.300	20.680	21.080	17.995	21.995	19.811	17.153	20.145	15.818	15.525	13.510	11.953	10.945	10.565	9.987	10.052
GIN	AFR	Guinea	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GNB	AFR	Guinea-Bissau	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GUY	SAM	Guyana	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HTI	SAM	Haiti	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HITZ	DEPR	Hawaiian Trade Zone	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HND	SAM	Honduras	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HKG	SMALL	Hong Kong	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HUN	EUR	Hungary	38.000	38.000	41.000	40.000	40.000	37.000	37.000	35.000	39.000	36.000	39.800	33.740	33.359	34.180	38.560	35.000	32.325	35.457	26.000	24.485	26.995	27.189	24.074	25.000	23.680	19.167	17.825	16.323	15.921	15.915	14.408	12.992	12.913	12.000	11.411
ISL	EUR	Iceland	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IND	IND	India	182.000	325.000	390.000	480.000	519.000	620.000	630.000	609.000	635.000	700.000	660.000	615.000	561.151	534.000	589.900	703.452	651.025	674.625	661.422	652.660	646.342	642.397	664.753	660.027	683.109	664.658	688.613	697.531	693.713	680.433	751.300	782.341	776.970	772.076	767.579
IDN	АSA	Indonesia	1577.000	1605.000	1339.000	1343.000	1412.000	1325.000	1390.000	1343.000	1342.000	1409.000	1462.000	1592.000	1504.000	1511.377	1510.200	1502.685	1547.486	1520.000	1518.356	1472.000	1428.380	1340.000	1249.027	1155.370	1095.639	1066.747	1019.219	963.211	986.046	969.079	953.148	917.918	874.792	827.830	789.830
IRN	MEA	Iran (Islamic Republic of)	1662.000	1380.000	2214.000	2440.000	2174.000	2250.000	2035.000	2298.000	2240.000	2810.000	3088.000	3312.000	3429.098	3540.000	3618.000	3643.219	3685.710	3664.178	3633.767	3557.000	3696.300	3723.701	3444.301	3742.795	4001.434	4138.575	4027.808	3911.890	4050.273	4037.038	4080.419	4054.000	3386.850	3113.299	3235.699
IRQ	MEA	Iraq	2514.000	1000.000	1012.000	1005.000	1209.000	1433.000	1690.000	2079.000	2685.000	2897.000	2040.000	305.000	425.000	511.699	552.534	560.000	578.798	1155.000	2150.041	2507.877	2570.683	2390.000	2023.000	1308.247	2011.470	1877.658	1995.603	2086.292	2375.266	2390.592	2399.303	2625.685	2983.333	3054.384	3368.041
IRL	EUR	Ireland	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ISR	MEA	Israel	35.000	36.000	1.000	1.000	1.000	1.000	1.000	0.290	0.356	0.310	0.200	0.200	0.186	0.153	0.100	0.100	0.200	0.300	0.200	0.200	0.080	0.080	0.100	0.060	0.075	0.100	0.100	0.100	0.100	0.100	0.100	0.390	0.390	0.390	0.390
ITA	EUR	Italy	38.000	37.000	35.000	45.000	45.000	45.000	49.000	67.000	90.000	82.000	87.000	80.000	83.360	82.724	86.247	93.370	101.098	111.589	106.953	82.000	90.000	78.460	85.362	95.849	104.167	114.608	110.342	107.937	99.451	82.781	96.005	99.178	100.967	101.775	105.693
JAM	SAM	Jamaica	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
JPN	АSA	Japan	10.000	7.000	9.000	9.000	8.000	11.000	13.000	12.000	12.000	11.000	11.000	14.923	17.000	12.451	10.838	11.000	11.587	9.950	8.980	7.918	7.000	6.334	5.332	5.000	6.000	6.581	6.000	5.666	6.000	5.329	4.995	5.000	5.000	4.666	4.666
JOR	MEA	Jordan	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.500	0.500	0.215	0.327	0.300	0.050	0.031	0.025	0.030	0.031	0.040	0.031	0.040	0.040	0.040	0.020	0.020	0.020	0.020	0.020	0.020	0.020	0.020	0.020	0.018	0.022	0.022	0.022
KAZ	CIS	Kazakhstan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	444.000	408.000	415.004	414.000	456.749	521.000	526.000	603.600	718.000	814.863	939.192	1026.710	1203.249	1288.285	1313.334	1360.425	1345.421	1455.151	1525.199	1552.937	1514.475	1572.899	1632.077
KEN	AFR	Kenya	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIR	SMALL	Kiribati	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PRK	АSA	Dem. People's Republic of Korea	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KOR	АSA	Republic of Korea	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KOS	EUR	Kosovo	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KWT	MEA	Kuwait	1656.000	1125.000	823.000	1064.000	1157.000	1023.000	1419.000	1585.000	1492.000	1783.000	1175.000	190.000	1058.100	1852.363	2025.000	2057.411	2061.652	2007.100	2085.342	1897.700	2078.500	1997.500	1894.160	2136.000	2375.697	2529.178	2535.342	2464.096	2585.749	2350.000	2300.411	2530.137	2634.945	2650.000	2618.562
KGZ	CIS	Kyrgyzstan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.148	1.884	1.530	1.890	1.880	1.700	1.600	1.530	2.000	2.000	1.520	1.380	1.400	2.000	2.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
LAO	АSA	Lao People's Democratic Republic	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LVA	CIS	Latvia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LBN	MEA	Lebanon	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LSO	AFR	Lesotho	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LBR	AFR	Liberia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LBY	AFR	Libya	1787.000	1140.000	1150.000	1105.000	1087.000	1059.000	1034.000	972.000	1175.000	1150.000	1375.000	1483.151	1432.700	1361.000	1377.589	1390.000	1400.847	1445.918	1390.000	1318.959	1410.027	1366.548	1318.521	1420.521	1515.219	1633.110	1681.041	1701.808	1735.833	1650.000	1650.000	465.397	1366.803	918.329	469.986
LTU	CIS	Lithuania	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.567	2.908	3.180	3.012	3.835	5.474	4.641	5.984	9.555	8.840	7.758	6.108	4.386	3.673	3.087	3.000	2.000	2.000	2.000	2.000	2.000	2.000
LUX	EUR	Luxembourg	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAC	SMALL	Macau	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MKD	EUR	North Macedonia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MDG	AFR	Madagascar	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MWI	AFR	Malawi	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MYS	АSA	Malaysia	283.000	264.000	306.000	365.000	440.000	440.000	504.000	497.000	540.000	585.000	619.000	646.000	653.388	640.000	644.986	682.493	695.027	700.000	720.000	693.000	690.027	659.205	698.460	737.857	763.475	726.444	691.808	668.268	686.240	658.704	638.260	569.934	585.560	570.260	597.468
MDV	SMALL	Maldives	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MLI	AFR	Mali	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MLT	SMALL	Malta	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MTQ	SMALL	Martinique	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MRT	AFR	Mauritania	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.619	14.992	12.833	11.245	8.232	7.738	6.577	6.750	6.003
MUS	SMALL	Mauritius	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MEX	NAM	Mexico	1936.000	2313.000	2748.000	2689.000	2780.000	2745.000	2435.000	2548.000	2512.000	2519.756	2553.027	2679.797	2669.221	2673.000	2781.900	2711.387	2944.070	3104.102	3159.555	2998.271	3104.070	3217.982	3262.895	3458.681	3475.825	3423.124	3345.428	3142.953	2838.989	2645.843	2621.139	2599.847	2592.505	2561.858	2459.063
MICN	SMALL	Micronesia (Fed. States of)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MDA	CIS	Republic of Moldova	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MNG	CHI	Mongolia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.123	0.197	0.179	0.202	0.381	0.501	0.589	0.550	1.032	2.329	3.208	5.123	5.976	6.983	9.935	14.052	20.847
MNE	EUR	Montenegro	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MSR	SMALL	Montserrat	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAR	AFR	Morocco	1.000	1.000	1.000	1.000	1.000	1.000	0.479	0.400	0.415	0.300	0.312	0.300	0.228	0.209	0.200	0.300	0.300	0.080	0.100	0.220	0.300	0.400	0.260	0.200	0.200	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500
MOZ	AFR	Mozambique	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NAM	AFR	Namibia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NRU	SMALL	Nauru	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NPL	АSA	Nepal	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NLD	EUR	Netherlands	25.000	27.000	38.000	53.000	61.000	76.000	93.000	87.000	77.000	64.000	70.000	74.000	53.238	50.261	78.227	65.973	56.238	52.742	52.000	31.880	28.780	26.203	46.329	46.948	42.640	31.743	26.323	39.904	33.508	25.485	20.000	22.254	20.833	21.986	28.118
NLDA	SMALL	Netherlands Antilles	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NCL	OAN	New Caledonia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NZL	АSA	New Zealand	7.000	10.000	15.000	15.000	17.000	19.000	29.000	28.000	33.000	38.000	40.000	41.000	38.192	40.991	39.499	31.929	36.522	57.600	46.918	42.000	36.000	33.164	30.389	23.992	19.517	18.978	17.085	41.137	59.986	55.888	53.038	46.323	41.079	35.266	39.860
NIC	SAM	Nicaragua	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NER	AFR	Niger	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.712	20.000	20.000	20.000
NGA	AFR	Nigeria	2055.000	1433.000	1295.000	1241.000	1388.000	1495.000	1467.000	1341.000	1450.000	1716.000	1810.000	1891.800	1943.000	1960.000	1930.900	1992.753	2000.532	2132.452	2153.458	2129.860	2165.000	2256.156	2117.863	2275.000	2328.962	2627.438	2439.863	2349.644	2165.440	2208.311	2455.260	2550.345	2520.000	2367.370	2423.205
NIU	SMALL	Niue	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NOR	EUR	Norway	485.811	474.458	492.346	614.954	707.294	772.596	841.490	982.486	1113.090	1482.603	1630.008	1870.865	2131.885	2281.513	2569.552	2765.828	3091.012	3141.717	3011.234	3018.885	3221.517	3226.327	3130.584	3042.114	2954.475	2697.942	2490.578	2270.222	2181.956	2067.425	1869.282	1752.241	1606.639	1529.901	1568.148
OMN	MEA	Oman	282.000	319.000	324.000	375.000	414.000	498.000	560.000	582.000	617.000	641.000	685.000	700.000	740.000	775.830	810.000	851.288	883.388	904.000	899.836	910.000	970.000	913.000	896.723	819.000	750.959	774.302	737.651	710.359	757.321	812.514	864.588	885.682	918.568	939.922	943.480
PAK	IND	Pakistan	10.000	10.000	12.000	13.000	17.000	35.000	42.000	42.000	45.000	48.000	62.000	62.000	61.353	60.358	55.000	57.100	55.000	57.000	54.912	53.000	54.421	59.870	64.268	60.000	62.000	65.626	65.666	65.195	58.579	55.370	65.000	65.000	72.000	80.800	93.633
PSE	MEA	occupied Palestinian territory	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PAN	SAM	Panama	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PNG	АSA	Papua New Guinea	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.200	53.000	125.877	110.000	100.000	103.361	80.000	79.063	96.600	70.062	67.500	55.153	50.493	45.579	40.281	44.392	41.986	38.082	34.830	30.356	30.000	27.331	28.093	34.208
PRY	SAM	Paraguay	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PER	SAM	Peru	195.000	193.000	195.000	171.000	184.000	190.000	178.000	164.000	141.000	130.000	128.970	114.899	116.270	126.280	127.918	129.700	119.720	118.239	115.592	106.000	95.588	93.096	92.865	87.350	79.900	75.454	77.573	77.113	76.577	71.032	72.688	69.544	66.655	62.893	69.304
PHL	АSA	Philippines	15.000	2.000	8.000	13.000	12.000	9.000	8.000	6.000	6.000	5.000	4.700	3.000	8.046	9.099	6.100	3.400	2.000	1.000	0.790	0.859	1.144	8.460	9.852	13.781	25.000	25.000	25.000	24.622	24.551	24.398	32.945	26.644	19.995	21.000	21.000
POL	EUR	Poland	7.000	7.000	5.000	4.000	4.000	4.000	4.000	3.000	3.000	3.000	2.000	3.000	3.162	4.926	5.000	4.600	5.000	6.000	7.380	9.000	13.008	14.732	13.321	14.636	16.664	15.904	14.986	13.660	14.167	12.405	12.910	12.488	13.402	19.225	19.258
PRT	EUR	Portugal	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PRI	SAM	Puerto Rico	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
QAT	MEA	Qatar	472.000	405.000	330.000	295.000	394.000	301.000	308.000	293.000	346.000	380.000	406.000	395.000	423.200	413.000	415.000	442.000	510.478	550.000	695.603	665.000	741.724	729.589	709.110	806.603	901.393	977.562	995.644	1082.945	1197.662	1279.078	1458.781	1571.096	1551.404	1553.000	1540.425
REU	SMALL	Reunion	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ROU	EUR	Romania	238.000	241.000	242.000	240.000	237.000	220.000	221.000	215.000	193.000	180.000	163.000	140.000	135.641	133.000	137.781	135.000	135.000	134.470	131.644	125.000	120.418	124.000	122.379	116.365	114.249	105.307	96.460	94.419	95.397	91.660	88.139	86.864	84.350	84.992	83.382
RUS	CIS	Russian Federation	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7631.929	6730.000	6135.000	5995.000	5850.000	5920.000	5854.000	6078.948	6479.202	6917.000	7408.173	8132.199	8804.708	9043.082	9247.205	9437.063	9356.784	9495.365	9694.114	9773.518	9921.609	10053.844	10107.088
RWA	AFR	Rwanda	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SHN	SMALL	Saint Helena	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KNA	SMALL	Saint Kitts and Nevis	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LCA	SMALL	Saint Lucia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
