Report generated on: 07-09-2021 13:01:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
INTL.56-1-AFG-TBPD.A,            Refinery processing gain (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.53-1-ALB-TBPD.A,        Total petroleum and other liquids (Mb/d),,,,,,,,44,44,64,75,55,55,55,54,44,47,30,19,10,11.16,11,9.9,9.6,9.2657534247,6.4,5.5753424658,5.6600993057,5.9940386902,6.3223393941,6.7221382036,6.699,6.985,7.8144657534,6.5011780822,6.036,5.3907671233,10.8708356164,15.5730684932,16.8470655738,17.0162191781,20.5868493151,20.2306438356,22.8176338798,17.069,16.069,15.4112109589,14.375273224,
INTL.55-1-ALB-TBPD.A,"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,44,44,64,75,55,55,55,54,44,47,30,19,11,11.26,11,10,9.5,9.1657534247,6.3,5.5753424658,5.656,5.952,6.361,6.717,6.693,7,7.7424657534,6.4191780822,6,5.3287671233,10.8438356164,15.5150684932,16.8360655738,17.0082191781,20.5068493151,20.1616438356,22.7486338798,17,16,15.3422109589,14.306273224,
INTL.57-1-ALB-TBPD.A,                Crude oil including lease condensate (Mb/d),,,,,,,,44,44,64,75,55,55,55,54,44,47,30,19,11,11.26,11,10,9.5,9.1657534247,6.3,5.5753424658,5.656,5.952,6.361,6.717,6.693,7,7.7424657534,6.4191780822,6,5.3287671233,10.8438356164,15.5150684932,16.8360655738,17.0082191781,20.5068493151,20.1616438356,22.7486338798,17,16,15.3422109589,14.306273224,
INTL.58-1-ALB-TBPD.A,                NGPL (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.59-1-ALB-TBPD.A,                Other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.56-1-ALB-TBPD.A,            Refinery processing gain (Mb/d),,,,,,,,0,0,0,0,0,0,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.1,,-0.1,0.1,0.1,0.1,,0.0040993057,0.0420386902,-0.0386606059,0.0051382036,0.006,-0.015,0.072,0.082,0.036,0.062,0.027,0.058,0.011,0.008,0.08,0.069,0.069,0.069,0.069,0.069,0.069,
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.53-1-DZA-TBPD.A,        Total petroleum and other liquids (Mb/d),1096.901369863,1008.8602739726,982.997260274,1075.2595628415,1151.8493150685,1231.0520547945,1224.1671232877,1105.9071038251,1002.0328767123,986.6301369863,961.2602739726,1014.4403249559,1036.0712328767,1072,1071.3205479452,1045,1105.5863013699,1180.0684931507,1170,1201.6120218579,1311.7150684932,1295.6,1306.794520548,1376.0448087432,1417.2397260274,1402.4109589041,1388.601369863,1433.0252873095,1513.892645335,1617.6530514084,1784.0430240192,1844.5249562842,1956.7780684932,1967.4934931507,1967.545260274,1954.459,1909.8147123288,1881.051,1862.69,1875.2271693989,1763.0818219178,1722.342,1798.425,1698.7856557377,1633.1784246575,1577.0825342466,1570.3839041096,1404.6490437159,
INTL.55-1-DZA-TBPD.A,"            Crude oil, NGPL, and other liquids (Mb/d)",1096.901369863,1008.8602739726,982.997260274,1075.2595628415,1151.8493150685,1231.0520547945,1224.1671232877,1105.9071038251,1002.0328767123,986.6301369863,961.2602739726,1014.4403249559,1036.0712328767,1072,1071.3205479452,1045,1105.5863013699,1180.0684931507,1170,1201.6120218579,1312.3150684932,1295,1306.794520548,1377.1448087432,1418.7397260274,1401.4109589041,1387.301369863,1433.9071038251,1515,1619,1786.0410958904,1846.7759562842,1957.3150684932,1969.0684931507,1968.397260274,1955,1909.8767123288,1880,1862,1874.2431693989,1761.7808219178,1720,1797,1697.3606557377,1631.7534246575,1575.6575342466,1568.9589041096,1403.2240437159,
INTL.57-1-DZA-TBPD.A,                Crude oil including lease condensate (Mb/d),1096.901369863,1008.8602739726,982.997260274,1075.2595628415,1151.8493150685,1231.0520547945,1224.1671232877,1105.9071038251,1002.0328767123,986.6301369863,961.2602739726,1014.4403249559,1036.0712328767,1072,1071.3205479452,1045,1105.5863013699,1180.0684931507,1170,1201.6120218579,1167.3150684932,1155,1161.794520548,1227.1448087432,1258.7397260274,1226.4109589041,1177.301369863,1213.9071038251,1265,1349,1516.0410958904,1581.7759562842,1692.3150684932,1699.0684931507,1708.397260274,1705,1584.8767123288,1540,1540,1532.2431693989,1461.7808219178,1420,1429,1348.3606557377,1301.7534246575,1258.6575342466,1258.9589041096,1122.4316939891,
INTL.58-1-DZA-TBPD.A,                NGPL (Mb/d),,,,,,,,36,49,58,56,100,105,120,130,130,130,135,140,140,145,140,145,150,160,175,210,220,250,270,270,265,265,270,260,250,325,340,322,342,300,300,368,349,330,317,310,280.7923497268,
INTL.59-1-DZA-TBPD.A,                Other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.56-1-DZA-TBPD.A,            Refinery processing gain (Mb/d),,,,,,,,1,1,1,1,1,1,-1.7,-1.6,-1.5,-1.7,-0.4,-0.5,-0.4,-0.6,0.6,,-1.1,-1.5,1,1.3,-0.8818165156,-1.107354665,-1.3469485916,-1.9980718712,-2.251,-0.537,-1.575,-0.852,-0.541,-0.062,1.051,0.69,0.984,1.301,2.342,1.425,1.425,1.425,1.425,1.425,1.425,
,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.53-1-ASM-TBPD.A,        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.55-1-ASM-TBPD.A,"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.57-1-ASM-TBPD.A,                Crude oil including lease condensate (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.58-1-ASM-TBPD.A,                NGPL (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.59-1-ASM-TBPD.A,                Other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.56-1-ASM-TBPD.A,            Refinery processing gain (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.53-1-AGO-TBPD.A,        Total petroleum and other liquids (Mb/d),162,169,165,108,194,131,147,150,130,122,177.0054794521,208.0245901639,231.0000794521,282.0002986301,360.0001863014,452.0081967213,455.0003178082,475.0005123288,500.0002219178,526.3200464481,508.4002465753,535.797260274,645.4328767123,708.1841530055,713.2082191781,734.5821917808,744.5178082192,746.1131126097,741.9041209333,896.1430065276,902.304721657,1054.4153114754,1249.2288082192,1419.9168630137,1747.504830137,1960.2065081967,1886.2952191781,1917.9925479452,1765.0274383562,1796.4701803279,1814.0265342466,1755.7554383562,1827.7500136986,1796.5017540984,1710.9554931507,1654.9280958904,1511.3938493151,1317.5591311475,
INTL.55-1-AGO-TBPD.A,"            Crude oil, NGPL, and other liquids (Mb/d)",162,169,165,108,194,131,147,150,130,122,177.0054794521,208.0245901639,231.0000794521,282.0002986301,360.0001863014,452.0081967213,455.0003178082,475.0005123288,500.0002219178,526.3200464481,509.0002465753,536.397260274,646.2328767123,708.7841530055,713.8082191781,735.0821917808,744.9178082192,746.4043715847,742.3835616438,896.3698630137,902.5479452055,1054.7213114754,1249.5178082192,1420.2828630137,1748.008830137,1960.6945081967,1886.8082191781,1918.5205479452,1765.6164383562,1797.0491803279,1814.6575342466,1756.6164383562,1828.8630136986,1797.6147540984,1712.0684931507,1656.0410958904,1512.5068493151,1318.6721311475,
INTL.57-1-AGO-TBPD.A,                Crude oil including lease condensate (Mb/d),162,169,165,108,194,131,147,150,130,122,177.0054794521,208.0245901639,231.0000794521,282.0002986301,360.0001863014,452.0081967213,455.0003178082,475.0005123288,500.0002219178,526.3200464481,509.0002465753,536.397260274,646.2328767123,708.7841530055,713.8082191781,735.0821917808,744.9178082192,746.4043715847,742.3835616438,896.3698630137,902.5479452055,1051.7213114754,1239.1260273973,1398.0136986301,1723.5237452055,1950.6945081967,1876.8082191781,1908.5205479452,1755.6164383562,1787.0491803279,1802.6575342466,1741.6164383562,1801.8630136986,1769.6147540984,1666.0684931507,1593.0410958904,1447.5068493151,1256.6721311476,
INTL.58-1-AGO-TBPD.A,                NGPL (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10.3917808219,22.2691643836,24.4850849315,10,10,10,10,10,12,15,27,28,46,63,65,62,
INTL.59-1-AGO-TBPD.A,                Other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.56-1-AGO-TBPD.A,            Refinery processing gain (Mb/d),,,,,,,,0,0,0,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.6,-0.7,-0.6,-0.6,-0.6,-0.8,-0.6,-0.6,-0.5,-0.4,-0.291258975,-0.4794407105,-0.2268564861,-0.2432235485,-0.306,-0.289,-0.366,-0.504,-0.488,-0.513,-0.528,-0.589,-0.579,-0.631,-0.861,-1.113,-1.113,-1.113,-1.113,-1.113,-1.113,
,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.53-1-ATA-TBPD.A,        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.55-1-ATA-TBPD.A,"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.57-1-ATA-TBPD.A,                Crude oil including lease condensate (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.58-1-ATA-TBPD.A,                NGPL (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.59-1-ATA-TBPD.A,                Other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.56-1-ATA-TBPD.A,            Refinery processing gain (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.53-1-ATG-TBPD.A,        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.55-1-ATG-TBPD.A,"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.57-1-ATG-TBPD.A,                Crude oil including lease condensate (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.58-1-ATG-TBPD.A,                NGPL (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.59-1-ATG-TBPD.A,                Other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
