Year	Crude	NGPL
1973	0.0	0.0
1974	0.0	0.0
1975	0.0	0.0
1976	0.0	0.0
1977	0.0	0.0
1978	0.0	0.0
1979	0.0	0.0
1980	192.0	0.2
1981	335.0	0.6
1982	402.0	1.2
1983	493.0	1.2
1984	536.0	2.2
1985	655.0	2.2
1986	672.0	5.2
1987	651.0	7.2
1988	680.0	9.2
1989	748.0	10.2
1990	722.0	10.2
1991	677.0	12.0
1992	622.0	31.0
1993	593.9	32.4
1994	644.5	48.0
1995	760.5	52.0
1996	706.0	83.0
1997	731.6	88.0
1998	716.3	93.4
1999	705.9	94.1
2000	700.8	93.6
2001	702.3	104.7
2002	729.0	119.8
2003	720.0	126.9
2004	745.1	125.0
2005	730.3	118.0
2006	756.9	118.0
2007	767.8	109.9
2008	757.4	114.0
2009	742.8	114.9
2010	816.3	119.6
2011	848.3	118.1
2012	850.2	116.8
2013	853.1	118.8
2014	861.5	116.3
2015	851.3	111.7
2016	820.0	119.9
2017	823.5	141.5
2018	798.9	150.2
2019	752.5	149.8
2020	704.1	136.4
