Year,Ref,NCP,HEG,LEG,HOP,LOP,HOA,LOA,AEO2016
2015,19.688,19.688,19.688,19.688,19.688,19.688,19.688,19.688,19.673
2016,18.279,18.279,18.279,18.279,18.280,18.280,18.272,18.288,18.496
2017,18.216,18.217,18.217,18.215,20.248,16.625,19.013,16.841,17.918
2018,19.507,19.512,19.506,19.500,23.592,17.185,20.916,17.869,18.834
2019,20.266,20.268,20.248,20.238,25.529,17.269,22.286,18.421,19.194
2020,20.669,20.673,20.656,20.615,26.614,17.204,23.573,18.748,19.595
2021,20.977,20.984,20.977,20.921,27.432,16.988,24.716,18.890,19.650
2022,21.217,21.218,21.228,21.147,27.782,16.682,25.842,18.766,19.588
2023,21.546,21.547,21.563,21.447,27.923,16.666,26.437,18.408,19.579
2024,21.615,21.621,21.663,21.496,27.633,16.358,27.045,18.140,19.641
2025,21.685,21.688,21.738,21.560,26.816,16.093,27.769,17.978,19.702
2026,21.992,21.998,22.054,21.845,26.463,16.049,28.782,18.097,19.921
2027,22.015,22.029,22.127,21.894,26.321,15.899,29.318,17.734,20.131
2028,22.023,22.017,22.093,21.894,26.078,15.780,29.610,17.396,20.395
2029,22.036,22.017,22.088,21.842,25.727,15.575,30.096,17.106,20.782
2030,22.017,21.995,22.094,21.807,25.471,15.482,30.840,16.694,20.991
2031,21.912,21.894,22.016,21.654,24.983,15.289,31.646,16.401,21.232
2032,21.762,21.751,21.743,21.590,24.630,15.259,32.396,16.104,21.488
2033,21.446,21.376,21.530,21.194,24.294,15.222,32.927,15.653,21.758
2034,21.365,21.311,21.483,21.115,23.799,15.122,33.364,15.466,21.984
2035,21.372,21.293,21.508,21.096,23.316,15.065,33.673,15.172,22.269
2036,21.405,21.375,21.546,21.115,22.840,14.926,33.845,15.023,22.582
2037,21.528,21.430,21.663,21.191,22.511,14.885,33.958,14.765,22.831
2038,21.615,21.581,21.793,21.362,22.260,14.906,34.352,14.906,23.009
2039,21.601,21.578,21.742,21.352,22.066,15.039,34.716,14.725,23.176
2040,21.559,21.515,21.704,21.392,21.952,15.042,35.101,14.754,23.530
2041,21.523,21.478,21.777,21.426,21.660,15.160,35.566,14.474,-999.000
2042,21.455,21.387,21.757,21.279,21.521,15.154,35.594,14.174,-999.000
2043,21.416,21.375,21.742,21.197,21.229,15.226,35.647,13.991,-999.000
2044,21.326,21.311,21.635,21.133,20.923,15.139,35.703,13.809,-999.000
2045,21.193,21.230,21.513,21.035,20.829,15.037,35.653,13.526,-999.000
2046,21.161,21.189,21.326,21.003,20.631,14.930,35.425,13.219,-999.000
2047,21.025,21.008,21.109,20.828,20.345,15.014,35.454,12.927,-999.000
2048,20.846,20.857,20.754,20.697,20.013,15.019,35.482,12.611,-999.000
2049,20.631,20.593,20.711,20.482,19.723,15.012,35.695,12.262,-999.000
2050,20.529,20.489,20.624,20.328,19.485,15.009,35.664,12.092,-999.000
