#
# REACTORS SHUTDOWN:
#
Year_Connected	Year_Shutdown	Years_Operating	Installed_Power	Name
1965	1991	26	195	TRAWSFYNYDD-2
1960	1991	31	167	YANKEE NPS
1966	1992	26	436	SAN ONOFRE-1
1971	1992	21	465	ST. LAURENT A-2
1975	1992	17	1095	TROJAN
1972	1994	22	540	BUGEY-1
1975	1994	19	234	DOUNREAY PFR
1971	1994	23	640	WUERGASSEN
1995	1995	0	246	MONJU
1977	1996	19	740	CHERNOBYL-1
1966	1996	30	560	HADDAM NECK
1962	1997	35	67	BIG ROCK POINT
1968	1997	29	55	DODEWAARD
1972	1997	25	860	MAINE YANKEE
1970	1998	28	641	MILLSTONE-1
1986	1998	12	1200	SUPER-PHENIX
1965	1998	33	137	TOKAI-1
1973	1998	25	1040	ZION-1
1973	1998	25	1040	ZION-2
1973	1999	26	52	AKTAU
1975	1999	24	600	BARSEBACK-1
1981	2000	19	925	CHERNOBYL-3
1965	2000	35	235	HINKLEY POINT A-1
1965	2000	35	235	HINKLEY POINT A-2
1954	2002	48	5	APS-1 OBNINSK
1962	2002	40	123	BRADWELL-1
1962	2002	40	123	BRADWELL-2
1974	2002	28	408	KOZLODUY-1
1975	2002	27	408	KOZLODUY-2
1956	2003	47	49	CALDER HALL-1
1957	2003	46	49	CALDER HALL-2
1958	2003	45	49	CALDER HALL-3
1959	2003	44	49	CALDER HALL-4
1978	2003	25	148	FUGEN ATR
1972	2003	31	640	STADE
1959	2004	45	48	CHAPELCROSS-1
1959	2004	45	48	CHAPELCROSS-2
1959	2004	45	48	CHAPELCROSS-3
1960	2004	44	48	CHAPELCROSS-4
1983	2004	21	1185	IGNALINA-1
1977	2005	28	600	BARSEBACK-2
1968	2005	37	340	OBRIGHEIM
1978	2006	28	408	BOHUNICE-1
1965	2006	41	225	DUNGENESS A-1
1965	2006	41	225	DUNGENESS A-2
1968	2006	38	141	JOSE CABRERA-1
1980	2006	26	408	KOZLODUY-3
1982	2006	24	408	KOZLODUY-4
1966	2006	40	210	SIZEWELL A-1
1966	2006	40	210	SIZEWELL A-2
1971	2007	36	515	PICKERING-2
