#
# World-3 in JS by Brian Hayes
# BAU calibration run
# http://bit-player.org/extras/limits/ltg.html
# Time step 0.25 years
# Resource multiplier 1
# Consumption factor 0.43
#
Year	LEB	BR_Crude	DR_Crude	Population
2071	30.5	24.9	36.1	6699
2072	30.1	25.2	36.4	6613
2073	29.9	25.6	36.7	6528
2074	29.7	25.9	36.8	6485
2075	29.7	26.3	36.9	6443
2076	29.4	26.5	37.2	6357
2077	29.2	26.9	37.3	6272
2078	29.0	27.2	37.5	6229
2079	29.0	27.5	37.6	6187
2080	28.8	27.7	37.9	6101
2081	28.6	28.1	38.1	6016
2082	28.4	28.4	38.3	5973
2083	28.2	28.5	38.4	5931
2084	28.2	28.8	38.7	5888
2085	27.9	29.1	38.8	5803
2086	27.9	29.3	38.8	5760
2087	27.7	29.5	38.9	5717
2088	27.7	29.7	39.1	5632
2089	27.5	29.9	39.1	5632
2090	27.5	30.0	39.2	5589
2091	27.5	30.1	39.2	5547
2092	27.3	30.4	39.2	5419
2093	27.5	30.5	39.2	5376
2094	27.5	30.7	39.2	5376
2095	27.3	30.8	39.2	5333
2096	27.3	30.9	39.3	5291
2097	27.3	31.2	39.2	5248
2098	27.3	31.3	39.2	5205
2099	27.3	31.5	39.2	5163
2100	27.5	31.7	39.3	5035
