#
# Horizontal conversion = 151,1080,1900,2100,pixels
# Vertical conversion = 743,471,2,8,pixels
#
X,Y
1900.000,5.066
1904.952,5.066
1909.903,5.110
1915.070,5.132
1920.021,5.132
1924.973,5.154
1929.925,5.199
1935.092,5.176
1940.043,5.132
1944.995,5.132
1949.946,5.088
1954.898,4.956
1960.065,5.000
1965.016,5.066
1969.968,4.779
1974.919,4.096
1980.086,3.676
1985.038,3.522
1989.989,3.125
1994.941,2.860
2000.108,2.728
2005.059,2.640
2010.011,2.551
2014.962,2.485
2019.914,2.551
2025.081,2.772
2030.032,3.037
2034.984,3.390
2039.935,3.676
2045.102,3.875
2050.054,4.051
2055.005,4.184
2059.957,4.272
2064.908,4.338
2070.075,4.382
2075.027,4.404
2079.979,4.426
2084.930,4.449
2090.097,4.515
2095.048,4.515
2100.000,4.537
