#
# Parametrization table
#_134_FractionOfCapitalAllocatedToObtainingResources [unitless]
#
0.000,1.000
0.010,0.990
0.020,0.980
0.030,0.970
0.040,0.960
0.050,0.950
0.060,0.940
0.070,0.930
0.080,0.920
0.090,0.910
0.100,0.900
0.110,0.880
0.120,0.860
0.130,0.840
0.140,0.820
0.150,0.800
0.160,0.780
0.170,0.760
0.180,0.740
0.190,0.720
0.200,0.700
0.210,0.680
0.220,0.660
0.230,0.640
0.240,0.620
0.250,0.600
0.260,0.580
0.270,0.560
0.280,0.540
0.290,0.520
0.300,0.500
0.310,0.470
0.320,0.440
0.330,0.410
0.340,0.380
0.350,0.350
0.360,0.320
0.370,0.290
0.380,0.260
0.390,0.230
0.400,0.200
0.410,0.190
0.420,0.180
0.430,0.170
0.440,0.160
0.450,0.150
0.460,0.140
0.470,0.130
0.480,0.120
0.490,0.110
0.500,0.100
0.510,0.095
0.520,0.090
0.530,0.085
0.540,0.080
0.550,0.075
0.560,0.070
0.570,0.065
0.580,0.060
0.590,0.055
0.600,0.050
0.610,0.050
0.620,0.050
0.630,0.050
0.640,0.050
0.650,0.050
0.660,0.050
0.670,0.050
0.680,0.050
0.690,0.050
0.700,0.050
0.710,0.050
0.720,0.050
0.730,0.050
0.740,0.050
0.750,0.050
0.760,0.050
0.770,0.050
0.780,0.050
0.790,0.050
0.800,0.050
0.810,0.050
0.820,0.050
0.830,0.050
0.840,0.050
0.850,0.050
0.860,0.050
0.870,0.050
0.880,0.050
0.890,0.050
0.900,0.050
0.910,0.050
0.920,0.050
0.930,0.050
0.940,0.050
0.950,0.050
0.960,0.050
0.970,0.050
0.980,0.050
0.990,0.050
1.000,0.050
1.010,0.050
1.020,0.050
1.030,0.050
1.040,0.050
1.050,0.050
1.060,0.050
1.070,0.050
1.080,0.050
1.090,0.050
1.100,0.050
