#
# Parametrization table
# _089_IndicatedFoodPerCapita [kilograms / person / year]
#
# Horizontal conversion = 150,1080,0,1700,fraction
# Vertical conversion = 700,150,200,1200,fraction
#
# Sigmoid( x0=0.000, s0=0.00215, left=-1080.000, right=1080.000, shift=230.000)
#
X,Y
0.000,230.909
14.624,247.273
31.075,267.273
45.699,285.455
62.151,307.273
76.774,325.455
93.226,345.455
107.850,363.636
124.301,383.636
138.925,401.818
155.376,423.636
170.000,441.818
184.624,460.000
201.075,481.818
215.699,490.909
232.151,512.727
246.774,527.273
263.226,545.455
277.850,560.000
294.301,578.182
308.925,592.727
325.376,610.909
340.000,625.455
354.624,640.000
371.075,658.182
385.699,672.727
402.151,690.909
416.774,701.818
433.226,714.546
447.850,727.273
464.301,740.000
478.925,750.909
495.376,763.636
510.000,776.364
524.624,787.273
541.075,801.818
555.699,812.727
572.151,825.455
586.774,838.182
603.226,849.091
617.850,858.182
634.301,869.091
648.925,878.182
665.376,887.273
680.000,896.364
694.624,905.455
711.075,914.546
725.699,923.636
742.151,932.727
756.774,941.818
773.226,952.727
787.850,960.000
804.301,965.455
818.925,978.182
835.376,985.455
850.000,992.727
864.624,1000.000
881.075,1009.091
895.699,1016.364
912.151,1023.636
926.774,1030.909
943.226,1040.000
957.850,1047.273
974.301,1054.545
988.925,1061.818
1005.376,1070.909
1020.000,1076.364
1034.624,1081.818
1051.075,1087.273
1065.699,1094.545
1082.151,1100.000
1096.774,1105.455
1113.226,1112.727
1127.849,1118.182
1144.301,1125.455
1158.925,1130.909
1175.376,1138.182
1190.000,1143.636
1204.624,1145.455
1221.075,1154.545
1235.699,1158.182
1252.151,1163.636
1266.774,1167.273
1283.226,1172.727
1297.849,1176.364
1314.301,1181.818
1328.925,1185.455
1345.376,1190.909
1360.000,1194.545
1374.624,1200.000
1391.075,1205.455
1405.699,1210.909
1422.151,1210.909
1436.774,1214.545
1453.226,1218.182
1467.849,1220.000
1484.301,1223.636
1498.925,1227.273
1515.376,1230.909
1530.000,1232.727
1544.624,1236.364
1561.075,1240.000
1575.699,1241.818
1592.151,1245.455
1606.774,1247.273
1623.226,1247.273
1637.849,1247.273
1654.301,1247.273
1668.925,1247.273
1685.376,1247.273
1700.000,1250.909
