#
# DYNAMO Model
#
Time,_052_IndustrialCapital,_067_ServiceCapital,_050_IndustrialOutput,_070_ServiceOutput
1986.0,3.455e+12,1.546e+12,1.094e+12,1.546e+12
1988.0,3.651e+12,1.638e+12,1.156e+12,1.638e+12
1990.0,3.854e+12,1.735e+12,1.220e+12,1.735e+12
1992.0,4.065e+12,1.836e+12,1.287e+12,1.836e+12
1994.0,4.284e+12,1.942e+12,1.357e+12,1.942e+12
1996.0,4.511e+12,2.052e+12,1.429e+12,2.052e+12
1998.0,4.745e+12,2.167e+12,1.503e+12,2.167e+12
2000.0,4.989e+12,2.286e+12,1.580e+12,2.286e+12
2002.0,5.240e+12,2.410e+12,1.659e+12,2.410e+12
2004.0,5.500e+12,2.538e+12,1.742e+12,2.538e+12
2006.0,5.769e+12,2.671e+12,1.827e+12,2.671e+12
2008.0,6.046e+12,2.809e+12,1.914e+12,2.809e+12
2010.0,6.331e+12,2.952e+12,2.005e+12,2.952e+12
2012.0,6.624e+12,3.099e+12,2.097e+12,3.099e+12
2014.0,6.924e+12,3.250e+12,2.193e+12,3.250e+12
2016.0,7.231e+12,3.407e+12,2.290e+12,3.407e+12
2018.0,7.545e+12,3.567e+12,2.379e+12,3.567e+12
2020.0,7.865e+12,3.725e+12,2.445e+12,3.725e+12
2022.0,8.188e+12,3.867e+12,2.507e+12,3.867e+12
2024.0,8.506e+12,3.996e+12,2.564e+12,3.996e+12
2026.0,8.815e+12,4.114e+12,2.584e+12,4.114e+12
2028.0,9.100e+12,4.210e+12,2.578e+12,4.210e+12
2030.0,9.349e+12,4.281e+12,2.558e+12,4.281e+12
2032.0,9.558e+12,4.327e+12,2.477e+12,4.327e+12
2034.0,9.711e+12,4.327e+12,2.256e+12,4.327e+12
2036.0,9.770e+12,4.234e+12,2.047e+12,4.234e+12
2038.0,9.728e+12,4.071e+12,1.853e+12,4.071e+12
2040.0,9.595e+12,3.863e+12,1.676e+12,3.863e+12
2042.0,9.366e+12,3.639e+12,1.522e+12,3.639e+12
2044.0,9.061e+12,3.413e+12,1.394e+12,3.413e+12
2046.0,8.701e+12,3.193e+12,1.270e+12,3.193e+12
2048.0,8.303e+12,2.980e+12,1.152e+12,2.980e+12
2050.0,7.881e+12,2.773e+12,1.042e+12,2.773e+12
2052.0,7.440e+12,2.574e+12,9.401e+11,2.574e+12
2054.0,6.995e+12,2.383e+12,8.466e+11,2.383e+12
2056.0,6.556e+12,2.201e+12,7.620e+11,2.201e+12
2058.0,6.130e+12,2.030e+12,6.860e+11,2.030e+12
2060.0,5.721e+12,1.870e+12,6.181e+11,1.870e+12
2062.0,5.331e+12,1.720e+12,5.572e+11,1.720e+12
2064.0,4.961e+12,1.583e+12,5.029e+11,1.583e+12
2066.0,4.611e+12,1.456e+12,4.543e+11,1.456e+12
2068.0,4.280e+12,1.340e+12,4.106e+11,1.340e+12
2070.0,3.964e+12,1.233e+12,3.711e+11,1.233e+12
2072.0,3.665e+12,1.136e+12,3.354e+11,1.136e+12
2074.0,3.383e+12,1.047e+12,3.032e+11,1.047e+12
2076.0,3.118e+12,9.658e+11,2.741e+11,9.658e+11
2078.0,2.870e+12,8.915e+11,2.478e+11,8.915e+11
