Year,Rotary_Rigs,Onshore,Offshore,Oil,Gas,Expl_Total,Expl_Oil,Expl_Gas,Expl_Dry,Dev_Total,Dev_Oil,Dev_Gas,Dev_Dry,Producing_Oil,Producing_Oil_Gas,Producing_Gas
1994,775,673,102,335,427,3784,579,740,2465,18471,6422,8999,3050,-999,-999,291773
1995,723,622,101,323,385,3411,549,583,2279,18189,7278,7871,3040,-999,-999,298541
1996,779,671,108,306,464,3333,496,591,2246,20553,8264,8948,3341,-999,-999,301811
1997,943,821,122,376,564,3155,434,543,2178,24431,10011,10643,3777,-999,-999,310971
1998,827,703,123,264,560,2445,286,510,1649,20466,6693,10617,3156,-999,-999,316929
1999,625,519,106,128,496,1842,156,519,1167,17097,4158,10602,2337,-999,-999,302421
2000,918,778,140,197,720,2286,288,657,1341,27001,7802,16394,2805,-999,-999,341678
2001,1156,1003,153,217,939,3142,357,1052,1733,32416,8531,21020,2865,-999,-999,373304
2002,830,717,113,137,691,2384,258,844,1282,25487,6517,16498,2472,-999,-999,387772
2003,1032,924,108,157,872,2644,350,997,1297,30189,7779,19725,2685,-999,-999,393327
2004,1192,1095,97,165,1025,3404,383,1671,1350,33653,8406,22515,2732,-999,-999,406147
2005,1381,1287,94,194,1184,4142,539,2141,1462,39880,10240,26449,3191,-999,-999,425887
2006,1649,1559,90,274,1372,4649,646,2456,1547,46780,12739,30382,3659,-999,-999,440516
2007,1768,1695,72,297,1466,5184,808,2794,1582,45887,12563,29925,3399,-999,-999,452945
2008,1879,1814,65,379,1491,4957,897,2345,1715,49345,15736,29901,3708,-999,-999,476652
2009,1089,1046,44,278,801,2866,605,1206,1055,29937,10585,16882,2470,-999,-999,493100
2010,1546,1514,31,591,943,2840,669,1105,1066,33771,15084,15591,3096,-999,-999,487627
2011,1879,1846,32,984,887,-999,-999,-999,-999,-999,-999,-999,-999,-999,181241,574593
2012,1919,1871,48,1359,560,-999,-999,-999,-999,-999,-999,-999,-999,-999,195869,577916
2013,1761,1705,56,1373,383,-999,-999,-999,-999,-999,-999,-999,-999,-999,203990,572742
2014,1862,1805,57,1528,334,-999,-999,-999,-999,-999,-999,-999,-999,-999,215815,586213
2015,977,942,35,751,226,-999,-999,-999,-999,-999,-999,-999,-999,-999,216438,574530
2016,510,487,23,410,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,204149,553495
2017,867,847,20,696,171,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
