#
# The copyright to the intellectual property of this file is held by www.climatedata.info
# Title,"Temperature, CO2 and Milankovitch cycles - Vostok"
# Source: http://www.ncdc.noaa.gov/paleo/indexice.html
# Source: http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/
#
BP,Temp
-405900,0.168
-405800,0.114
-405700,0.06
-405600,0.007
-405500,-0.047
-405400,-0.1
-405300,-0.134
-405200,-0.169
-405100,-0.203
-405000,-0.237
-404900,-0.271
-404800,-0.293
-404700,-0.31
-404600,-0.327
-404500,-0.344
-404400,-0.361
-404300,-0.388
-404200,-0.428
-404100,-0.467
-404000,-0.507
-403900,-0.546
-403800,-0.592
-403700,-0.672
-403600,-0.752
-403500,-0.831
-403400,-0.911
-403300,-0.991
-403200,-1.041
-403100,-1.081
-403000,-1.121
-402900,-1.161
-402800,-1.201
-402700,-1.232
-402600,-1.237
-402500,-1.242
-402400,-1.248
-402300,-1.253
-402200,-1.259
-402100,-1.235
-402000,-1.204
-401900,-1.173
-401800,-1.141
-401700,-1.11
-401600,-1.095
-401500,-1.11
-401400,-1.125
-401300,-1.14
-401200,-1.155
-401100,-1.17
-401000,-1.243
-400900,-1.318
-400800,-1.394
-400700,-1.469
-400600,-1.545
-400500,-1.586
-400400,-1.597
-400300,-1.608
-400200,-1.619
-400100,-1.629
-400000,-1.64
-399900,-1.642
-399800,-1.644
-399700,-1.646
-399600,-1.647
-399500,-1.649
-399400,-1.653
-399300,-1.659
-399200,-1.664
-399100,-1.67
-399000,-1.675
-398900,-1.684
-398800,-1.728
-398700,-1.772
-398600,-1.815
-398500,-1.859
-398400,-1.903
-398300,-1.943
-398200,-1.981
-398100,-2.019
-398000,-2.057
-397900,-2.095
-397800,-2.131
-397700,-2.144
-397600,-2.156
-397500,-2.169
-397400,-2.181
-397300,-2.194
-397200,-2.232
-397100,-2.293
-397000,-2.354
-396900,-2.415
-396800,-2.476
-396700,-2.536
-396600,-2.583
-396500,-2.629
-396400,-2.675
-396300,-2.72
-396200,-2.766
-396100,-2.828
-396000,-2.936
-395900,-3.044
-395800,-3.152
-395700,-3.26
-395600,-3.368
-395500,-3.487
-395400,-3.618
-395300,-3.75
-395200,-3.881
-395100,-4.013
-395000,-4.144
-394900,-4.273
-394800,-4.397
-394700,-4.521
-394600,-4.645
-394500,-4.769
-394400,-4.892
-394300,-5.016
-394200,-5.076
-394100,-5.133
-394000,-5.191
-393900,-5.248
-393800,-5.306
-393700,-5.363
-393600,-5.395
-393500,-5.382
-393400,-5.368
-393300,-5.354
-393200,-5.341
-393100,-5.327
-393000,-5.314
-392900,-5.295
-392800,-5.273
-392700,-5.252
-392600,-5.23
-392500,-5.209
-392400,-5.188
-392300,-5.181
-392200,-5.246
-392100,-5.312
-392000,-5.377
-391900,-5.442
-391800,-5.507
-391700,-5.573
-391600,-5.579
-391500,-5.542
-391400,-5.506
-391300,-5.47
-391200,-5.433
-391100,-5.397
-391000,-5.36
-390900,-5.357
-390800,-5.354
-390700,-5.351
-390600,-5.348
-390500,-5.345
-390400,-5.342
-390300,-5.348
-390200,-5.363
-390100,-5.378
-390000,-5.394
-389900,-5.409
-389800,-5.425
-389700,-5.44
-389600,-5.382
-389500,-5.324
-389400,-5.266
-389300,-5.208
-389200,-5.15
-389100,-5.093
-389000,-5.065
-388900,-5.057
-388800,-5.049
-388700,-5.041
-388600,-5.033
-388500,-5.025
-388400,-5.041
-388300,-5.101
-388200,-5.162
-388100,-5.222
-388000,-5.282
-387900,-5.342
-387800,-5.4
-387700,-5.41
-387600,-5.419
-387500,-5.429
-387400,-5.438
-387300,-5.447
-387200,-5.457
-387100,-5.48
-387000,-5.51
-386900,-5.539
-386800,-5.569
-386700,-5.599
-386600,-5.629
-386500,-5.637
-386400,-5.591
-386300,-5.546
-386200,-5.5
-386100,-5.454
-386000,-5.408
-385900,-5.363
-385800,-5.233
-385700,-5.097
-385600,-4.962
-385500,-4.827
-385400,-4.692
-385300,-4.556
-385200,-4.473
-385100,-4.397
-385000,-4.321
-384900,-4.245
-384800,-4.169
-384700,-4.084
-384600,-3.928
-384500,-3.772
-384400,-3.616
-384300,-3.46
-384200,-3.304
-384100,-3.156
-384000,-3.013
-383900,-2.87
-383800,-2.727
-383700,-2.584
-383600,-2.518
-383500,-2.561
-383400,-2.605
-383300,-2.648
-383200,-2.691
-383100,-2.733
-383000,-2.772
-382900,-2.811
-382800,-2.85
-382700,-2.89
-382600,-2.953
-382500,-3.105
-382400,-3.257
-382300,-3.409
-382200,-3.561
-382100,-3.712
-382000,-3.778
-381900,-3.838
-381800,-3.899
-381700,-3.96
-381600,-4.02
-381500,-4.075
-381400,-4.124
-381300,-4.172
-381200,-4.221
-381100,-4.27
-381000,-4.319
-380900,-4.382
-380800,-4.446
-380700,-4.51
-380600,-4.574
-380500,-4.638
-380400,-4.692
-380300,-4.727
-380200,-4.762
-380100,-4.797
-380000,-4.832
-379900,-4.867
-379800,-4.852
-379700,-4.808
-379600,-4.764
-379500,-4.72
-379400,-4.675
-379300,-4.631
-379200,-4.57
-379100,-4.509
-379000,-4.448
-378900,-4.386
-378800,-4.325
-378700,-4.244
-378600,-4.137
-378500,-4.03
-378400,-3.923
-378300,-3.816
-378200,-3.706
-378100,-3.562
-378000,-3.418
-377900,-3.275
-377800,-3.131
-377700,-2.991
-377600,-3.047
-377500,-3.104
-377400,-3.16
-377300,-3.216
-377200,-3.276
-377100,-3.432
-377000,-3.588
-376900,-3.743
-376800,-3.899
-376700,-4.054
-376600,-4.151
-376500,-4.24
-376400,-4.33
-376300,-4.42
-376200,-4.51
-376100,-4.603
-376000,-4.699
-375900,-4.795
-375800,-4.891
-375700,-4.988
-375600,-5.081
-375500,-5.113
-375400,-5.145
