#
# Horizontal conversion = 152,1081,1890,2020,year
# Vertical conversion = 1067,796,9,18,bbl/d
#
# Hubbert( x0=1910.000, s0=0.09437, s1=0.09206, peak=7.655, shift=9.000)
# Hubbert( x0=1973.000, s0=0.16677, s1=0.12915, peak=5.407, shift=0.000)
# Hubbert( x0=2030.000, s0=0.13299, s1=0.13000, peak=2.266, shift=0.000)
#
X,Y
1890.000,12.421
1891.000,12.720
1892.000,12.985
1893.000,13.251
1894.000,13.517
1895.000,13.716
1896.000,13.915
1897.000,14.048
1898.000,14.214
1899.000,14.347
1900.000,14.546
1901.000,14.978
1902.000,15.310
1903.000,15.609
1904.000,15.875
1905.000,16.107
1906.000,16.339
1907.000,16.506
1908.000,16.705
1909.000,16.838
1910.000,16.871
1911.000,16.705
1912.000,16.539
1913.000,16.373
1914.000,16.173
1915.000,15.974
1916.000,15.808
1917.000,15.609
1918.000,15.410
1919.000,15.177
1920.000,14.978
1921.000,14.679
1922.000,14.413
1923.000,14.181
1924.000,13.915
1925.000,13.649
1926.000,13.384
1927.000,13.118
1928.000,12.819
1929.000,12.554
1930.000,12.288
1931.000,12.122
1932.000,11.956
1933.000,11.790
1934.000,11.590
1935.000,11.391
1936.000,11.225
1937.000,11.026
1938.000,10.860
1939.000,10.727
1940.000,10.594
1941.000,10.594
1942.000,10.594
1943.000,10.594
1944.000,10.594
1945.000,10.594
1946.000,10.561
1947.000,10.528
1948.000,10.494
1949.000,10.428
1950.000,10.461
1951.000,10.661
1952.000,10.827
1953.000,10.993
1954.000,11.092
1955.000,11.225
1956.000,11.292
1957.000,11.358
1958.000,11.391
1959.000,11.424
1960.000,11.524
1961.000,11.889
1962.000,12.221
1963.000,12.487
1964.000,12.587
1965.000,12.554
1966.000,12.753
1967.000,12.985
1968.000,13.284
1969.000,13.716
1970.000,14.081
1971.000,14.280
1972.000,14.513
1973.000,14.712
1974.000,14.413
1975.000,13.849
1976.000,14.081
1977.000,14.048
1978.000,13.915
1979.000,13.882
1980.000,13.251
1981.000,12.686
1982.000,12.221
1983.000,11.856
1984.000,11.923
1985.000,11.823
1986.000,11.856
1987.000,11.756
1988.000,11.790
1989.000,11.624
1990.000,11.391
1991.000,10.993
1992.000,10.727
1993.000,10.328
1994.000,10.196
1995.000,10.096
1996.000,10.096
1997.000,9.930
1998.000,9.697
1999.000,9.465
2000.000,9.465
2001.000,19.362
2002.000,19.362
2003.000,9.498
2004.000,9.697
2005.000,9.764
2006.000,9.797
2007.000,9.797
2008.000,9.797
2009.000,9.565
2010.000,9.863
2011.000,10.030
2012.000,10.063
2013.000,10.063
2014.000,10.063
2015.000,10.096
2016.000,10.295
2017.000,10.030
2018.000,10.030
2019.000,10.096
2020.000,10.063
