Year,Total,CO_Total,NG_Total,Dry_Total,Expl_Total,Expl_CO,Expl_NG,Expl_Dry,Prod_Total,Prod_CO,Prod_NG,Prod_Dry,N_Rigs,
1973,138223,44416,38045,55761,45618,4008,7038,34571,92605,40408,31007,21190,1194,
1974,153374,52025,38449,62899,51315,5029,7683,38603,102059,46996,30766,24296,1472,
1975,180494,66819,44454,69220,54677,5806,8422,40448,125817,61013,36032,28772,1660,
1976,186982,68892,49113,68977,53617,6527,9121,37969,133365,62365,39992,31008,1658,
1977,215866,75451,63686,76728,57949,6870,10255,40823,157917,68581,53431,35905,2001,
1978,238669,77041,75841,85788,65197,7105,11798,46295,173472,69936,64043,39493,2259,
1979,244798,82688,80468,81642,63096,7941,12643,42512,181702,74747,67825,39130,2177,
1980,316943,125262,92106,99575,74288,10177,13862,50249,242655,115085,78244,49326,2909,
1981,415454,172167,108353,134934,101808,15515,17079,69214,313646,156652,91274,65720,3970,
1982,380569,149674,107149,123746,88856,13413,14763,60680,291713,136261,92386,63066,3105,
1983,320179,136849,78108,105222,69690,10437,10264,48989,250489,126412,67844,56233,2232,
1984,373993,162653,91480,119860,80853,12294,9935,58624,293140,150359,81545,61236,2428,
1985,314409,137728,76293,100388,65602,9854,8144,47604,248807,127874,68149,52784,1980,
1986,182825,76825,45039,60961,42305,6579,5401,30325,140520,70246,39638,30636,964,
1987,162530,66358,42584,53588,37462,5652,5064,26746,125068,60706,37520,26842,936,#REF!
1988,156519,58639,45363,52517,37357,5286,4992,27079,119162,53353,40371,25438,936,
1989,134446,43266,49081,42099,30270,3659,4664,21947,104176,39607,44417,20152,869,
1990,155283,55943,56829,42511,31837,5320,5765,20752,123447,50623,51064,21759,1010,
1991,143424,55368,50238,37817,27127,4469,4615,18042,116296,50899,45623,19774,860,
1992,118786,45034,44301,29451,20548,3957,3543,13047,98238,41077,40758,16404,721,
1993,133078,43857,58130,31090,20984,3572,3947,13465,112093,40285,54183,17625,754,
1994,124163,38300,58108,27756,22377,3970,5120,13288,101786,34330,52988,14468,775,
1995,116662,40667,49600,26395,19345,3934,3489,11922,97317,36734,46111,14473,723,
1996,125992,42114,56050,27828,19690,3655,3901,12134,106302,38460,52149,15694,779,
1997,161286,56134,71416,33735,21478,3946,4032,13499,139808,52188,67384,20236,943,
1998,137114,38471,70082,28561,17641,2740,4092,10809,119473,35731,65990,17752,827,
1999,102613,21900,60096,20617,13062,1428,3963,7671,89551,20473,56133,12946,625,
2000,144175,36702,83414,24060,16123,2095,4834,9194,128052,34607,78579,14866,918,
2001,179716,43122,110523,26072,21313,2608,7318,11387,158402,40514,103204,14684,1156,
2002,144856,30842,92885,21129,16130,1738,5729,8663,128726,29104,87156,12466,830,
2003,176867,38495,115833,22539,17785,2453,6569,8763,159082,36042,109263,13777,1032,
2004,203997,42032,138503,23462,22382,3141,9998,9243,181615,38892,128505,14219,1192,
2005,240969,51511,164353,25104,25955,4262,12347,9347,215014,47249,152006,15758,1381,
2006,285398,63649,193595,28154,29630,4998,14945,9688,255768,58651,178650,18466,1649,
2007,308210,66527,212753,28931,36534,6271,19982,10281,271676,60256,192771,18650,1768,
2008,331740,88382,212079,31280,35585,7389,17066,11130,296155,80993,195013,20149,1879,
2009,193842,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1089,
2010,278280,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1546,
2011,341978,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1879,
2012,353096,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1919,
2013,327546,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1761,
2014,350056,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1862,
2015,185630,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,977,
2016,97920,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,510,
2017,168198,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,867,#REF!
