Index	Region, subregion, country or area *	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
1	WORLD	7383008.82	7466964.28	7550262.101	7632819.325	7714576.923	7795482.309	7875464.634	7954468.982	8032487.475	8109532.823	8185613.757	8260710.124	8334801.643	8407900.352	8480027.356	8551198.644	8621415.775	8690673.506	8758973.114	8826315.616	8892701.94	8958126.691	9022590.075	9086103.797	9148683.649	9210337.004	9271063.273	9330845.89	9389655.929	9447454.649	9504209.572	9559909.195	9614545.44	9668093.432	9720525.979	9771822.753	9821979.204	9870996.143	9918868.234	9965591.995	10011171.422	10055609.539	10098925.718	10141161.411	10182370.369	10222598.469	10261867.905	10300193.299	10337605.232	10374134.682	10409808.296	10444646.732	10478663.35	10511866.504	10544259.435	10575846.551	10606640.45	10636651.714	10665879.012	10694316.774	10721963.763	10748825.986	10774916.274	10800248.725	10824840.805	10848708.184	10871858.04	10894298.619	10916049.655	10937133.165	10957565.804	10977355.755	10996502.489	11015004.824	11032857.615	11050055.193	11066592.635	11082465.223	11097667.992	11112193.711	11126032.796	11139172.514	11151596.85	11163286.403	11174218.742	11184367.721
2	More developed regions	1253206.546	1256576.162	1259922.493	1263199.677	1266335.192	1269276.846	1272012.817	1274562.777	1276943.177	1279181	1281295.84	1283293.654	1285167.279	1286907.411	1288500.032	1289936.553	1291216.898	1292350.314	1293348.343	1294226.911	1294999.564	1295672.422	1296249.509	1296739.679	1297152.387	1297495.714	1297774.84	1297994.139	1298159.433	1298276.382	1298349.044	1298382.202	1298376.623	1298327.412	1298226.562	1298068.585	1297854.073	1297586.699	1297268.423	1296902	1296490.63	1296037.141	1295544.844	1295018.627	1294464.108	1293886.943	1293290.735	1292680.501	1292065.105	1291454.696	1290857.791	1290279.749	1289723.284	1289190.442	1288682.082	1288199.377	1287743.981	1287318.674	1286926.955	1286572.57	1286258.023	1285984.709	1285751.555	1285555.108	1285390.537	1285253.664	1285142.523	1285056.252	1284994.06	1284955.375	1284938.992	1284942.409	1284962.322	1284995.921	1285040.084	1285091.238	1285145.566	1285198.743	1285246.06	1285282.484	1285302.756	1285301.302	1285272.227	1285209.415	1285106.439	1284956.662
3	Less developed regions	6129802.274	6210388.118	6290339.608	6369619.648	6448241.731	6526205.463	6603451.817	6679906.205	6755544.298	6830351.823	6904317.917	6977416.47	7049634.364	7120992.941	7191527.324	7261262.091	7330198.877	7398323.192	7465624.771	7532088.705	7597702.376	7662454.269	7726340.566	7789364.118	7851531.262	7912841.29000001	7973288.433	8032851.751	8091496.496	8149178.267	8205860.528	8261526.993	8316168.817	8369766.02	8422299.417	8473754.168	8524125.131	8573409.44399999	8621599.811	8668689.995	8714680.792	8759572.398	8803380.874	8846142.784	8887906.261	8928711.526	8968577.16999999	9007512.798	9045540.127	9082679.986	9118950.505	9154366.983	9188940.06600001	9222676.062	9255577.353	9287647.174	9318896.469	9349333.03999999	9378952.057	9407744.204	9435705.74	9462841.277	9489164.71899999	9514693.617	9539450.268	9563454.52	9586715.517	9609242.367	9631055.595	9652177.79	9672626.812	9692413.346	9711540.167	9730008.903	9747817.531	9764963.955	9781447.069	9797266.47999999	9812421.932	9826911.22700001	9840730.04	9853871.21200001	9866324.623	9878076.988	9889112.30300001	9899411.059
4	Least developed countries	956631.108	979387.925	1002485.957	1025936.734	1049764.676	1073984.277	1098590.732	1123562.734	1148879.148	1174512.554	1200440.577	1226649.541	1253133.575	1279887.684	1306909.872	1334195.7	1361735.455	1389516.137	1417526.003	1445752.293	1474182.634	1502805.358	1531609.175	1560581.908	1589711.201	1618984.508	1648390.597	1677916.857	1707547.911	1737266.944	1767059.061	1796910.693	1826811.7	1856754.484	1886733.52	1916741.581	1946768.534	1976801.438	2006826.882	2036830.354	2066798.175	2096717.827	2126578.676	2156370.882	2186085.288	2215711.984	2245239.691	2274655.065	2303944.186	2333092.105	2362084.402	2390908.78	2419553.131	2448004.585	2476249.906	2504276.449	2532072.631	2559627.1	2586927.671	2613962.033	2640718.787	2667187.817	2693360.017	2719226.442	2744778.698	2770008.912	2794909.445	2819473.312	2843694.355	2867566.887	2891085.724	2914245.305	2937040.879	2959468.877	2981526.769	3003211.538	3024520.093	3045448.836	3065994.27	3086152.967	3105922.006	3125299.036	3144282.272	3162870.505	3181063.167	3198860.212
5	Less developed regions, excluding least developed countries	5173171.166	5231000.193	5287853.651	5343682.914	5398477.055	5452221.186	5504861.085	5556343.471	5606665.15	5655839.269	5703877.34	5750766.929	5796500.789	5841105.257	5884617.452	5927066.391	5968463.422	6008807.055	6048098.768	6086336.412	6123519.742	6159648.911	6194731.391	6228782.21	6261820.061	6293856.782	6324897.836	6354934.894	6383948.585	6411911.323	6438801.467	6464616.3	6489357.117	6513011.536	6535565.897	6557012.587	6577356.597	6596608.006	6614772.929	6631859.641	6647882.617	6662854.571	6676802.19799999	6689771.902	6701820.973	6712999.542	6723337.479	6732857.733	6741595.941	6749587.881	6756866.103	6763458.203	6769386.935	6774671.477	6779327.447	6783370.725	6786823.838	6789705.94	6792024.386	6793782.171	6794986.953	6795653.46	6795804.702	6795467.17500001	6794671.57	6793445.608	6791806.072	6789769.055	6787361.24	6784610.903	6781541.088	6778168.041	6774499.288	6770540.026	6766290.762	6761752.41699999	6756926.976	6751817.64399999	6746427.66199999	6740758.26	6734808.034	6728572.176	6722042.351	6715206.483	6708049.136	6700550.847
6	Less developed regions, excluding China	4701441.323	4775416.037	4849208.305	4922818.326	4996288.596	5069639.765	5142838.576	5215818.713	5288533.446	5360930.25	5432967.091	5504610.138	5575845.982	5646679.391	5717127.011	5787196.413	5856875.963	5926139.509	5994963.36	6063319.409	6131182.336	6198530.537	6265349.188	6331627.093	6397355.771	6462522.403	6527110.24699999	6591093.225	6654437.857	6717104.821	6779059.707	6840278.198	6900741.972	6960429.596	7019321.437	7077398.224	7134644.811	7191042.64799999	7246565.943	7301186.657	7354883.546	7407641.217	7459456.64899999	7510336.157	7560293.541	7609338.856	7657472.489	7704688.95500001	7750987.652	7796367.115	7840827.325	7884369.137	7926995.695	7968712.099	8009524.206	8049437.644	8088456.654	8126584.021	8163821.548	8200170.161	8235632.027	8270211.199	8303913.96699999	8336747.74900001	8368721.27300001	8399842.629	8430117.015	8459549.744	8488150.221	8515928.16899999	8542891.942	8569050.468	8594407.16	8618960.339	8642705.232	8665640.574	8687770.59	8709104.415	8729654.708	8749434.56300001	8768456.457	8786731.295	8804268.002	8821073.383	8837152.518	8852508.001
7	High-income countries	1180060.957	1185859.358	1191584.02	1197191.032	1202605.511	1207775.438	1212691.461	1217383.649	1221885.058	1226243.302	1230492.017	1234642.873	1238683.354	1242592.366	1246337.813	1249896.187	1253263.841	1256448.268	1259450.362	1262273.728	1264922.447	1267397.683	1269702.236	1271844.054	1273833.353	1275679.329	1277386.656	1278960.4	1280411.217	1281751.22	1282990.054	1284135.482	1285190.367	1286154.31	1287024.014	1287798.294	1288480.637	1289077.284	1289593.722	1290036.201	1290410.794	1290721.913	1290973.891	1291172.969	1291325.83	1291438.409	1291514.92	1291559.202	1291577.108	1291574.414	1291556.098	1291526.214	1291486.659	1291436.568	1291373.579	1291296.406	1291205.689	1291103.968	1290994.637	1290881.673	1290767.975	1290655.815	1290545.096	1290433.948	1290319.4	1290199.496	1290073.912	1289944.591	1289815.267	1289690.922	1289575.182	1289468.573	1289369.918	1289279.676	1289197.853	1289123.674	1289055.632	1288991.529	1288928.488	1288862.9	1288791.061	1288708.462	1288610.553	1288492.152	1288347.813	1288171.667
8	Middle-income countries	5558263.979	5618975.116	5678780.098	5737641.716	5795574.031	5852576.168	5908592.622	5963545.544	6017395.537	6070108.456	6121661.379	6172027.49	6221205.282	6269232.43	6316166.866	6362053.886	6406905.254	6450716.669	6493498.728	6535260.566	6576010.167	6615750.954	6654489.744	6692241.025	6729021.316	6764839.985	6799701.843	6833596.524	6866497.698	6898369.077	6929181.568	6958928.067	6987607.372	7015202.952	7041697.383	7067079.456	7091350.845	7114518.116	7136582.837	7157548.844	7177426.66	7196226.785	7213974.386	7230714.41	7246502.855	7261389.32	7275402.725	7288566.215	7300917.23	7312494.561	7323332.913	7333460.705	7342900.941	7351675.183	7359801.635	7367298.148	7374188.099	7380490.678	7386213.077	7391357.695	7395931.754	7399949.222	7403432.667	7406408.124	7408905.775	7410952.4	7412563.785	7413753.876	7414546.221	7414964.911	7415029.498	7414754.026	7414144.656	7413203.735	7411929.152	7410319.449	7408374.854	7406097.162	7403488.43	7400549.163	7397276.969	7393666.462	7389708.405	7385389.96	7380694.911	7375603.036
9	Upper-middle-income countries	2588362.98	2606545.585	2623855.921	2640234.819	2655660.598	2670122.023	2683562.154	2695962.423	2707408.597	2718030.192	2727929.222	2737136.544	2745647.73	2753489.1	2760681.91	2767247.324	2773210.142	2778594.588	2783418.47	2787697.295	2791445.775	2794676.394	2797403.548	2799644.93	2801418.872	2802738.859	2803615.816	2804050.615	2804032.671	2803544.699	2802573.826	2801123.429	2799198.932	2796792.151	2793892.527	2790495.775	2786608.358	2782243.892	2777415.651	2772140.545	2766438.188	2760323.861	2753820.447	2746965.351	2739802.953	2732372.978	2724699.64	2716804.583	2708721.022	2700483.867	2692123.028	2683661.619	2675115.387	2666496.276	2657811.705	2649069.625	2640284.737	2631469.61	2622626.006	2613751.972	2604848.898	2595923.52	2586988.459	2578057.964	2569149.183	2560276.721	2551448.289	2542670.197	2533954.698	2525314.327	2516758.74	2508291.208	2499912.437	2491626.09	2483434.879	2475338.231	2467331.051	2459404.378	2451546	2443741.063	2435973.137	2428224.527	2420475.998	2412707.202	2404896.615	2397021.249
10	Lower-middle-income countries	2969900.999	3012429.531	3054924.177	3097406.897	3139913.433	3182454.145	3225030.468	3267583.121	3309986.94	3352078.264	3393732.157	3434890.946	3475557.552	3515743.33	3555484.956	3594806.562	3633695.112	3672122.081	3710080.258	3747563.271	3784564.392	3821074.56	3857086.196	3892596.095	3927602.444	3962101.126	3996086.027	4029545.909	4062465.027	4094824.378	4126607.742	4157804.638	4188408.44	4218410.801	4247804.856	4276583.681	4304742.487	4332274.224	4359167.186	4385408.299	4410988.472	4435902.924	4460153.939	4483749.059	4506699.902	4529016.342	4550703.085	4571761.632	4592196.208	4612010.694	4631209.885	4649799.086	4667785.554	4685178.907	4701989.93	4718228.523	4733903.362	4749021.068	4763587.071	4777605.723	4791082.856	4804025.702	4816444.208	4828350.16	4839756.592	4850675.679	4861115.496	4871083.679	4880591.523	4889650.584	4898270.758	4906462.818	4914232.219	4921577.645	4928494.273	4934981.218	4941043.803	4946692.784	4951942.43	4956808.1	4961303.832	4965441.935	4969232.407	4972682.758	4975798.296	4978581.787
11	Low-income countries	641858.608	659272.676	677006.927	695060.1	713435.037	732132.8	751147.588	770472.075	790104.642	810044.297	830289.022	850833.773	871672.469	892800.582	914213.471	935905.414	957869.796	980098.336	1002580.822	1025305.593	1048261.563	1071438.808	1094827.948	1118418.287	1142198.897	1166158.631	1190287.421	1214574.038	1239005.19	1263566.348	1288244.47	1313027.345	1337905.256	1362870.257	1387915.798	1413033.996	1438215.054	1463447.007	1488717.345	1514012.552	1539319.891	1564627.519	1589925.233	1615203.348	1640452.825	1665663.98	1690825.885	1715926.168	1740952.053	1765890	1790726.899	1815450.967	1840050.637	1864513.585	1888827.219	1912979.377	1936958.678	1960753.935	1984353.282	2007744.773	2030917.107	2053860.038	2076563.906	2099018.746	2121214.824	2143142.987	2164794.97	2186163.131	2207240	2228018.489	2248492.164	2268654.545	2288500.25	2308025.207	2327226.415	2346100.451	2364643.649	2382851.723	2400720.502	2418245.862	2435424.269	2452252.898	2468729.538	2484852.728	2500621.711	2516036.419
12	Sub-Saharan Africa	969234.251	995694.907	1022664.451	1050135.841	1078106.193	1106572.881	1135527.151	1164963.701	1194888.529	1225311.652	1256239.744	1287669.178	1319593.449	1352012.591	1384926.736	1418333.15	1452225.714	1486593.828	1521423.307	1556697.122	1592398.515	1628513.815	1665029.431	1701927.173	1739187.486	1776791.184	1814721.903	1852962.577	1891492.323	1930288.654	1969331.03	2008600.249	2048080.309	2087757.329	2127619.105	2167651.879	2207840.221	2248165.656	2288607.938	2329145.183	2369757.478	2410426.124	2451136.379	2491875.945	2532634.458	2573399.777	2614155.331	2654882.109	2695562.54	2736178.136	2776710.007	2817140.501	2857450.213	2897616.657	2937615.535	2977424.004	3017022.794	3056393.626	3095516.215	3134370.007	3172935.743	3211195.374	3249132.21	3286730.368	3323974.653	3360850.296	3397342.425	3433436.416	3469118.528	3504375.368	3539194.045	3573562.413	3607468.639	3640901.349	3673849.764	3706303.475	3738252.85	3769688.554	3800602.072	3830985.269	3860830.507	3890130.661	3918879.148	3947069.854	3974697.128	4001755.801
13	AFRICA	1194369.908	1225080.51	1256268.025	1287920.518	1320038.716	1352622.189	1385654.615	1419122.396	1453034.271	1487406.129	1522250.093	1557562.575	1593338.261	1629585.987	1666317.064	1703537.504	1741243.659	1779425.239	1818071.729	1857169.603	1896703.697	1936661.446	1977026.733	2017774.373	2058875.145	2100301.731	2142034.032	2184052.732	2226331.727	2268843.05	2311561.326	2354463.822	2397531.544	2440746.939	2484094.2	2527556.761	2571117.139	2614755.642	2658451.115	2702181.334	2745926.407	2789666.927	2833388.482	2877081.528	2920739.47	2964353.082	3007906.925	3051382.037	3094761.491	3138027.267	3181160.854	3224145.333	3266961.833	3309587.756	3351998.507	3394171.069	3436086.388	3477726.614	3519071.835	3560101.83	3600797.691	3641141.475	3681116.717	3720708.116	3759901.199	3798681.715	3837034.622	3874945.058	3912399.374	3949384.312	3985886.746	4021894.387	4057394.393	4092373.472	4126818.332	4160716.504	4194057.086	4226830.047	4259026.664	4290638.534	4321657.59	4352075.947	4381885.852	4411079.612	4439649.658	4467588.433
14	Eastern Africa	399458.026	410637.987	422036.243	433643.132	445447.287	457439.68	469613.839	481967.931	494503.359	507223.871	520131.276	533222.585	546492.095	559936.157	573550.36	587330.096	601271.135	615368.353	629614.38	644001.009	658520.528	673166.51	687933.55	702816.126	717808.922	732906.377	748102.425	763390.171	778762.361	794211.036	809728.865	825308.7	840944.27	856629.804	872359.868	888128.562	903929.382	919754.977	935597.609	951449.1	967301.521	983147.9	998981.486	1014794.898	1030580.548	1046331.368	1062040.004	1077699.914	1093305.371	1108851.292	1124331.927	1139741.181	1155071.855	1170316.108	1185465.528	1200512.216	1215449.663	1230271.999	1244973.034	1259546.907	1273987.859	1288290.094	1302448.103	1316456.692	1330310.973	1344006.067	1357537.553	1370900.669	1384090.254	1397100.943	1409927.937	1422567.121	1435015.327	1447270.544	1459331.637	1471196.884	1482863.944	1494329.677	1505590.722	1516643.712	1527485.634	1538114.034	1548527.016	1558723.303	1568702.152	1578463.466
15	Burundi	10199.27	10524.117	10864.245	11216.45	11575.964	11939.227	12305.457	12675.47	13049.303	13427.343	13810.006	14197.139	14588.733	14985.535	15388.616	15798.849	16216.487	16641.716	17075.25	17517.888	17970.195	18432.401	18904.397	19386.058	19877.068	20377.076	20885.948	21403.341	21928.513	22460.525	22998.539	23542.141	24090.95	24644.319	25201.545	25762.044	26325.44	26891.487	27459.946	28030.64	28603.449	29178.168	29754.726	30333.36	30914.416	31498.166	32084.542	32673.443	33265.055	33859.597	34457.167	35057.683	35660.871	36266.362	36873.658	37482.273	38091.884	38702.163	39312.593	39922.636	40531.733	41139.567	41745.726	42349.552	42950.318	43547.409	44140.408	44729.141	45313.611	45894.024	46470.435	47042.722	47610.615	48173.867	48732.199	49285.379	49833.248	50375.719	50912.73	51444.249	51970.231	52490.599	53005.252	53514.07	54016.906	54513.584
16	Comoros	777.424	795.601	813.912	832.347	850.91	869.601	888.407	907.306	926.312	945.406	964.591	983.86	1003.211	1022.641	1042.164	1061.775	1081.47	1101.26	1121.119	1141.054	1161.071	1181.144	1201.284	1221.477	1241.703	1261.942	1282.209	1302.467	1322.72	1342.933	1363.098	1383.2	1403.227	1423.17	1443.013	1462.735	1482.329	1501.786	1521.104	1540.271	1559.288	1578.14	1596.83	1615.345	1633.672	1651.809	1669.746	1687.489	1705.017	1722.363	1739.525	1756.494	1773.254	1789.804	1806.118	1822.178	1837.966	1853.485	1868.728	1883.68	1898.357	1912.739	1926.815	1940.586	1954.052	1967.204	1980.049	1992.584	2004.781	2016.646	2028.157	2039.33	2050.158	2060.636	2070.786	2080.599	2090.1	2099.264	2108.11	2116.622	2124.822	2132.686	2140.242	2147.481	2154.425	2161.085
17	Djibouti	927.414	942.333	956.985	971.408	985.69	999.899	1014.025	1028.031	1041.88	1055.552	1069.009	1082.248	1095.262	1108.021	1120.511	1132.71	1144.609	1156.203	1167.462	1178.401	1189.001	1199.256	1209.17	1218.739	1227.967	1236.85	1245.401	1253.614	1261.491	1269.036	1276.268	1283.179	1289.766	1296.038	1301.978	1307.615	1312.919	1317.902	1322.563	1326.904	1330.906	1334.592	1337.932	1340.951	1343.63	1345.96	1347.944	1349.591	1350.894	1351.881	1352.536	1352.88	1352.927	1352.664	1352.125	1351.296	1350.199	1348.847	1347.255	1345.455	1343.453	1341.281	1338.939	1336.447	1333.818	1331.086	1328.251	1325.316	1322.31	1319.244	1316.122	1312.964	1309.772	1306.535	1303.257	1299.918	1296.526	1293.08	1289.587	1286.044	1282.463	1278.844	1275.181	1271.459	1267.674	1263.813
