#
# Oil production in Austin Chalk
# million barrels per day
#
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual,Wells_Plan,Wells_Actual
2000,0.049,0.049,0.049,-999.250,0.049,-999,5587
2001,0.048,0.048,0.048,-999.250,0.048,-999,5522
2002,0.040,0.040,0.040,-999.250,0.040,-999,5449
2003,0.034,0.034,0.034,-999.250,0.034,-999,5292
2004,0.036,0.036,0.036,-999.250,0.036,-999,5256
2005,0.034,0.034,0.034,-999.250,0.034,-999,5357
2006,0.034,0.034,0.034,-999.250,0.034,-999,5375
2007,0.034,0.034,0.034,-999.250,0.034,-999,5348
2008,0.036,0.036,0.036,-999.250,0.036,-999,5366
2009,0.034,0.034,0.034,-999.250,0.034,-999,5357
2010,0.033,0.033,0.033,-999.250,0.033,-999,5357
2011,0.033,0.033,0.033,-999.250,0.033,-999,5458
2012,0.044,0.032,0.032,-999.250,0.032,-999,5504
2013,0.081,0.033,0.033,-999.250,0.033,-999,5302
2014,0.134,0.043,0.033,-999.250,0.033,-999,5219
2015,0.211,0.058,0.040,-999.250,0.042,-999,5081
2016,0.274,0.077,0.036,-999.250,0.044,-999,4953
2017,0.325,0.102,0.037,-999.250,0.070,-999,-999
2018,0.355,0.115,0.047,-999.250,0.100,-999,-999
2019,0.388,0.126,0.055,-999.250,0.123,-999,-999
2020,0.415,0.137,0.065,-999.250,-999.250,-999,-999
2021,0.437,0.141,0.072,-999.250,-999.250,-999,-999
2022,0.455,0.153,0.082,-999.250,-999.250,-999,-999
2023,0.474,0.159,0.092,-999.250,-999.250,-999,-999
2024,0.495,0.167,0.110,-999.250,-999.250,-999,-999
2025,0.523,0.152,0.138,-999.250,-999.250,-999,-999
2026,0.553,0.118,0.178,-999.250,-999.250,-999,-999
2027,0.594,0.104,0.218,-999.250,-999.250,-999,-999
2028,0.626,0.098,0.247,-999.250,-999.250,-999,-999
2029,0.642,0.099,0.278,-999.250,-999.250,-999,-999
2030,0.653,0.089,0.321,-999.250,-999.250,-999,-999
2031,0.660,0.088,0.372,-999.250,-999.250,-999,-999
2032,0.653,0.087,0.425,-999.250,-999.250,-999,-999
2033,0.640,0.089,0.485,-999.250,-999.250,-999,-999
2034,0.625,0.092,0.542,-999.250,-999.250,-999,-999
2035,0.608,0.098,0.589,-999.250,-999.250,-999,-999
2036,0.592,0.100,0.625,-999.250,-999.250,-999,-999
2037,0.570,0.105,0.659,-999.250,-999.250,-999,-999
2038,0.553,0.114,0.696,-999.250,-999.250,-999,-999
2039,0.537,0.120,0.722,-999.250,-999.250,-999,-999
2040,0.512,0.135,0.753,-999.250,-999.250,-999,-999
