#
# Oil production in Wolfcamp
# million barrels per day
#
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual,Wells_Plan,Wells_Actual
2000,0.038,0.038,0.038,-999.250,0.038,-999,2229
2001,0.034,0.034,0.034,-999.250,0.034,-999,2366
2002,0.040,0.040,0.040,-999.250,0.040,-999,2550
2003,0.037,0.037,0.037,-999.250,0.037,-999,2595
2004,0.032,0.032,0.032,-999.250,0.032,-999,2672
2005,0.028,0.028,0.028,-999.250,0.028,-999,2809
2006,0.034,0.034,0.034,-999.250,0.034,-999,2962
2007,0.032,0.032,0.032,-999.250,0.032,-999,3237
2008,0.034,0.034,0.034,-999.250,0.034,-999,3389
2009,0.038,0.038,0.038,-999.250,0.038,-999,3557
2010,0.043,0.043,0.043,-999.250,0.043,-999,3634
2011,0.051,0.051,0.051,-999.250,0.051,-999,3802
2012,0.081,0.081,0.081,-999.250,0.081,-999,4137
2013,0.203,0.125,0.125,-999.250,0.125,-999,4656
2014,0.242,0.242,0.202,-999.250,0.202,-999,5405
2015,0.274,0.341,0.285,-999.250,0.290,-999,6168
2016,0.287,0.426,0.327,-999.250,0.378,-999,6489
2017,0.297,0.487,0.364,-999.250,0.590,-999,-999
2018,0.302,0.522,0.408,-999.250,1.015,-999,-999
2019,0.305,0.550,0.467,-999.250,1.292,-999,-999
2020,0.302,0.572,0.518,-999.250,-999.250,-999,-999
2021,0.299,0.590,0.561,-999.250,-999.250,-999,-999
2022,0.293,0.605,0.592,-999.250,-999.250,-999,-999
2023,0.287,0.617,0.617,-999.250,-999.250,-999,-999
2024,0.277,0.635,0.631,-999.250,-999.250,-999,-999
2025,0.269,0.631,0.646,-999.250,-999.250,-999,-999
2026,0.261,0.624,0.668,-999.250,-999.250,-999,-999
2027,0.256,0.619,0.684,-999.250,-999.250,-999,-999
2028,0.252,0.625,0.702,-999.250,-999.250,-999,-999
2029,0.247,0.625,0.717,-999.250,-999.250,-999,-999
2030,0.242,0.623,0.721,-999.250,-999.250,-999,-999
2031,0.238,0.555,0.725,-999.250,-999.250,-999,-999
2032,0.232,0.508,0.732,-999.250,-999.250,-999,-999
2033,0.227,0.468,0.729,-999.250,-999.250,-999,-999
2034,0.224,0.423,0.733,-999.250,-999.250,-999,-999
2035,0.220,0.396,0.734,-999.250,-999.250,-999,-999
2036,0.219,0.370,0.733,-999.250,-999.250,-999,-999
2037,0.222,0.344,0.734,-999.250,-999.250,-999,-999
2038,0.222,0.322,0.733,-999.250,-999.250,-999,-999
2039,0.221,0.307,0.729,-999.250,-999.250,-999,-999
2040,0.221,0.293,0.732,-999.250,-999.250,-999,-999
