#
# Oil production in Eagle Ford
# million barrels per day
#
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual,Wells_Plan,Wells_Actual
2000,0.000,0.000,0.000,0.000,0.000,0,0
2001,0.000,0.000,0.000,0.000,0.000,0,0
2002,0.000,0.000,0.000,0.000,0.000,0,0
2003,0.000,0.000,0.000,0.000,0.000,0,0
2004,0.000,0.000,0.000,0.000,0.000,0,0
2005,0.000,0.000,0.000,0.000,0.000,0,0
2006,0.000,0.000,0.000,0.000,0.000,0,0
2007,0.000,0.000,0.000,0.000,0.000,0,0
2008,0.000,0.000,0.000,0.000,0.000,0,0
2009,0.000,0.000,0.000,0.000,0.000,0,0
2010,0.034,0.034,0.034,0.034,0.034,244,244
2011,0.183,0.183,0.183,0.183,0.183,1098,1098
2012,0.537,0.537,0.537,0.537,0.537,3598,3598
2013,0.972,0.972,0.972,0.972,0.972,6829,6829
2014,1.361,1.361,1.361,1.361,1.361,11768,10671
2015,1.540,1.475,1.456,1.540,1.498,14817,14268
2016,1.555,1.490,1.113,1.604,1.175,17988,15400
2017,1.540,1.521,1.059,1.582,1.094,20671,-999
2018,1.532,1.490,1.021,1.521,1.180,23476,-999
2019,1.532,1.452,0.979,1.452,1.216,26280,-999
2020,1.429,1.380,0.930,1.380,-999.250,28537,-999
2021,1.349,1.277,0.896,1.277,-999.250,30854,-999
2022,1.265,1.197,0.865,1.197,-999.250,33049,-999
2023,1.204,1.101,0.850,1.101,-999.250,35305,-999
2024,1.136,1.033,0.831,1.002,-999.250,36585,-999
2025,1.063,0.968,0.796,0.819,-999.250,36951,-999
2026,1.010,0.903,0.789,0.655,-999.250,36951,-999
2027,0.957,0.850,0.781,0.511,-999.250,36951,-999
2028,0.896,0.819,0.755,0.408,-999.250,36951,-999
2029,0.854,0.781,0.747,0.328,-999.250,36951,-999
2030,0.812,0.755,0.743,0.271,-999.250,36951,-999
2031,0.777,0.732,0.686,0.213,-999.250,36951,-999
2032,0.739,0.713,0.659,0.175,-999.250,36951,-999
2033,0.716,0.697,0.655,0.130,-999.250,36951,-999
2034,0.697,0.678,0.659,0.103,-999.250,36951,-999
2035,0.682,0.667,0.663,0.088,-999.250,36951,-999
2036,0.663,0.663,0.663,0.069,-999.250,36951,-999
2037,0.640,0.663,0.663,0.057,-999.250,36951,-999
2038,0.617,0.663,0.663,0.046,-999.250,36951,-999
2039,0.606,0.648,0.671,0.038,-999.250,36951,-999
2040,0.587,0.625,0.675,0.023,-999.250,36951,-999
