#
# Oil production in Spraberry
# million barrels per day
#
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual,Wells_Plan,Wells_Actual
2000,0.078,0.078,0.078,-999.250,0.078,-999,9983
2001,0.072,0.072,0.072,-999.250,0.072,-999,10100
2002,0.070,0.070,0.070,-999.250,0.070,-999,10100
2003,0.069,0.069,0.069,-999.250,0.069,-999,10274
2004,0.073,0.073,0.073,-999.250,0.073,-999,10448
2005,0.078,0.078,0.078,-999.250,0.078,-999,10738
2006,0.081,0.081,0.081,-999.250,0.081,-999,11028
2007,0.090,0.090,0.090,-999.250,0.090,-999,11841
2008,0.110,0.110,0.110,-999.250,0.110,-999,12653
2009,0.127,0.127,0.127,-999.250,0.127,-999,13582
2010,0.161,0.161,0.161,-999.250,0.161,-999,14743
2011,0.226,0.226,0.226,-999.250,0.226,-999,16600
2012,0.332,0.301,0.301,-999.250,0.301,-999,20199
2013,0.607,0.365,0.365,-999.250,0.365,-999,24030
2014,0.639,0.469,0.469,-999.250,0.469,-999,27280
2015,0.657,0.485,0.596,-999.250,0.563,-999,29834
2016,0.674,0.489,0.635,-999.250,0.689,-999,30357
2017,0.685,0.503,0.691,-999.250,0.917,-999,-999
2018,0.693,0.517,0.739,-999.250,1.293,-999,-999
2019,0.700,0.528,0.795,-999.250,1.459,-999,-999
2020,0.711,0.528,0.856,-999.250,-999.250,-999,-999
2021,0.717,0.526,0.783,-999.250,-999.250,-999,-999
2022,0.708,0.509,0.683,-999.250,-999.250,-999,-999
2023,0.696,0.491,0.621,-999.250,-999.250,-999,-999
2024,0.680,0.477,0.560,-999.250,-999.250,-999,-999
2025,0.671,0.468,0.515,-999.250,-999.250,-999,-999
2026,0.654,0.454,0.492,-999.250,-999.250,-999,-999
2027,0.641,0.445,0.485,-999.250,-999.250,-999,-999
2028,0.628,0.434,0.476,-999.250,-999.250,-999,-999
2029,0.613,0.420,0.457,-999.250,-999.250,-999,-999
2030,0.606,0.408,0.451,-999.250,-999.250,-999,-999
2031,0.593,0.401,0.443,-999.250,-999.250,-999,-999
2032,0.580,0.396,0.437,-999.250,-999.250,-999,-999
2033,0.570,0.393,0.436,-999.250,-999.250,-999,-999
2034,0.563,0.394,0.434,-999.250,-999.250,-999,-999
2035,0.555,0.396,0.434,-999.250,-999.250,-999,-999
2036,0.543,0.402,0.434,-999.250,-999.250,-999,-999
2037,0.534,0.402,0.433,-999.250,-999.250,-999,-999
2038,0.526,0.402,0.439,-999.250,-999.250,-999,-999
2039,0.515,0.394,0.443,-999.250,-999.250,-999,-999
2040,0.503,0.391,0.443,-999.250,-999.250,-999,-999
