#
# Gas production in Haynesville
# billion ft3 per day
#
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual,Wells_Plan,Wells_Actual
2000,0.086,0.086,0.086,0.086,0.086,0,0
2001,0.107,0.107,0.107,0.107,0.107,0,0
2002,0.086,0.086,0.086,0.086,0.086,0,0
2003,0.129,0.129,0.129,0.129,0.129,0,0
2004,0.086,0.086,0.086,0.086,0.086,0,0
2005,0.086,0.086,0.086,0.086,0.086,28,28
2006,0.043,0.043,0.043,0.043,0.043,110,110
2007,0.043,0.043,0.043,0.043,0.043,110,110
2008,0.129,0.129,0.129,0.129,0.129,138,138
2009,1.072,1.072,1.072,1.072,1.072,413,413
2010,3.859,3.859,3.859,3.859,3.859,1047,1047
2011,6.775,6.539,6.539,6.775,6.775,2012,2012
2012,7.011,6.689,6.689,6.432,7.225,3032,2812
2013,5.038,5.038,5.038,4.438,5.381,3253,3142
2014,4.802,4.159,4.159,3.816,4.374,3501,3363
2015,5.317,3.795,3.795,3.409,3.966,3749,3528
2016,5.510,3.838,3.516,3.216,3.881,4135,3611
2017,5.703,3.859,3.495,3.152,-999.250,4383,-999
2018,6.132,4.031,3.559,3.087,-999.250,4686,-999
2019,7.182,4.224,3.902,3.044,-999.250,5044,-999
2020,8.940,4.588,5.317,2.980,-999.250,5320,-999
2021,9.862,5.145,6.882,2.980,-999.250,5596,-999
2022,10.377,5.939,8.319,2.959,-999.250,5871,-999
2023,10.720,6.603,9.648,2.937,-999.250,6285,-999
2024,10.977,7.375,10.505,2.959,-999.250,6588,-999
2025,11.213,8.040,10.977,2.959,-999.250,6864,-999
2026,11.470,8.576,11.170,2.937,-999.250,7167,-999
2027,11.577,8.940,11.299,2.894,-999.250,7525,-999
2028,11.470,9.198,11.513,2.894,-999.250,7801,-999
2029,11.299,9.433,11.685,2.894,-999.250,8132,-999
2030,11.191,9.691,11.813,2.894,-999.250,8407,-999
2031,11.041,9.926,11.813,2.851,-999.250,8600,-999
2032,10.827,10.312,11.899,2.830,-999.250,9041,-999
2033,10.655,10.655,11.963,2.830,-999.250,9234,-999
2034,10.398,10.870,12.028,2.787,-999.250,9593,-999
2035,10.184,11.170,12.070,2.809,-999.250,9923,-999
2036,10.034,11.406,12.135,2.787,-999.250,10227,-999
2037,9.905,11.620,12.178,2.787,-999.250,10502,-999
2038,9.712,11.835,12.178,2.744,-999.250,10778,-999
2039,9.519,11.792,12.392,2.723,-999.250,10998,-999
2040,9.262,11.706,12.542,2.701,-999.250,11357,-999
