Country	Population	LEB	Latitude	Territory	Deaths_pa	Deaths_0_5	Deaths_6_15	Deaths_16_65	Deaths_over_65	GDP	GDP_PPP
Comoros	869.601	64.3	-12	1862.0	6000	1800	240	2220	1680	1365	2470
Congo	5686.917	64.6	-4	342000.0	36000	8280	1800	16920	9360	2276	6566
Costa Rica	5044.179	80.3	10	51100.0	26000	780	260	8060	17160	11925	17841
Cote d’Ivoire	26171.750	57.8	7	322463.0	254000	76200	15240	106680	55880	1658	4287
Croatia	4115.947	78.5	46	56594.0	55000	0	0	8800	46200	14345	26962
Cuba	11495.492	78.8	23	109884.0	104000	1040	0	24960	78000	8628	11900
Curacao	163.495	78.9	12	444.0	1000	10	0	230	750	19577	15000
Cyprus	1207.343	81	35	9251.0	9000	90	0	1260	7650	27400	39778
Czechia	10633.424	79.4	50	78865.0	113000	0	0	19210	92660	22206	38510
Dem. People's Republic of Korea	25840.863	72.3	39	120540.0	236000	7080	2360	75520	153400	685	1700
Democratic Republic of the Congo	89505.201	60.7	-4	2344858.0	809000	339780	64720	242700	161800	508	868
Denmark	5796.800	80.9	56	43094.0	57000	0	0	8550	47880	59559	53649
Diamond Princess	3.750	-999	36	0.01	-999	-999	-999	-999	-999	-999	-999
Djibouti	999.899	67.1	11	23200.0	7000	1120	280	3080	2520	2649	4728
Dominica	75.052	-999	15	751.0	-999	-999	-999	-999	-999	7597	11994
Dominican Republic	11108.358	74.1	18	48671.0	66000	5940	660	26400	32340	7911	18458
Ecuador	17335.642	77	0	276841.0	89000	5340	1780	33820	48060	6289	11600
Egypt	102941.484	72	30	1002450.0	580000	52200	5800	197200	319000	2532	13404
El Salvador	6479.066	73.3	14	21041.0	46000	1840	460	18400	24840	3985	8608
Equatorial Guinea	1406.280	58.7	4	28051.0	12000	3840	600	5280	2280	9680	25868
Eritrea	5432.216	66.3	15	117600.0	25000	4500	750	9250	10500	745	1252
Estonia	1300.559	78.7	59	45227.0	16000	0	0	3200	12800	22527	35027
Eswatini	1439.295	60.2	-26	17364.0	10000	1500	300	5300	2900	3849	10559
Ethiopia	112759.070	66.6	9	1104300.0	721000	187460	50470	259560	216300	815	2275
Falkland Islands (Malvinas)	2.925	-999	-52	12173.0	-999	-999	-999	-999	-999	96200	96200
Faroe Islands	49.896	-999	62	1393.0	-999	-999	-999	-999	-999	55823	40000
Fiji	924.915	67.4	-18	18274.0	7000	420	140	3290	3150	6009	11156
Finland	5580.127	81.9	60	338424.0	54000	0	0	8100	45360	48230	47322
France	65721.165	82.7	49	640679.0	609000	0	0	97440	505470	40546	45861
French Guiana	303.982	80	5	83534.0	1000	90	10	310	600	-999	-999
French Polynesia	290.744	77.7	-18	4167.0	2000	40	0	640	1320	17066	17000
Gabon	2151.289	66.5	0	267668.0	15000	3300	600	5850	5250	7762	19005
Gambia	2293.493	62.1	13	11295.0	18000	5760	1440	6480	4320	727	2401
Georgia	3898.529	73.8	42	69700.0	51000	510	0	12750	37740	4294	11935
Germany	82540.450	81.3	53	357114.0	944000	0	0	141600	802400	46381	52860
Ghana	30733.755	64.1	6	238533.0	220000	44000	13200	96800	66000	2157	5563
Gibraltar	35.000	-999	36	6.5	-999	-999	-999	-999	-999	61700	61700
Greece	11102.572	82.2	38	131990.0	115000	0	0	16100	98900	19499	29669
Greenland	56.772	72.4	64	2166086.0	-999	-999	-999	-999	-999	48790	37600
Grenada	109.308	-999	12	344.0	1000	30	10	290	680	10824	15897
Guadeloupe	448.427	82.1	16	1628.0	3000	30	0	600	2370	-999	-999
Guam	168.727	80.1	13	549.0	1000	30	0	220	740	35713	30500
Guatemala	17910.812	74.3	15	108889.0	83000	11620	1660	34860	35690	4545	8557
Guernsey	62.792	-999	46	65.0	370	4	0	44	322	74463	52500
Guinea	13750.826	61.6	9	245857.0	105000	35700	7350	34650	27300	888	2360
Guinea-Bissau	2000.694	58.3	12	36125.0	18000	5220	1080	7740	3960	766	1904
Guyana	790.782	69.9	7	214969.0	6000	540	120	3000	2340	4929	11368
Haiti	11371.185	64	19	27750.0	95000	21850	5700	37050	30400	809	1861
Holy See	0.801	-999	42	0.3	-999	-999	-999	-999	-999	-999	-999
Honduras	9719.265	75.3	14	112492.0	43000	4300	1720	18060	18920	2509	5413
Hungary	9621.254	76.9	47	93028.0	122000	0	0	28060	92720	16000	31981
Iceland	343.228	83	64	103000.0	2000	0	0	300	1700	71096	55459
India	1383197.753	69.7	29	3287263.0	9926000	992600	198520	3970400	4863740	2035	7997
Indonesia	272222.987	71.7	-6	1910931.0	1761000	123270	17610	722010	898110	3968	13440
Iran (Islamic Republic of)	83587.129	76.7	36	1648195.0	401000	24060	4010	92230	280700	5605	18916
Iraq	41502.885	70.6	33	438317.0	186000	31620	5580	68820	78120	5443	17730
Ireland	4887.992	82.3	53	70273.0	30000	300	0	5700	24000	75394	80930
Isle of Man	85.895	-999	54	572.0	-999	-999	-999	-999	-999	80989	84600
Israel	8713.559	83	32	28292.0	45000	450	0	7200	37350	42330	38819
Italy	59132.073	83.5	42	301336.0	642000	0	0	70620	571380	33392	40504
Jamaica	2913.160	74.5	18	10991.0	22000	660	220	6820	14300	5315	9486
Japan	126495.647	84.6	36	377930.0	1361000	0	0	136100	1224900	39452	44108
Jersey	106.800	-999	49	118.2	630	6	0	76	548	74463	49500
Jordan	10208.662	74.5	32	89342.0	39000	3900	780	13260	21060	4275	10639
Kazakhstan	18777.139	73.6	51	2724900.0	131000	3930	1310	51090	74670	9236	28053
Kenya	53491.697	66.7	-1	580367.0	284000	71000	11360	136320	68160	1739	3682
Kiribati	122.439	68.4	2	811.0	1000	230	30	420	310	1631	2129
Kosovo	1810.463	-999	42	10887.0	-999	-999	-999	-999	-999	4287	11588
Kuwait	4302.875	75.5	30	17818.0	12000	480	120	5280	6120	30719	70163
Kyrgyzstan	6301.718	71.5	43	199951.0	38000	2660	380	14060	20520	1275	3926
Lao People's Democratic Republic	7164.822	67.9	18	236800.0	46000	8280	1380	17940	18860	2557	7841
Latvia	1892.993	75.3	57	64559.0	28000	0	0	6720	21000	17219	30197
Lebanon	6019.795	78.9	34	10452.0	30000	1200	300	7500	21000	8901	16060
Lesotho	2322.217	54.3	-29	30355.0	30000	4800	600	16200	8400	1272	3592
Liberia	5103.853	64.1	6	111369.0	37000	11840	1850	13320	10360	655	1212
Libya	6662.173	72.9	33	1759540.0	35000	1750	350	14350	18550	5401	13337
Liechtenstein	38.645	-999	47	160.0	-999	-999	-999	-999	-999	165525	139100
Lithuania	2852.478	75.9	55	65300.0	38000	0	0	9880	27740	18290	35371
Luxembourg	603.944	82.2	50	2586.0	4000	40	0	720	3240	112214	111494
Madagascar	27690.798	67	-19	587041.0	160000	35200	9600	64000	49600	503	1756
Malawi	20283.691	64.3	-14	118484.0	120000	32400	6000	50400	31200	366	1268
Malaysia	32869.323	76.2	3	330803.0	165000	3300	1650	64350	95700	10820	31750
Maldives	458.909	78.9	4	300.0	1000	40	10	300	650	12348	19768
Mali	20284.180	59.3	13	1240192.0	186000	79980	14880	53940	35340	882	2362
Malta	434.363	82.5	36	316.0	4000	40	0	520	3440	29962	44890
Marshall Islands	53.251	-999	7	181.4	-999	-999	-999	-999	-999	3822	3787
Martinique	385.457	82.5	15	1128.0	3000	30	0	450	2520	-999	-999
Mauritania	4783.767	64.9	-20	1030700.0	32000	11520	960	10240	9280	1237	4603
Mauritius	1274.114	75	-20	2040.0	11000	220	0	4070	6820	11055	23937
Mayotte	273.110	79.5	-13	374.0	1000	50	10	390	550	-999	-999
Mexico	133870.027	75.1	19	1964375.0	775000	38750	7750	294500	441750	9586	20236
Micronesia (Fed. States of)	107.774	67.9	7	2700.0	1000	110	20	400	470	3491	3537
Monaco	38.300	-999	44	2.2	-999	-999	-999	-999	-999	175581	115700
Mongolia	3209.404	69.9	48	1564110.0	20000	1600	200	10200	8000	3958	13830
Montenegro	629.397	76.9	43	13812.0	7000	0	0	1470	5530	8168	20022
Montserrat	4.649	-999	17	102.0	-999	-999	-999	-999	-999	11582	8500
Morocco	37070.718	76.7	32	446550.0	184000	16560	1840	42320	123280	3212	8951
Mozambique	32309.195	60.9	-26	801590.0	250000	77500	10000	102500	57500	470	1377
Myanmar	54808.276	67.1	17	676578.0	445000	44500	8900	186900	204700	1276	6731
Namibia	2696.537	63.7	-23	825615.0	20000	3000	600	9400	6800	5667	11351
Nauru	11.227	-999	-1	21.0	-999	-999	-999	-999	-999	9401	12592
Nepal	30260.244	70.8	28	147181.0	182000	20020	3640	60060	100100	977	3113
Netherlands	17181.248	82.3	53	41850.0	151000	0	0	21140	128350	51382	56743
New Caledonia	286.913	77.6	-22	18575.0	2000	60	20	520	1400	24198	31100
New Zealand	4834.420	82.3	-41	270467.0	34000	340	0	5780	27880	41838	40650
Nicaragua	6416.568	74.5	12	130373.0	33000	2640	660	14190	15510	2057	5544
Niger	24074.693	62.4	14	1267000.0	188000	82720	13160	54520	37600	399	1138
Nigeria	206152.701	54.7	9	923768.0	2342000	749440	257620	913380	444980	2073	6021
North Macedonia	2088.035	75.8	42	25713.0	21000	210	0	4620	16170	5865	16312
Northern Mariana Islands (Commonwealth of the)	55.347	-999	15	464.0	-999	-999	-999	-999	-999	23259	13300
Norway	5449.693	82.4	60	323802.0	43000	0	0	6020	36550	78322	71916
occupied Palestinian territory	5322.629	74.1	32	6020.0	17000	2890	340	5610	7990	2946	4300
Oman	5149.700	77.9	24	309500.0	12000	840	120	5880	5160	16491	45318
Pakistan	208362.334	67.3	34	881912.0	1493000	447900	44790	418040	582270	1468	5661
Palau	22.442	-999	7	459.0	-999	-999	-999	-999	-999	15337	17355
Panama	4289.330	78.5	9	75417.0	22000	1540	220	7920	12320	15636	26103
Papua New Guinea	8755.675	64.5	-9	462840.0	65000	12350	1950	26650	23400	2713	4072
Paraguay	7066.330	74.3	-25	406752.0	39000	3120	780	14820	20280	5279	12204
Peru	33312.178	76.7	-12	1285216.0	181000	9050	1810	59730	108600	6853	14372
Philippines	109703.396	71.2	15	300000.0	640000	64000	12800	294400	268800	3129	9082
Poland	37942.231	78.7	52	312679.0	388000	0	0	93120	291000	14703	32096
Portugal	10218.413	82	39	92090.0	110000	0	0	15400	94600	21773	32884
Puerto Rico	3650.608	80.1	18	9104.0	29000	0	0	6380	22330	30547	39346
Qatar	2791.807	80.2	25	11586.0	4000	240	40	2040	1640	67329	130236
Republic of Korea	51506.975	83	38	100210.0	316000	0	0	69520	246480	30939	41988
Republic of Moldova	4017.687	71.9	47	33846.0	47000	470	0	15980	30080	2844	7044
Reunion	896.536	80.5	-21	2511.0	6000	60	0	1680	4260	-999	-999
Romania	19388.362	76.1	44	238397.0	255000	2550	0	56100	196350	11849	27254
Russian Federation	143786.842	72.6	56	17098246.0	1858000	18580	0	650300	1207700	11136	28769
Rwanda	13087.173	69	-2	26338.0	65000	14950	2600	27950	20150	782	2331
Saint Barthelemy	9.793	-999	18	25.0	-999	-999	-999	-999	-999	-999	-999
Saint Helena	4.126	-999	-16	308.0	-999	-999	-999	-999	-999	7800	7800
Saint Kitts and Nevis	56.813	-999	17	261.0	-999	-999	-999	-999	-999	18113	29653
Saint Lucia	192.185	76.2	14	616.0	1000	30	10	350	620	10416	14180
Saint Martin	36.800	-999	18	87.0	-999	-999	-999	-999	-999	19300	19300
Saint Pierre and Miquelon	6.407	-999	47	242.0	-999	-999	-999	-999	-999	34900	34900
Saint Vincent and the Grenadines	110.757	72.5	13	389.0	1000	30	10	340	630	7364	12290
Samoa	200.117	73.3	-14	2842.0	1000	90	10	290	600	4346	6226
San Marino	33.809	-999	44	61.2	-999	-999	-999	-999	-999	48787	61817
Sao Tome and Principe	218.011	70.4	0	964.0	1000	210	30	360	400	1952	3373
Saudi Arabia	34709.640	75.1	25	2149690.0	120000	4800	3600	50400	62400	22322	55849
Senegal	17200.154	67.9	15	196722.0	91000	23660	4550	30940	31850	1427	3521
Serbia	8703.942	76	45	88361.0	116000	0	0	22040	92800	6852	17467
Seychelles	96.112	73.4	-5	455.0	1000	30	10	380	580	16393	30858
Sierra Leone	8046.931	54.7	9	71740.0	90000	27900	6300	37800	18000	525	1722
Singapore	5638.700	83.6	1	725.7	27000	0	0	7560	19170	61769	99240
Sint Maarten	40.900	-999	18	34.0	-999	-999	-999	-999	-999	45632	45632
Slovakia	5451.400	77.5	48	49037.0	54000	540	0	13500	40500	18847	35660
Slovenia	2082.055	81.3	46	20273.0	21000	0	0	3570	17430	25197	24837
Solomon Islands	647.297	73	-9	28896.0	3000	450	60	1140	1320	2122	6163
Somalia	16105.174	57.4	2	637657.0	165000	69300	14850	51150	28050	315	315
South Africa	58721.229	64.1	-26	1221037.0	550000	44000	11000	297000	203500	6208	9601
South Sudan	13610.007	57.8	5	644329.0	116000	37120	9280	45240	24360	364	1500
Spain	46459.219	83.6	40	505992.0	428000	0	0	55640	368080	29562	40341
Sri Lanka	21084.042	77	7	65610.0	144000	2880	1440	40320	99360	4078	13661
Sudan	43541.203	65.3	16	1861484.0	305000	85400	21350	109800	88450	1553	4449
Suriname	577.752	71.7	6	163820.0	4000	200	40	1600	2160	6434	15152
Sweden	10121.686	82.8	59	450295.0	91000	0	0	10010	80080	53297	53499
Switzerland	8670.535	83.8	47	41284.0	69000	0	0	8970	59340	82205	65673
Syrian Arab Republic	18924.442	72.7	34	185180.0	92000	6440	920	44160	39560	1432	1867
Tajikistan	9475.246	71.1	39	143100.0	44000	8800	440	15400	19360	835	3434
Thailand	69410.868	77.1	14	513120.0	542000	5420	5420	200540	336040	7220	19404
The United Kingdom	67334.208	81.3	52	242495.0	634000	6340	0	95100	538900	41244	45914
Timor-Leste	1381.400	69.5	-9	14874.0	8000	1840	240	2320	3680	2192	5993
Togo	8384.291	61	6	56785.0	67000	19430	5360	26130	16750	655	1762
Tokelau	1.357	-999	-9	10.0	-999	-999	-999	-999	-999	1000	1000
Tonga	104.494	70.9	-21	747.0	1000	50	10	320	610	4392	6296
Trinidad and Tobago	1377.729	73.5	21	5130.0	12000	480	120	4200	7200	16547	32309
Tunisia	11903.136	76.7	37	163610.0	73000	2920	0	18980	51100	3403	12532
Turkey	83835.750	77.7	39	783562.0	451000	18040	9020	126280	297660	9624	27965
Turkmenistan	6031.195	68.2	38	488100.0	42000	7560	420	17640	16800	7123	19953
Turks and Caicos Islands	36.953	-999	21	948.0	-999	-999	-999	-999	-999	27916	27236
Tuvalu	11.499	-999	-9	26.0	-999	-999	-999	-999	-999	3820	4128
Uganda	47187.703	63.4	0	241550.0	282000	101520	16920	112800	53580	686	2397
Ukraine	43579.234	72.1	51	603500.0	667000	6670	0	186760	473570	3074	9355
United Arab Emirates	9813.170	78	24	83600.0	15000	600	150	9750	4500	40484	71239
United Republic of Tanzania	62774.619	65.5	-6	945087.0	364000	112840	21840	138320	91000	1033	3393
United States of America	331431.534	78.9	40	9525067.0	2909000	29090	0	727250	2152660	62654	63240
United States Virgin Islands	104.858	80.6	18	347.0	1000	10	0	150	830	35938	36100
Uruguay	3494.387	77.9	-35	176215.0	33000	660	0	6930	25410	17142	23496
Uzbekistan	33235.825	71.7	41	447400.0	190000	17100	1900	72200	98800	1640	8384
Vanuatu	293.934	70.5	-18	12189.0	2000	300	40	600	1080	3171	3020
Venezuela (Bolivarian Republic of)	33172.392	72.1	11	916445.0	209000	16720	2090	79420	112860	8860	7467
Viet Nam	98360.145	75.4	21	331212.0	615000	36900	6150	233700	344400	2550	7675
Wallis and Futuna Islands	11.551	-999	-13	142.4	-999	-999	-999	-999	-999	3800	3800
Western Sahara	597.339	70.3	27	266000.0	3000	420	60	1470	1050	2500	2500
Yemen	30245.305	66.1	15	527968.0	175000	49000	7000	63000	56000	959	2396
Zambia	18679.273	63.9	-15	752612.0	114000	37620	5700	47880	22800	1453	4133
Zimbabwe	17680.465	61.5	-18	390757.0	114000	22800	3420	58140	29640	1366	2703
