Country	Population	LEB	Latitude	Territory	Deaths_pa	Deaths_0_5	Deaths_6_15	Deaths_16_65	Deaths_over_65	GDP	GDP_PPP
Afghanistan	34135.635	64.8	34	652864.0	239000	81260	11950	86040	59750	551	2012
Albania	2942.034	78.6	41	28748.0	23000	460	0	4370	18170	5030	13577
Algeria	43333.255	76.9	37	2381741.0	203000	26390	4060	58870	113680	4050	15558
Andorra	77.184	-999	43	467.6	-999	-999	-999	-999	-999	40592	49900
Angola	32827.401	61.1	-9	1246700.0	255000	99450	15300	91800	51000	3572	6672
Anguilla	15.283	-999	18	91.0	-999	-999	-999	-999	-999	18861	12200
Antigua and Barbuda	105.110	77	17	442.6	1000	20	0	310	660	16546	27920
Argentina	45510.399	76.7	-37	2780400.0	340000	10200	0	85000	244800	11990	20427
Armenia	2938.679	75.1	40	29743.0	29000	580	0	7250	21170	4225	10430
Aruba	106.438	76.3	13	180.0	1000	20	0	250	730	25754	32378
Australia	25398.177	83.4	-36	7692024.0	167000	1670	0	26720	138610	56271	52121
Austria	8782.210	81.5	48	83871.0	88000	0	0	13200	74800	49734	53275
Azerbaijan	10099.743	73	40	86600.0	68000	4080	680	23800	39440	4519	18200
Bahamas	406.839	73.9	25	13943.0	3000	30	30	1290	1650	31768	30207
Bahrain	1697.765	77.3	26	765.0	4000	160	40	1840	1960	24337	50365
Bangladesh	169775.309	72.6	23	147570.0	901000	99110	18020	324360	459510	1698	4675
Barbados	287.568	79.2	13	431.0	3000	30	0	750	2190	17504	18473
Belarus	9415.431	74.8	53	207600.0	118000	0	0	33040	84960	6214	19940
Belgium	11619.972	81.6	51	30528.0	113000	0	0	16950	94920	45328	49537
Belize	398.007	74.6	17	22966.0	2000	140	20	980	860	4962	8580
Benin	12122.985	61.8	6	114763.0	103000	39140	7210	32960	23690	981	2758
Bermuda	60.639	-999	32	54.0	-999	-999	-999	-999	-999	93970	85700
Bhutan	835.245	71.8	28	38394.0	5000	400	100	2250	2200	3280	9954
Bolivia (Plurinational State of)	11543.982	71.5	-16	1098581.0	78000	12480	2340	29640	33540	3538	7966
Bonaire, Sint Eustatius and Saba	26.212	-999	44	328.0	-999	-999	-999	-999	-999	-999	-999
Bosnia and Herzegovina	3498.210	77.4	44	51209.0	36000	360	0	7560	28080	5663	13639
Botswana	2415.766	69.6	-25	581730.0	13000	2080	260	5980	4680	7905	18701
Brazil	213863.046	75.9	-16	8515767.0	1377000	41310	13770	550800	771120	9179	16234
British Virgin Islands	32.634	-999	18	151.0	-999	-999	-999	-999	-999	31917	42300
Brunei Darussalam	444.519	75.9	5	5765.0	2000	80	20	980	940	29263	80877
Bulgaria	6940.527	75	43	110879.0	108000	0	0	21600	85320	9003	23198
Burkina Faso	20903.345	61.6	12	274222.0	161000	61180	12880	54740	33810	691	2022
Burundi	11939.227	61.6	-3	27834.0	90000	27000	10800	36900	16200	290	756
Cabo Verde	567.348	73	15	4033.0	3000	210	30	1050	1710	3493	7690
Cambodia	16715.508	69.8	12	181035.0	99000	9900	4950	40590	43560	1504	4455
Cameroon	25958.184	59.3	4	475442.0	235000	77550	14100	91650	51700	1500	3761
Canada	37603.205	82.4	45	9984670.0	291000	2910	0	49470	238620	45806	49458
Cayman Islands	63.890	-999	19	264.0	-999	-999	-999	-999	-999	73299	58204
Central African Republic	4920.889	53.3	4	622984.0	57000	19380	3420	23370	10830	450	808
Chad	16285.093	54.2	12	1284000.0	190000	77900	19000	64600	26600	769	2324
Chile	18472.639	80.2	-33	756102.0	117000	2340	0	30420	84240	15556	25658
China	1456565.698	77	40	9635940.3	10677000	210680	0	2669410	7692500	9517	18607
Colombia	50220.412	77.3	4	1141748.0	281000	11240	2810	101160	165790	6493	15259
