Index	Region, subregion, country or area *	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
11	Low-income countries	128096.648	129969.107	131991.799	134194.006	136593.546	139196.08	141995.133	144972.227	148099.273	151341.932	154670.163	158069.258	161549.718	165151.369	168931.464	172929.952	177159.065	181601.57	186231.925	191011.431	195910.639	200923.157	206053.605	211296.083	216646.371	222101.799	227669.815	233352.815	239138.889	245012.264	250969.22	257008.637	263158.391	269480.791	276057.603	282952.714	290181.431	297743.62	305666.48	313976.444	322686.243	331828.071	341387.303	351272.293	361356.181	371552.946	381823.685	392209.889	402805.256	413745.647	425129.552	436993.814	449310.184	462034.389	475094.388	488440.913	502059.411	515977.457	530237.548	544900.284	560007.444	575572.515	591576.162	607987.351	624759.914	641858.608
12	Sub-Saharan Africa	179621.076	183039.18	186625.519	190377.65	194295.351	198379.925	202635.053	207066.077	211680.109	216485.36	221490.118	226700.747	232121.17	237751.566	243590.433	249638.962	255902.858	262391.571	269114.891	276083.888	283310.117	290797.887	298556.283	306606.775	314975.285	323680.871	332734.218	342134.087	351872.338	361934.464	372309.527	382994.791	393993.659	405308.495	416943.306	428899.697	441182.577	453787.312	466695.171	479881.041	493329.02	507039.54	521025.786	535302.142	549889.012	564806.652	580072.826	595704.22	611721.663	628147.493	645007.134	662312.08	680090.432	698404.732	717330.823	736925.453	757212.872	778189.569	799848.676	822170.425	845136.154	868747.94	893001.485	917862.127	943284.908	969234.251
13	AFRICA	228670.019	233277.049	238113.121	243177.791	248471.497	253995.025	259750.195	265739.281	271965.261	278431.545	285142.006	292100.079	299309.231	306772.112	314491.391	322470.634	330720.407	339247.878	348049.881	357119.794	366458.929	376067.257	385965.161	396198.875	406828.206	417898.074	429424.761	441404.179	453834.792	466707.331	480012.209	493747.699	507910.465	522485.55	537453.703	552796.228	568505.611	584569.186	600956.701	617632.012	634567.044	651763.106	669221.342	686916.862	704820.799	722921.961	741220.519	759752.789	778592.236	797836.027	817566.004	837820.928	858622.597	880016.866	902048.601	924757.708	948156.166	972265.961	997144.67	1022858.654	1049446.344	1076933.813	1105285.268	1134398.192	1164129.789	1194369.908
14	Eastern Africa	66758.254	68208.356	69711.52	71272.418	72895.738	74585.806	76346.981	78183.385	80098.967	82097.498	84182.469	86356.934	88623.624	90984.649	93441.751	95996.653	98653.151	101413.366	104275.291	107235.237	110292.07	113445.206	116700.014	120068.437	123566.004	127204.27	130990.072	134922.28	138994.306	143195.464	147518.89	151952.438	156499.895	161188.537	166055.965	171123.08	176421.561	181929.187	187549.42	193150.021	198645.937	203990.506	209239.376	214535.842	220081.611	226021.034	232413.444	239215.718	246345.989	253675.516	261113.89	268638.612	276291.511	284122.793	292207.492	300599.706	309313.054	318329.032	327631.032	337191.043	346987.498	357015.563	367279.164	377775.443	388502.716	399458.026
15	Burundi	2308.92	2359.123	2403.511	2445.42	2487.39	2531.184	2577.735	2627.233	2679.141	2732.438	2786.106	2839.666	2893.669	2949.926	3010.859	3077.876	3152.723	3234.023	3316.233	3391.753	3455.606	3505.391	3544.047	3578.49	3618.585	3671.494	3739.659	3821.194	3913.768	4013.31	4116.817	4223.195	4333.386	4448.728	4571.292	4702.066	4841.565	4987.736	5135.956	5280.024	5415.415	5542.048	5661.139	5771.398	5871.607	5962.058	6041.112	6112.097	6186.352	6278.94	6400.706	6555.829	6741.569	6953.113	7182.451	7423.289	7675.338	7939.573	8212.264	8489.031	8766.93	9043.508	9319.71	9600.186	9891.79	10199.27
16	Comoros	159.459	163.139	166.541	169.752	172.853	175.903	178.946	181.992	185.043	188.097	191.121	194.139	197.198	200.372	203.753	207.424	211.478	215.897	220.575	225.325	230.054	234.644	239.235	244.208	250.104	257.29	265.953	275.9	286.634	297.447	307.829	317.606	326.946	336.096	345.466	355.337	365.76	376.654	387.963	399.632	411.594	423.872	436.448	449.274	462.277	475.394	488.627	501.953	515.385	528.848	542.357	555.888	569.479	583.211	597.228	611.627	626.425	641.62	657.229	673.252	689.692	706.569	723.868	741.5	759.385	777.424
17	Djibouti	62.001	63.306	64.75	66.269	67.872	69.589	71.497	73.702	76.353	79.612	83.636	88.498	94.204	100.628	107.583	114.963	122.866	131.397	140.462	149.887	159.659	169.372	179.224	190.568	205.181	224.183	248.556	277.479	308.008	336.085	358.96	374.937	385.271	393.802	406.017	425.613	454.361	490.33	528.999	563.864	590.398	606.844	615.054	618.495	622.366	630.388	643.682	660.953	680.612	700.099	717.584	732.711	746.221	758.615	770.752	783.254	796.208	809.402	822.934	836.84	851.146	865.937	881.185	896.688	912.164	927.414
18	Eritrea	1142.148	1159.798	1179.537	1201.124	1224.384	1249.193	1275.534	1303.42	1332.953	1364.276	1397.491	1432.64	1469.645	1508.273	1548.187	1589.179	1631.147	1674.204	1718.525	1764.343	1811.878	1861.199	1912.302	1965.16	2019.717	2075.965	2133.723	2193.068	2254.45	2318.495	2385.54	2454.766	2525.521	2598.41	2674.289	2753.151	2837.111	2924.349	3006.361	3071.771	3113.311	3127.297	3118.582	3099.047	3085.443	3090.159	3116.379	3161.35	3224.223	3302.263	3392.801	3497.124	3614.639	3738.265	3858.623	3969.007	4066.648	4153.332	4232.636	4310.334	4390.84	4474.69	4560.977	4650.998	4746.045	4846.976
19	Ethiopia	18128.034	18466.968	18819.7	19184.292	19560.016	19947.292	20347.813	20764.45	21201.034	21661.996	22151.278	22671.19	23221.389	23798.429	24397.024	25013.626	25641.376	26281.208	26946.079	27654.161	28415.077	29245.207	30132.58	31025.115	31851.708	32566.821	33146.891	33622.39	34068.316	34590.226	35264.898	36120.288	37136.848	38285.883	39518.801	40800.343	42120.73	43493.283	44932.064	46458.913	48086.516	49821.083	51647.768	53532.956	55431.123	57309.88	59155.148	60976.45	62794.151	64640.054	66537.331	68492.257	70497.192	72545.144	74624.405	76727.083	78850.689	81000.409	83184.892	85416.253	87702.67	90046.756	92444.183	94887.724	97366.774	99873.033
20	Kenya	6076.758	6240.163	6412.363	6593.109	6782.287	6979.931	7186.211	7401.421	7625.995	7860.475	8105.44	8361.441	8628.972	8908.422	9200.157	9504.703	9822.499	10154.484	10502.245	10867.716	11252.492	11657.514	12083.188	12529.852	12997.595	13486.629	13996.704	14528.293	15082.994	15662.852	16268.99	16901.677	17559.43	18239.404	18937.738	19651.225	20378.626	21119.318	21871.442	22633.022	23402.507	24179.598	24963.953	25754.114	26548.486	27346.456	28147.734	28954.114	29769.803	30600.397	31450.483	32321.482	33214.009	34130.852	35074.931	36048.288	37052.05	38085.909	39148.416	40237.204	41350.152	42486.839	43646.629	44826.849	46024.25	47236.259
21	Madagascar	4083.554	4168.386	4256.77	4348.72	4444.288	4543.542	4646.576	4753.523	4864.524	4979.753	5099.373	5223.568	5352.503	5486.319	5625.164	5769.218	5918.595	6073.526	6234.465	6401.921	6576.305	6757.85	6946.62	7142.627	7345.78	7556.026	7773.449	7998.164	8230.218	8469.672	8716.553	8971.345	9234.129	9504.281	9780.872	10063.495	10352.12	10647.754	10952.395	11268.658	11598.633	11942.819	12301.336	12675.46	13066.543	13475.4	13902.688	14347.854	14808.791	15282.521	15766.806	16260.932	16765.117	17279.141	17802.997	18336.724	18880.268	19433.523	19996.469	20569.121	21151.64	21743.949	22346.573	22961.146	23589.801	24234.088
22	Malawi	2953.871	3008.067	3065.034	3124.734	3187.173	3252.332	3320.22	3390.797	3464.047	3539.97	3618.595	3700.023	3784.439	3872.118	3963.417	4058.673	4158.124	4262.005	4370.65	4484.439	4603.723	4728.703	4859.61	4996.94	5141.202	5292.808	5454.705	5627.533	5806.845	5986.332	6163.08	6327.569	6484.452	6661.358	6895.928	7211.105	7625.305	8120.093	8636.935	9094.671	9437.553	9641.153	9729.717	9755.857	9796.976	9909.088	10109.789	10381.862	10704.744	11044.356	11376.172	11695.863	12013.711	12336.687	12676.038	13039.711	13429.262	13840.969	14271.234	14714.602	15167.095	15627.618	16097.305	16577.147	17068.838	17573.607
23	Mauritius	493.255	506.433	521.188	537.047	553.626	570.648	587.952	605.487	623.276	641.428	660.023	679.045	698.303	717.415	735.86	753.285	769.553	784.78	799.136	812.946	826.441	839.598	852.4	865.169	878.355	892.211	906.929	922.32	937.821	952.588	966.031	978.069	988.892	998.631	1007.501	1015.762	1023.279	1030.178	1037.26	1045.592	1055.868	1068.439	1082.956	1098.592	1114.137	1128.673	1141.948	1154.14	1165.283	1175.574	1185.145	1193.917	1201.812	1208.994	1215.677	1222.003	1228.098	1233.911	1239.293	1244.024	1247.955	1251.023	1253.371	1255.29	1257.219	1259.456
24	Mayotte	15.141	15.728	16.443	17.249	18.094	18.985	19.901	20.84	21.832	22.882	24.015	25.241	26.535	27.879	29.219	30.526	31.783	33.01	34.251	35.554	36.969	38.513	40.196	41.955	43.734	45.483	47.186	48.892	50.698	52.746	55.137	57.907	61.039	64.491	68.201	72.104	76.184	80.448	84.946	89.707	94.784	100.166	105.827	111.643	117.462	123.181	128.758	134.216	139.579	144.94	150.331	155.754	161.205	166.721	172.339	178.098	184.031	190.098	196.279	202.503	208.718	214.923	221.122	227.351	233.638	240.02
25	Mozambique	6152.237	6248.717	6352.584	6463.088	6579.634	6701.749	6829.092	6961.486	7098.859	7241.232	7388.695	7541.325	7699.139	7862.072	8030.025	8203.076	8381.455	8565.674	8756.481	8954.809	9161.534	9375.144	9595.762	9827.58	10076.172	10344.494	10632.932	10936.936	11248.046	11554.979	11848.331	12133.074	12409.243	12657.708	12853.78	12984.405	13034.385	13020.861	13002.553	13059.613	13247.649	13591.97	14071.231	14636.995	15217.044	15759.132	16248.232	16701.351	17136.78	17584.869	18067.687	18588.758	19139.658	19716.598	20312.705	20923.07	21547.463	22188.387	22846.758	23524.063	24221.405	24939.005	25676.606	26434.372	27212.382	28010.691
26	Reunion	248.11	259.295	268.486	276.526	284.08	291.658	299.571	307.979	316.879	326.167	335.693	345.405	355.429	366.078	377.791	390.775	405.29	420.988	436.69	450.74	462.025	470.119	475.473	478.91	481.689	484.777	488.349	492.286	496.911	502.5	509.265	517.413	526.949	537.4	548.141	558.699	568.917	578.938	588.986	599.454	610.582	622.418	634.793	647.588	660.563	673.541	686.463	699.299	711.992	724.484	736.71	748.658	760.258	771.384	781.864	791.598	800.543	808.735	816.335	823.537	830.519	837.304	843.907	850.4	856.867	863.363
27	Rwanda	2186.185	2250.677	2313.311	2378.445	2448.825	2525.527	2607.95	2693.821	2779.55	2860.691	2933.428	2996.096	3050.604	3102.972	3161.724	3232.934	3319.082	3418.317	3527.263	3640.591	3754.541	3868.337	3983.7	4102.321	4226.799	4359.092	4499.509	4647.615	4803.725	4968.074	5140.716	5315.032	5489.322	5673.614	5881.906	6120.107	6407.672	6732.131	7030.179	7216.028	7235.798	7051.759	6701.851	6299.909	6005.095	5928.078	6115.168	6522.382	7059.813	7593.239	8025.703	8329.406	8536.205	8680.346	8818.438	8991.735	9206.58	9447.402	9708.169	9977.446	10246.842	10516.071	10788.853	11065.151	11345.357	11629.553
28	Seychelles	36.325	36.881	37.437	37.964	38.455	38.909	39.334	39.769	40.254	40.826	41.54	42.4	43.406	44.511	45.649	46.772	47.852	48.914	49.988	51.128	52.365	53.707	55.127	56.606	58.097	59.59	61.061	62.5	63.878	65.153	66.294	67.298	68.168	68.909	69.459	69.836	70.004	70.014	69.99	70.144	70.624	71.5	72.712	74.114	75.491	76.703	77.675	78.459	79.188	80.051	81.151	82.567	84.203	85.91	87.484	88.744	89.659	90.281	90.686	91.034	91.405	91.834	92.285	92.765	93.254	93.742
