Index	Region, subregion, country or area *	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
39	Chad	2502.317	2543.9	2588.905	2636.261	2685.204	2735.208	2786.049	2837.762	2890.635	2945.101	3001.593	3060.355	3121.216	3183.551	3246.505	3309.573	3372.17	3434.811	3499.352	3568.376	3643.549	3726.091	3815.103	3907.632	3999.512	4087.948	4172.23	4253.989	4335.645	4420.716	4512.042	4610.167	4715.197	4829.094	4954.046	5091.535	5243.006	5408.087	5584.339	5768.086	5956.859	6150.081	6349.089	6555.603	6772.133	7000.722	7241.134	7493.251	7759.258	8041.846	8342.559	8663.012	9001.689	9353.201	9710.043	10067.009	10421.597	10775.708	11133.861	11502.786	11887.202	12288.651	12705.135	13133.589	13569.438	14009.413
40	Congo	827.252	844.004	861.706	880.318	899.822	920.218	941.536	963.824	987.142	1011.584	1037.22	1064.111	1092.292	1121.735	1152.412	1184.316	1217.391	1251.703	1287.516	1325.147	1364.812	1406.643	1450.518	1496.047	1542.69	1590.039	1637.941	1686.524	1736.099	1787.129	1839.935	1894.676	1951.195	2009.165	2068.132	2127.77	2188.046	2249.146	2311.348	2375.008	2440.457	2507.772	2577.035	2648.507	2722.497	2799.255	2879.222	2962.47	3048.453	3136.344	3225.727	3315.806	3407.18	3502.519	3605.439	3718.243	3842.365	3976.246	4115.435	4253.712	4386.693	4512.73	4633.363	4751.393	4871.101	4995.648
41	Democratic Republic of the Congo	12183.659	12428.825	12680.927	12944.385	13222.518	13517.513	13830.44	14161.242	14508.912	14871.772	15248.251	15637.733	16041.263	16461.93	16903.923	17369.883	17861.881	18378.214	18913.203	19458.904	20009.935	20562.865	21120.14	21689.239	22280.923	22902.319	23559.071	24247.55	24954.655	25661.884	26357.462	27039.468	27717.337	28404.876	29121.474	29883.446	30685.824	31529.823	32444.156	33465.441	34614.581	35914.825	37346.147	38833.595	40273.701	41595.744	42770.544	43830.146	44840.529	45898.667	47076.387	48394.338	49835.756	51390.033	53034.217	54751.476	56543.011	58417.562	60373.608	62409.435	64523.263	66713.597	68978.682	71316.033	73722.86	76196.619
42	Equatorial Guinea	225.537	230.717	233.853	235.883	237.547	239.375	241.67	244.553	247.932	251.601	255.323	258.947	262.59	266.598	271.457	277.396	284.868	293.44	301.353	306.233	306.515	301.666	292.585	281.021	269.426	259.747	252.194	246.677	244.485	247.078	255.325	270.063	290.617	314.475	338.086	358.896	376.024	390.173	402.326	414.138	426.846	440.624	455.148	470.61	487.14	504.871	523.999	544.636	566.673	589.938	614.323	639.762	666.407	694.611	724.817	757.317	792.217	829.327	868.418	909.111	951.104	994.29	1038.593	1083.746	1129.424	1175.389
43	Gabon	473.298	475.865	477.711	479.237	480.767	482.56	484.782	487.536	490.87	494.751	499.184	504.167	509.806	516.265	523.789	532.511	542.557	553.823	565.873	578.108	590.118	601.731	613.123	624.621	636.696	649.716	663.77	678.774	694.732	711.533	729.159	747.587	766.855	787.013	808.083	830.085	853.027	876.863	901.458	926.622	952.212	978.223	1004.676	1031.504	1058.663	1086.137	1113.994	1142.324	1171.224	1200.773	1231.122	1262.259	1294.409	1328.146	1364.205	1403.126	1444.844	1489.193	1536.411	1586.754	1640.21	1697.101	1756.817	1817.271	1875.713	1930.175
44	Sao Tome and Principe	60.002	59.202	58.523	58.165	58.234	58.783	59.746	60.991	62.319	63.478	64.253	64.551	64.432	64.177	64.212	64.796	66.063	67.873	70.046	72.241	74.253	75.988	77.537	79.022	80.67	82.607	84.885	87.434	90.089	92.649	94.949	96.95	98.706	100.318	101.915	103.634	105.474	107.415	109.47	111.627	113.893	116.294	118.816	121.407	123.973	126.454	128.821	131.107	133.418	135.886	138.606	141.622	144.889	148.372	151.969	155.63	159.328	163.101	166.913	170.813	174.776	178.8	182.889	187.045	191.266	195.553
45	Northern Africa	49048.943	50237.869	51487.602	52800.141	54176.146	55615.1	57115.142	58673.204	60285.152	61946.185	63651.888	65399.332	67188.061	69020.546	70900.958	72831.672	74817.549	76856.307	78934.99	81035.906	83148.812	85269.37	87408.878	89592.1	91852.921	94217.203	96690.543	99270.092	101962.454	104772.867	107702.682	110752.908	113916.806	117177.055	120510.397	123896.531	127323.034	130781.874	134261.53	137750.971	141238.024	144723.566	148195.556	151614.72	154931.787	158115.309	161147.693	164048.569	166870.573	169688.534	172558.87	175508.848	178532.165	181612.134	184717.778	187832.255	190943.294	194076.392	197295.994	200688.229	204310.19	208185.873	212283.783	216536.065	220844.881	225135.657
46	Algeria	8872.247	9039.91	9216.397	9405.443	9609.505	9829.719	10065.822	10316.288	10578.449	10848.973	11124.888	11404.859	11690.153	11985.136	12295.97	12626.952	12980.267	13354.197	13744.387	14144.438	14550.034	14960.109	15377.093	15804.428	16247.113	16709.099	17190.239	17690.184	18212.326	18760.761	19337.715	19943.664	20575.701	21228.289	21893.853	22565.905	23241.272	23917.897	24591.492	25257.672	25912.367	26554.329	27181.094	27786.259	28362.253	28904.298	29411.415	29886.839	30335.732	30765.613	31183.66	31592.153	31995.046	32403.514	32831.096	33288.437	33777.915	34300.076	34860.715	35465.76	36117.637	36819.558	37565.847	38338.562	39113.313	39871.528
47	Egypt	20713.331	21215.014	21746.808	22309.098	22901.598	23523.384	24172.872	24847.822	25545.476	26262.697	26996.533	27744.712	28506.176	29281.25	30071.102	30875.964	31697.616	32534.021	33377.259	34216.826	35046.273	35863.382	36673.642	37488.067	38322.022	39187.702	40089.032	41026.477	42004.655	43027.816	44099.142	45216.506	46379.62	47594.556	48868.951	50204.985	51607.703	53066.229	54547.296	56006.573	57412.215	58752.39	60035.536	61275.601	62495.745	63714.386	64933.456	66151.117	67378.056	68626.664	69905.988	71226.94	72590.118	73981.942	75381.899	76778.149	78159.048	79537.253	80953.881	82465.022	84107.606	85897.561	87813.257	89807.433	91812.566	93778.172
48	Libya	1124.515	1142.972	1163.891	1187.734	1214.827	1245.358	1279.406	1316.911	1357.732	1401.62	1448.417	1498.071	1550.813	1607.171	1667.825	1733.306	1803.683	1878.877	1958.914	2043.818	2133.526	2228.146	2327.49	2430.755	2536.888	2645.139	2754.696	2865.637	2979.093	3096.729	3219.466	3347.781	3480.454	3614.689	3746.715	3873.781	3994.591	4109.703	4220.418	4328.914	4436.661	4544.293	4651.004	4755.289	4855.003	4948.798	5035.884	5117.269	5195.502	5274.163	5355.751	5440.566	5527.515	5615.952	5704.759	5792.688	5881.435	5970.362	6053.078	6121.053	6169.14	6193.501	6198.258	6195.97	6204.108	6234.955
49	Morocco	8985.989	9242.797	9528.256	9836.534	10162.684	10502.666	10853.333	11212.449	11578.559	11950.826	12328.532	12710.547	13094.818	13478.232	13857.142	14229.044	14593.284	14950.803	15302.947	15651.924	16000.008	16347.198	16695.003	17049.165	17416.964	17803.698	18210.754	18636.977	19081.718	19543.347	20019.847	20511.601	21016.818	21528.502	22037.61	22537.376	23023.935	23497.766	23961.82	24421.191	24879.136	25336.862	25791.494	26237.417	26667.048	27075.232	27460.603	27825.901	28175.263	28514.798	28849.621	29181.832	29512.368	29843.937	30179.285	30521.07	30869.346	31225.881	31596.855	31989.897	32409.639	32858.823	33333.789	33824.769	34318.082	34803.322
50	Sudan	5733.789	5884.664	6041.325	6204.099	6373.308	6549.298	6732.437	6923.115	7121.741	7328.718	7544.491	7769.482	8004.121	8248.812	8503.994	8770.097	9047.798	9337.657	9639.84	9954.41	10281.7	10621.472	10974.622	11343.926	11732.958	12144.135	12578.407	13034.625	13510.421	14002.303	14507.468	15027.27	15562.194	16107.73	16658.054	17210.187	17757.169	18302.587	18866.319	19475.609	20147.59	20893.625	21701.476	22535.937	23347.885	24102.986	24786.19	25410.451	26003.542	26607.042	27250.535	27945.005	28679.565	29435.944	30186.341	30911.914	31607.064	32282.526	32955.496	33650.619	34385.963	35167.314	35990.192	36849.918	37737.913	38647.803
51	Tunisia	3605.306	3696.45	3773.355	3838.507	3894.387	3943.528	3988.478	4031.785	4075.963	4123.439	4176.266	4235.937	4303.131	4377.637	4458.611	4545.339	4638.275	4737.627	4842.167	4950.153	5060.397	5172.691	5287.543	5405.355	5526.764	5652.476	5781.796	5915.006	6054.911	6205.212	6368.167	6545.024	6733.961	6930.387	7127.941	7321.876	7509.756	7692.254	7871.459	8050.932	8232.797	8417.684	8603.225	8784.888	8956.596	9113.975	9256.037	9384.152	9499.395	9603.742	9699.197	9785.701	9864.326	9939.678	10017.601	10102.482	10196.136	10298.087	10407.336	10521.834	10639.931	10761.467	10886.668	11014.558	11143.908	11273.661
52	Western Sahara	13.766	16.062	17.57	18.726	19.837	21.147	22.794	24.834	27.232	29.912	32.761	35.724	38.849	42.308	46.314	50.97	56.626	63.125	69.476	74.337	76.874	76.372	73.485	70.404	70.212	74.954	85.619	101.186	119.33	136.699	150.877	161.062	168.058	172.902	177.273	182.421	188.608	195.438	202.726	210.08	217.258	224.383	231.727	239.329	247.257	255.634	264.108	272.84	283.083	296.512	314.118	336.651	363.227	391.167	416.797	437.515	452.35	462.207	468.633	474.044	480.274	487.649	495.772	504.855	514.991	526.216
53	Southern Africa	15533.181	15897.01	16273.349	16662.276	17064.043	17479.115	17908.23	18352.226	18812.2	19289.329	19784.716	20299.114	20832.908	21385.833	21957.347	22547.245	23154.782	23780.488	24426.95	25097.517	25794.211	26518.667	27268.983	28039.381	28821.851	29610.743	30402.644	31199.333	32006.904	32834.448	33687.791	34570.581	35479.097	36403.087	37328.196	38244.841	39144.925	40032.72	40925.814	41849.144	42818.44	43840.466	44902.934	45979.224	47032.272	48034.769	48978.106	49868.101	50709.61	51512.835	52286.079	53032.419	53751.515	54445.09	55114.734	55764.05	56390.73	57002.231	57623.682	58287.624	59016.093	59819.9	60689.548	61601.24	62520.018	63419.639
54	Botswana	412.531	425.265	437.169	448.442	459.238	469.74	480.148	490.626	501.398	512.647	524.552	537.249	550.84	565.353	580.799	597.19	614.613	633.154	652.843	673.64	695.597	718.639	742.835	768.512	796.095	825.84	857.855	891.926	927.585	964.166	1001.158	1038.397	1075.889	1113.539	1151.292	1189.114	1226.81	1264.314	1301.818	1339.624	1377.912	1416.731	1455.833	1494.693	1532.622	1569.094	1604.06	1637.635	1669.625	1699.862	1728.34	1754.935	1779.953	1804.339	1829.33	1855.852	1884.238	1914.414	1946.351	1979.882	2014.866	2051.339	2089.315	2128.507	2168.573	2209.197
55	Lesotho	733.945	744.319	754.853	765.581	776.548	787.806	799.44	811.543	824.2	837.519	851.591	866.462	882.17	898.647	915.822	933.655	952.206	971.512	991.491	1012.015	1033.05	1054.453	1076.34	1099.235	1123.855	1150.635	1179.723	1210.799	1243.352	1276.663	1310.118	1343.69	1377.346	1410.439	1442.212	1472.192	1499.861	1525.46	1550.262	1576.022	1603.938	1634.517	1667.121	1700.362	1732.257	1761.359	1787.273	1810.453	1831.298	1850.527	1868.699	1885.955	1902.312	1918.097	1933.728	1949.543	1965.662	1982.287	1999.93	2019.209	2040.551	2064.166	2089.928	2117.361	2145.785	2174.645
56	Namibia	485.274	494.631	504.578	515.058	526.042	537.514	549.479	561.932	574.904	588.426	602.544	617.277	632.654	648.661	665.282	682.551	700.341	718.685	737.886	758.377	780.384	804.157	829.441	855.38	880.785	904.839	927.503	949.193	970.258	991.226	1012.672	1034.264	1056.366	1081.081	1111.132	1148.302	1193.592	1245.99	1302.741	1359.933	1414.692	1465.74	1513.721	1559.983	1606.718	1655.359	1706.489	1758.994	1810.566	1858.042	1899.257	1933.596	1962.147	1986.535	2009.228	2032.196	2055.734	2079.915	2106.375	2137.04	2173.17	2215.621	2263.934	2316.52	2370.992	2425.561
57	South Africa	13628.428	13953.843	14291.415	14641.017	15002.729	15376.829	15763.822	16164.413	16579.477	17009.989	17456.855	17920.673	18401.608	18899.275	19412.975	19942.303	20486.439	21045.785	21622.59	22219.897	22839.451	23482.813	24148.137	24829.693	25519.604	26212.405	26904.349	27597.297	28298.15	29017.049	29760.471	30532.954	31330.259	32139.708	32943.584	33730.148	34490.419	35230.249	35970.537	36740.883	37560.525	38437.855	39360.225	40300.161	41218.901	42088.165	42898.52	43657.024	44372.112	45058.775	45728.315	46385.006	47026.173	47648.727	48247.395	48820.586	49364.582	49887.181	50412.129	50970.818	51584.663	52263.516	52998.213	53767.396	54539.571	55291.225
58	Swaziland	273.003	278.952	285.334	292.178	299.486	307.226	315.341	323.712	332.221	340.748	349.174	357.453	365.636	373.897	382.469	391.546	401.183	411.352	422.14	433.588	445.729	458.605	472.23	486.561	501.512	517.024	533.214	550.118	567.559	585.344	603.372	621.276	639.237	658.32	679.976	705.085	734.243	766.707	800.456	832.682	861.373	885.623	906.034	924.025	941.774	960.792	981.764	1003.995	1026.009	1045.629	1061.468	1072.927	1080.93	1087.392	1095.053	1105.873	1120.514	1138.434	1158.897	1180.675	1202.843	1225.258	1248.158	1271.456	1295.097	1319.011
59	Western Africa	70875.879	71969.201	73150.676	74410.998	75743.015	77141.556	78603.684	80128.474	81716.871	83371.196	85094.151	86887.353	88750.395	90680.316	92672.884	94726.623	96842.217	99025.716	101287.89	103642.704	106101.929	108669.418	111347.901	114145.971	117073.186	120136.269	123338.564	126679.112	130154.498	133758.632	137485.899	141338.541	145315.194	149402.23	153582.022	157843.113	162178.371	166594.112	171108.811	175748.889	180533.356	185471.95	190559.482	195782.013	201118.391	206554.911	212092.985	217744.754	223521.236	229437.523	235508.297	241736.854	248131.929	254721.111	261538.074	268607.649	275942.007	283538.293	291387.502	299472.829	307781.164	316312.143	325068.345	334042.659	343226.61	352613.862
60	Benin	2255.226	2258.476	2264.871	2274.476	2287.385	2303.587	2323.056	2345.717	2371.453	2400.127	2431.622	2465.867	2502.896	2542.859	2585.965	2632.356	2682.159	2735.307	2791.59	2850.661	2912.34	2976.572	3043.567	3113.675	3187.412	3265.165	3347.173	3433.439	3523.938	3618.526	3717.165	3820.128	3927.714	4039.949	4156.819	4278.501	4404.506	4535.263	4672.852	4820.016	4978.496	5149.499	5331.803	5521.763	5714.22	5905.558	6094.259	6281.639	6470.265	6664.098	6865.951	7076.733	7295.394	7520.555	7750.004	7982.225	8216.896	8454.791	8696.916	8944.706	9199.259	9460.802	9729.16	10004.451	10286.712	10575.952
61	Burkina Faso	4284.461	4324.494	4367.134	4413.202	4463.168	4517.155	4574.942	4635.955	4699.34	4764.077	4829.288	4894.58	4960.326	5027.821	5098.89	5174.87	5256.363	5343.019	5434.041	5528.174	5624.6	5723.381	5825.173	5930.483	6040.041	6154.545	6274.037	6398.935	6530.819	6671.656	6822.843	6985.16	7158.255	7340.905	7531.242	7727.907	7930.694	8140.073	8356.305	8579.823	8811.034	9050.084	9297.113	9552.476	9816.588	10089.878	10372.745	10665.546	10968.724	11282.701	11607.942	11944.587	12293.1	12654.621	13030.569	13421.93	13829.177	14252.021	14689.726	15141.099	15605.217	16081.904	16571.216	17072.723	17585.977	18110.624
62	Cabo Verde	178.066	186.13	191.527	194.837	196.635	197.421	197.7	197.928	198.539	199.906	202.31	205.956	210.867	216.908	223.846	231.428	239.77	248.747	257.509	264.909	270.198	272.992	273.651	273.005	272.292	272.423	273.652	275.767	278.739	282.415	286.657	291.602	297.285	303.368	309.397	315.069	320.183	324.893	329.671	335.184	341.883	349.934	359.09	369.014	379.156	389.127	398.773	408.175	417.323	426.285	435.079	443.716	452.106	460.147	467.664	474.567	480.795	486.438	491.723	496.963	502.384	508.067	513.979	520.106	526.437	532.913
63	Cote d'Ivoire	2630.131	2695.115	2770.362	2852.498	2939.219	3029.303	3122.628	3220.159	3323.761	3435.93	3558.988	3694.205	3841.071	3996.941	4157.965	4321.791	4487.204	4656.353	4834.279	5027.971	5242.395	5479.338	5737.281	6013.862	6305.287	6608.609	6922.982	7248.828	7585.914	7934.279	8293.675	8664.057	9044.473	9432.731	9826.055	10222.558	10620.267	11019.651	11424.26	11839.243	12267.754	12710.008	13163.019	13622.731	14083.611	14540.82	14995.249	15445.986	15884.552	16300.233	16686.561	17040.152	17366.517	17679.355	17997.738	18336.303	18699.435	19085.941	19497.986	19936.366	20401.331	20895.311	21418.603	21966.312	22531.35	23108.472
64	Gambia	271.377	272.72	276.773	283.505	292.713	304.029	316.907	330.6	344.265	356.968	367.928	376.737	383.523	389.072	394.553	400.861	408.18	416.339	425.51	435.798	447.285	460.194	474.539	489.861	505.512	521.07	536.409	551.817	567.831	585.157	604.369	625.411	648.21	673.238	701.104	732.096	766.589	804.125	843.05	881.138	916.808	949.493	979.718	1008.358	1036.829	1066.223	1096.708	1128.169	1160.944	1195.42	1231.844	1270.495	1311.349	1354.194	1398.573	1444.204	1491.021	1539.116	1588.572	1639.56	1692.149	1746.363	1802.125	1859.324	1917.852	1977.59
65	Ghana	4980.875	5068.436	5191.219	5339.182	5504.254	5680.41	5863.686	6052.159	6245.646	6445.283	6652.287	6866.539	7085.464	7303.432	7513.289	7710.549	7890.992	8057.444	8221.02	8397.347	8596.983	8827.273	9083.573	9350.111	9604.276	9831.407	10023.472	10189.89	10354.499	10550.777	10802.028	11117.605	11488.106	11895.125	12311.158	12716.228	13104.296	13481.406	13854.214	14233.874	14628.26	15039.514	15463.854	15896.432	16330.174	16760.467	17185.608	17608.812	18036.494	18477.612	18938.762	19421.605	19924.522	20446.782	20986.536	21542.009	22113.425	22700.212	23298.64	23903.831	24512.104	25121.796	25733.049	26346.251	26962.563	27582.821
66	Guinea	3093.654	3141.879	3185.909	3228.381	3271.313	3316.135	3363.66	3414.053	3466.99	3521.704	3577.409	3633.652	3690.664	3749.505	3811.659	3877.806	3948.869	4023.486	4097.191	4164.003	4219.77	4263.84	4298.091	4324.36	4345.545	4364.514	4381.601	4398.484	4421.134	4457.078	4511.902	4589.784	4690.605	4810.496	4943.144	5084.767	5229.797	5381.483	5554.882	5770.652	6041.094	6374.329	6758.838	7163.236	7544.291	7871.173	8132.552	8337.988	8503.297	8653.769	8808.546	8971.139	9137.345	9309.848	9490.229	9679.745	9881.428	10096.727	10323.142	10556.524	10794.17	11035.17	11281.469	11536.615	11805.509	12091.533
67	Guinea-Bissau	535.43	544.106	552.029	559.692	567.404	575.382	583.648	592.13	600.597	608.779	616.409	623.415	629.969	636.586	643.961	652.562	662.463	673.462	685.476	698.338	711.827	726.256	741.49	756.28	768.945	778.47	784.156	786.754	788.495	792.462	800.854	814.507	832.668	854.113	876.873	899.509	921.626	943.617	965.742	988.52	1012.28	1037.155	1062.8	1088.569	1113.541	1137.122	1159.06	1179.727	1199.915	1220.794	1243.229	1267.512	1293.523	1321.202	1350.345	1380.838	1412.669	1445.958	1480.841	1517.448	1555.88	1596.154	1638.139	1681.495	1725.744	1770.526
68	Liberia	930.025	942.999	957.595	973.699	991.23	1010.067	1030.109	1051.25	1073.392	1096.442	1120.313	1144.986	1170.48	1196.89	1224.344	1252.972	1282.814	1313.941	1346.491	1380.637	1416.529	1454.198	1493.711	1535.229	1578.952	1625.013	1672.3	1720.489	1771.256	1826.881	1888.314	1957.456	2031.85	2102.911	2159.089	2192.555	2201.833	2191.023	2165.09	2131.525	2097.232	2060.267	2022.729	2000.248	2012.885	2073.482	2191.179	2358.469	2551.062	2734.518	2884.522	2991.132	3062.863	3116.233	3176.414	3261.23	3375.838	3512.932	3662.993	3811.528	3948.125	4070.167	4181.563	4286.291	4390.737	4499.621
69	Mali	4708.429	4759.036	4811.199	4864.755	4919.547	4975.398	5032.123	5089.509	5147.348	5205.449	5263.733	5322.266	5381.368	5441.613	5503.752	5568.484	5635.859	5706.199	5780.835	5861.412	5949.045	6044.53	6147.458	6256.187	6368.348	6482.278	6596.773	6712.401	6831.295	6956.579	7090.126	7234.303	7387.656	7543.743	7693.667	7831.889	7955.164	8067.758	8180.728	8309.531	8465.188	8652.514	8868.263	9105.472	9353.385	9604.45	9856.81	10114.094	10380.835	10663.723	10967.69	11293.258	11638.929	12005.128	12391.906	12798.763	13227.064	13675.606	14138.216	14606.597	15075.085	15540.989	16006.67	16477.818	16962.846	17467.905
70	Mauritania	660.491	675.596	691.811	709.097	727.437	746.804	767.162	788.506	810.801	834.023	858.168	883.221	909.174	936.016	963.747	992.367	1021.882	1052.286	1083.583	1115.788	1148.908	1182.954	1217.941	1253.874	1290.79	1328.686	1367.563	1407.436	1448.414	1490.603	1534.085	1578.938	1625.124	1672.496	1720.812	1769.942	1819.954	1870.978	1923.002	1976.03	2030.14	2085.202	2141.445	2199.791	2261.403	2327.075	2397.245	2471.598	2549.223	2628.803	2709.359	2790.729	2873.228	2957.117	3042.823	3130.72	3220.653	3312.665	3407.541	3506.288	3609.543	3717.672	3830.239	3946.17	4063.92	4182.341
71	Niger	2559.703	2638.137	2716.818	2795.806	2875.274	2955.541	3037.059	3120.437	3206.36	3295.583	3388.764	3486.295	3588.156	3693.866	3802.64	3913.934	4027.758	4144.395	4263.745	4385.758	4510.479	4637.829	4768.078	4902.006	5040.656	5184.811	5334.918	5490.921	5652.355	5818.506	5988.904	6164.006	6344.382	6529.894	6720.344	6915.927	7116.744	7323.969	7540.253	7768.995	8012.861	8272.976	8549.424	8842.415	9151.763	9477.333	9819.964	10180.061	10556.549	10947.829	11352.973	11771.976	12206.002	12656.87	13127.012	13618.449	14132.064	14668.338	15228.525	15813.913	16425.578	17064.636	17731.634	18426.372	19148.219	19896.965
72	Nigeria	37859.744	38423.978	39035.145	39685.757	40370.373	41085.563	41830.031	42604.508	43411.475	44254.686	45137.812	46062.905	47029.14	48032.246	49066.059	50127.214	51217.359	52341.834	53505.978	54716.735	55981.4	57295.21	58662.603	60110.433	61673.559	63373.572	65226.229	67215.805	69293.55	71391.29	73460.724	75482.552	77472.907	79462.277	81497.739	83613.3	85818.502	88101.628	90450.281	92844.353	95269.988	97726.323	100221.563	102761.737	105355.783	108011.465	110732.904	113522.705	116385.75	119327.073	122352.009	125463.434	128666.71	131972.533	135393.616	138939.478	142614.094	146417.024	150347.39	154402.181	158578.261	162877.076	167297.284	171829.303	176460.502	181181.744
73	Saint Helena	4.972	5.008	5.021	5.004	4.979	4.944	4.911	4.867	4.83	4.787	4.748	4.706	4.666	4.638	4.625	4.629	4.653	4.696	4.755	4.814	4.884	4.952	5.018	5.077	5.133	5.175	5.214	5.241	5.262	5.288	5.327	5.378	5.435	5.5	5.548	5.583	5.599	5.601	5.593	5.564	5.535	5.489	5.439	5.376	5.326	5.289	5.264	5.251	5.241	5.201	5.114	4.972	4.792	4.586	4.408	4.275	4.201	4.165	4.166	4.176	4.177	4.152	4.117	4.081	4.054	4.034
74	Senegal	2486.635	2545.16	2606.415	2670.589	2737.833	2808.225	2881.808	2958.536	3038.333	3121.092	3206.749	3295.293	3386.863	3481.745	3580.312	3682.876	3789.211	3899.237	4013.539	4132.844	4257.505	4388.458	4525.114	4664.444	4802.348	4936.209	5064.674	5189.539	5315.265	5448.11	5592.646	5750.338	5920.059	6100.495	6289.327	6484.738	6686.159	6893.896	7107.976	7328.6	7555.617	7789.653	8029.725	8272.17	8512.173	8746.606	8974.077	9196.528	9418.393	9645.957	9884.052	10134.497	10396.861	10670.99	10955.944	11251.266	11556.763	11873.557	12203.957	12550.917	12916.229	13300.91	13703.513	14120.32	14546.111	14976.994
75	Sierra Leone	2041.203	2062.444	2084.942	2108.43	2132.731	2157.753	2183.523	2210.131	2237.772	2266.686	2297.11	2329.204	2363.013	2398.414	2435.204	2473.294	2512.652	2553.529	2596.568	2642.608	2692.259	2745.779	2803.031	2863.739	2927.468	2993.876	3062.956	3134.8	3209.263	3286.179	3365.441	3445.277	3525.399	3608.751	3699.467	3799.55	3912.438	4034.668	4152.984	4249.468	4312.246	4337.239	4331.332	4307.299	4283.621	4274.819	4282.35	4305.455	4353.646	4437.803	4564.297	4739.147	4957.216	5199.549	5439.695	5658.379	5848.692	6015.417	6165.372	6310.26	6458.72	6611.692	6766.103	6922.079	7079.162	7237.025
76	Togo	1395.457	1425.487	1441.906	1452.088	1461.52	1473.839	1490.731	1512.029	1535.969	1559.674	1580.513	1597.526	1612.755	1631.764	1662.073	1708.63	1774.029	1855.442	1945.78	2034.907	2115.522	2185.662	2247.582	2303.345	2356.622	2410.446	2464.455	2518.566	2576.469	2642.846	2720.839	2812.039	2915.066	3026.238	3140.237	3252.994	3364.02	3474.08	3581.928	3686.373	3786.94	3882.271	3973.327	4064.926	4163.642	4274.024	4398.238	4534.551	4679.023	4825.704	4970.367	5111.77	5251.472	5391.401	5534.598	5683.268	5837.792	5997.385	6161.796	6330.472	6502.952	6679.282	6859.482	7042.948	7228.915	7416.802
77	ASIA	1404061.59	1434534.785	1463159.816	1490835.714	1518303.01	1546143.227	1574772.653	1604448.795	1635288.434	1667297.629	1700462.752	1734847.065	1770675.629	1808371.265	1848452.049	1891228.735	1936862.071	1985086.19	2035238.284	2086393.344	2137828.395	2189385.932	2241096.853	2292666.357	2343802.562	2394338.004	2444094.013	2493191.935	2542157.731	2591734.858	2642488.969	2694423.536	2747435.334	2801830.903	2857956.354	2915953.444	2976023.194	3037815.6	3100227.169	3161768.286	3221341.719	3278551.343	3333604.095	3386759.856	3438526.43	3489306.253	3539101.069	3587833.521	3635758.51	3683189.786	3730370.625	3777425.069	3824369.526	3871201.74	3917871.151	3964342.662	4010602.667	4056684.697	4102643.673	4148549.798	4194425.212	4240280.976	4286014.731	4331391.205	4376099.655	4419897.601
78	Eastern Asia	677556.256	694585.005	708899.633	721429.146	732938.323	744027.825	755127.475	766502.92	778274.584	790449.206	803015.053	816043.099	829775.792	844665.06	861264.571	879913.075	900779.694	923600.377	947724.716	972238.934	996425.101	1020121.685	1043348.061	1065794.321	1087148.394	1107219.338	1125857.27	1143166.967	1159554.339	1175604.605	1191787.808	1208088.212	1224493.141	1241464.59	1259564.344	1279116.411	1300377.749	1323039.738	1346150.89	1368393.157	1388798.183	1407055.358	1423378.163	1437972.833	1451246.568	1463528.718	1474822.445	1485085.081	1494568.181	1503584.325	1512377.595	1521071.205	1529686.044	1538233.613	1546681.947	1555011.573	1563236.216	1571398.378	1579531.194	1587670.908	1595828.675	1604014.4	1612178.334	1620194.727	1627896.076	1635150.365
79	China	554419.275	569611.075	582029.301	592567.861	601971.218	610834.396	619597.547	628551.405	637853.609	647555.963	657686.143	668334.897	679732.315	692280.49	706460.953	722562.183	740745.642	760771.063	782008.729	803577.221	824788.457	845481.578	865686.53	885145.933	903613.538	920945.083	937018.252	951927.444	966039.822	979880.619	993877.31	1008000.152	1022253.396	1037123.834	1053210.735	1070863.389	1090348.056	1111341.725	1132866.344	1153565.894	1172445.2	1189183.522	1204003.901	1217129.133	1228991.932	1239940.004	1249981.441	1259066.974	1267441.503	1275406.699	1283198.97	1290937.649	1298646.577	1306343.911	1314007.478	1321623.49	1329209.094	1336800.506	1344415.227	1352068.091	1359755.102	1367480.264	1375198.619	1382793.212	1390110.388	1397028.553
80	China, Hong Kong SAR	1973.998	2063.316	2160.102	2264.109	2374.539	2490.103	2608.941	2728.665	2846.522	2959.533	3065.187	3162.031	3250.311	3332.162	3410.959	3489.213	3568.376	3648.033	3726.705	3802.096	3873.112	3937.829	3998.312	4062.042	4139.096	4236.002	4356.575	4496.871	4646.177	4789.32	4915.467	5020.488	5107.909	5183.912	5258.161	5337.622	5424.517	5516.357	5609.691	5699.221	5781.459	5854.088	5919.289	5983.355	6055.086	6140.101	6241.81	6356.47	6473.836	6579.564	6663.654	6722.306	6759.491	6782.571	6802.597	6827.761	6860.376	6898.397	6940.323	6983.272	7025.221	7065.815	7106.399	7148.571	7194.563	7245.701
