Index	Region, subregion, country or area *	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
63	C?te d'Ivoire	23108.472	23666.821	24229.193	24797.195	25372.004	25954.326	26544.411	27142.043	27746.64	28357.342	28973.385	29594.469	30221.075	30854.639	31497.106	32149.804	32813.046	33486.113	34167.982	34857.111	35552.195	36252.757	36958.523	37668.728	38382.547	39099.224	39818.14	40538.798	41260.723	41983.496	42706.711	43429.908	44152.616	44874.397	45594.816	46313.465	47029.875	47743.703	48454.833	49163.272	49868.875	50571.35	51270.16	51964.69	52654.183	53337.984	54015.589	54686.634	55350.627	56007.129	56655.664	57295.839	57927.214	58549.297	59161.591	59763.644	60355.023	60935.439	61504.721	62062.784	62609.475	63144.59	63667.786	64178.595	64676.466	65160.958	65631.748	66088.702	66531.867	66961.421	67377.435	67779.85	68168.371	68542.533	68901.713	69245.501	69573.659	69886.21	70183.303	70465.117	70731.806	70983.467	71220.089	71441.597	71647.826	71838.522
64	Gambia	1977.59	2036.388	2095.445	2154.878	2214.758	2275.139	2336.014	2397.363	2459.123	2521.21	2583.545	2646.092	2708.871	2771.944	2835.451	2899.449	2963.949	3028.854	3094.059	3159.42	3224.814	3290.163	3355.422	3420.446	3485.118	3549.334	3612.994	3676.02	3738.338	3799.831	3860.43	3920.052	3978.663	4036.194	4092.613	4147.892	4201.991	4254.855	4306.485	4356.846	4405.931	4453.723	4500.187	4545.328	4589.135	4631.616	4672.741	4712.499	4750.871	4787.859	4823.428	4857.595	4890.287	4921.5	4951.165	4979.229	5005.673	5030.494	5053.622	5075.011	5094.644	5112.487	5128.526	5142.739	5155.117	5165.662	5174.348	5181.191	5186.218	5189.461	5190.959	5190.738	5188.817	5185.216	5179.943	5173.044	5164.551	5154.494	5142.939	5129.942	5115.551	5099.814	5082.808	5064.582	5045.2	5024.713
65	Ghana	27582.821	28174.419	28756.444	29331.117	29900.138	30464.703	31025.498	31582.683	32136.007	32684.908	33228.903	33768.005	34303.045	34835.872	35368.876	35903.736	36441.051	36980.287	37520.522	38060.334	38598.509	39134.531	39668.22	40199.074	40726.611	41250.231	41769.377	42283.212	42790.495	43289.814	43779.923	44260.162	44729.999	45188.541	45634.9	46068.374	46488.464	46894.99	47288.054	47667.945	48034.93	48388.934	48729.932	49058.361	49374.764	49679.574	49972.908	50254.747	50525.272	50784.639	51032.94	51270.2	51496.287	51710.915	51913.678	52104.215	52282.374	52448.014	52600.748	52740.122	52865.802	52977.583	53075.353	53159.033	53228.577	53283.944	53325.206	53352.337	53365.151	53363.396	53346.996	53316.02	53270.847	53212.144	53140.77	53057.472	52962.793	52857.08	52740.575	52613.548	52476.365	52329.508	52173.619	52009.493	51838.086	51660.496
66	Guinea	12091.533	12392.065	12696.683	13005.825	13319.733	13638.422	13961.677	14289.099	14620.097	14953.973	15290.081	15628.069	15967.979	16310.361	16656.074	17005.669	17359.167	17716.117	18075.954	18437.881	18801.248	19165.705	19531.1	19897.07	20263.278	20629.384	20995.064	21359.955	21723.728	22086.066	22446.616	22805.095	23161.22	23514.635	23864.985	24211.947	24555.237	24894.651	25230.065	25561.411	25888.602	26211.436	26529.692	26843.1	27151.426	27454.411	27751.852	28043.572	28329.393	28609.158	28882.693	29149.823	29410.371	29664.128	29910.859	30150.387	30382.518	30607.13	30824.087	31033.271	31234.561	31427.867	31613.041	31789.938	31958.383	32118.223	32269.371	32411.801	32545.479	32670.444	32786.71	32894.286	32993.154	33083.27	33164.58	33237.055	33300.759	33355.783	33402.279	33440.414	33470.363	33492.295	33506.386	33512.795	33511.68	33503.194
67	Guinea-Bissau	1770.526	1813.615	1856.375	1898.93	1941.371	1983.769	2026.144	2068.479	2110.723	2152.828	2194.719	2236.384	2277.891	2319.383	2361.038	2403.006	2445.32	2487.949	2530.848	2573.973	2617.254	2660.674	2704.204	2747.769	2791.273	2834.637	2877.8	2920.711	2963.301	3005.458	3047.123	3088.23	3128.756	3168.625	3207.797	3246.231	3283.884	3320.746	3356.794	3392.021	3426.441	3460.012	3492.738	3524.629	3555.712	3586.018	3615.525	3644.22	3672.089	3699.113	3725.268	3750.52	3774.878	3798.329	3820.868	3842.472	3863.14	3882.864	3901.589	3919.264	3935.845	3951.323	3965.689	3978.945	3991.138	4002.266	4012.345	4021.359	4029.295	4036.119	4041.838	4046.438	4049.946	4052.383	4053.777	4054.156	4053.543	4051.968	4049.429	4045.951	4041.553	4036.259	4030.116	4023.145	4015.402	4006.949
68	Liberia	4499.621	4610.497	4721.838	4833.908	4946.933	5061.031	5176.286	5292.663	5410.103	5528.476	5647.661	5767.621	5888.39	6010.173	6133.217	6257.687	6383.6	6510.811	6639.074	6768.054	6897.477	7027.208	7157.18	7287.228	7417.206	7546.961	7676.383	7805.331	7933.692	8061.309	8188.082	8313.888	8438.662	8562.357	8684.977	8806.483	8926.832	9045.925	9163.733	9280.164	9395.172	9508.676	9620.645	9731.053	9839.866	9947.076	10052.627	10156.435	10258.43	10358.515	10456.602	10552.635	10646.53	10738.215	10827.586	10914.555	10999.047	11081.015	11160.361	11237.041	11310.987	11382.146	11450.453	11515.865	11578.297	11637.698	11694.041	11747.29	11797.448	11844.517	11888.494	11929.411	11967.231	12001.967	12033.594	12062.123	12087.575	12109.995	12129.444	12145.971	12159.663	12170.575	12178.783	12184.363	12187.374	12187.911
69	Mali	17467.905	17985.354	18509.229	19040.878	19581.38	20131.509	20691.739	21262.231	21842.889	22433.411	23033.474	23642.893	24261.769	24890.598	25530.056	26180.409	26841.51	27512.53	28192.174	28878.75	29570.771	30267.396	30967.984	31671.345	32376.23	33081.511	33786.373	34490.068	35191.732	35890.501	36585.642	37276.429	37962.407	38643.487	39319.783	39991.293	40657.68	41318.444	41973.124	42621.199	43262.209	43895.718	44521.399	45139.106	45748.711	46350.032	46942.687	47526.148	48099.83	48663.08	49215.249	49755.886	50284.494	50800.367	51302.726	51790.894	52264.327	52722.661	53165.513	53592.596	54003.616	54398.241	54776.119	55136.857	55480.107	55805.53	56112.959	56402.236	56673.206	56925.715	57159.682	57375.041	57571.85	57750.313	57910.758	58053.44	58178.566	58286.247	58376.562	58449.626	58505.58	58544.632	58567.08	58573.296	58563.721	58538.878
70	Mauritania	4182.341	4295.543	4408.228	4520.692	4633.142	4745.731	4858.493	4971.382	5084.29	5197.054	5309.543	5421.688	5533.632	5645.652	5758.181	5871.502	5985.692	6100.644	6216.225	6332.214	6448.419	6564.772	6681.231	6797.662	6913.919	7029.859	7145.383	7260.375	7374.722	7488.245	7600.858	7712.438	7822.896	7932.133	8040.016	8146.46	8251.379	8354.726	8456.474	8556.631	8655.195	8752.115	8847.34	8940.886	9032.728	9122.866	9211.278	9297.914	9382.749	9465.753	9546.898	9626.141	9703.446	9778.746	9851.987	9923.1	9992.058	10058.801	10123.292	10185.459	10245.262	10302.655	10357.601	10410.078	10460.076	10507.575	10552.565	10595.016	10634.842	10671.945	10706.245	10737.726	10766.415	10792.378	10815.721	10836.521	10854.829	10870.657	10884.042	10894.956	10903.441	10909.541	10913.334	10914.902	10914.394	10911.929
71	Niger	19896.965	20652.753	21429.564	22229.564	23054.53	23905.815	24784.418	25690.906	26625.495	27588.181	28578.961	29598.086	30646.385	31725.298	32836.625	33981.604	35160.715	36373.569	37619.498	38897.384	40206.258	41545.686	42915.344	44314.491	45742.279	47197.85	48680.479	50189.4	51723.748	53282.552	54864.903	56469.87	58096.606	59744.291	61412.172	63099.381	64804.95	66527.812	68266.944	70021.275	71789.728	73571.074	75364.11	77167.651	78980.523	80801.444	82629.267	84462.519	86299.196	88137.033	89974.05	91808.468	93639.149	95465.559	97287.509	99104.386	100915.236	102718.174	104510.643	106289.58	108052.457	109797.557	111524.002	113231.076	114918.382	116585.364	118230.992	119853.968	121453.161	123027.457	124575.74	126097.081	127590.598	129055.336	130490.406	131894.913	133268.067	134609.097	135917.3	137191.987	138432.525	139638.276	140808.662	141943.101	143041.047	144101.972
72	Nigeria	181181.744	185807.73	190446.636	195114.77	199825.028	204586.961	209406.564	214286.472	219226.404	224223.91	229276.674	234384.946	239553.683	244793.454	250117.859	255535.878	261049.874	266654.78	272342.549	278101.374	283920.856	289796.323	295724.208	301696.06	307702.504	313734.985	319787.152	325853.427	331926.98	338001.076	344069.51	350126.481	356167.149	362187.641	368184.749	374155.091	380094.99	386000.15	391866.013	397687.847	403461.582	409183.349	414850.791	420463.312	426021.295	431524.296	436969.413	442353.052	447673.15	452927.683	458113.893	463228.781	468267.829	473224.749	478092.247	482863.671	487535.048	492102.528	496559.854	500900.312	505118.324	509209.694	513172.183	517004.67	520707.198	524279.405	527719.472	531025.203	534195.589	537229.873	540127.228	542886.961	545508.019	547988.885	550327.864	552523.754	554576.023	556484.807	558250.658	559874.364	561356.729	562698.549	563900.507	564963.201	565887.183	566672.876
73	Saint Helena	4.034	4.046	4.057	4.071	4.079	4.094	4.102	4.113	4.12	4.128	4.131	4.134	4.134	4.14	4.14	4.137	4.13	4.124	4.112	4.103	4.092	4.076	4.063	4.04	4.021	4.001	3.974	3.951	3.934	3.905	3.882	3.859	3.829	3.806	3.778	3.747	3.719	3.694	3.673	3.635	3.608	3.579	3.55	3.522	3.493	3.462	3.434	3.403	3.383	3.35	3.321	3.293	3.263	3.234	3.207	3.182	3.155	3.121	3.092	3.064	3.037	3.004	2.974	2.944	2.911	2.881	2.845	2.812	2.777	2.739	2.704	2.663	2.628	2.583	2.546	2.509	2.472	2.431	2.395	2.354	2.313	2.279	2.242	2.203	2.169	2.135
74	Senegal	14976.994	15393.846	15808.932	16223.671	16639.131	17056.104	17475.044	17896.073	18319.091	18743.778	19169.88	19597.425	20026.967	20459.701	20897.131	21340.368	21789.727	22244.898	22705.492	23170.774	23640.14	24113.295	24590.027	25069.715	25551.654	26035.16	26519.78	27004.991	27490.077	27974.196	28456.653	28936.941	29414.667	29889.341	30360.532	30827.845	31290.933	31749.534	32203.505	32652.742	33097.174	33536.62	33970.927	34400.165	34824.428	35243.787	35658.137	36067.355	36471.425	36870.339	37264.073	37652.489	38035.396	38412.511	38783.479	39147.984	39505.798	39856.705	40200.391	40536.572	40864.919	41185.182	41497.113	41800.427	42094.848	42380.11	42656.028	42922.361	43178.798	43424.956	43660.556	43885.417	44099.474	44302.745	44495.299	44677.205	44848.489	45009.121	45159.086	45298.361	45426.994	45545.071	45652.742	45750.204	45837.709	45915.583
75	Sierra Leone	7237.025	7389.686	7539.759	7687.662	7833.768	7978.307	8121.455	8263.253	8403.694	8542.693	8680.164	8816.09	8950.593	9083.919	9216.418	9348.303	9479.622	9610.193	9739.736	9867.877	9994.252	10118.733	10241.196	10361.395	10479.044	10593.891	10705.77	10814.551	10920.069	11022.179	11120.758	11215.667	11306.821	11394.221	11477.892	11557.856	11634.048	11706.419	11774.88	11839.351	11899.762	11956.054	12008.236	12056.326	12100.381	12140.441	12176.509	12208.53	12236.468	12260.264	12279.891	12295.316	12306.543	12313.521	12316.239	12314.671	12308.833	12298.72	12284.298	12265.503	12242.298	12214.731	12182.869	12146.83	12106.767	12062.81	12015.083	11963.651	11908.674	11850.266	11788.591	11723.776	11655.95	11585.25	11511.823	11435.818	11357.374	11276.635	11193.741	11108.84	11022.08	10933.599	10843.559	10752.1	10659.396	10565.595
76	Togo	7416.802	7597.918	7777.544	7956.328	8134.785	8313.306	8492.136	8671.411	8851.125	9031.21	9211.589	9392.261	9573.399	9755.366	9938.633	10123.501	10310.03	10497.994	10687.026	10876.555	11066.133	11255.54	11444.621	11633.049	11820.455	12006.51	12191.001	12373.722	12554.369	12732.656	12908.324	13081.173	13251.111	13418.184	13582.495	13744.12	13903.016	14059.077	14212.192	14362.271	14509.211	14652.939	14793.423	14930.725	15064.903	15196.002	15323.987	15448.746	15570.148	15688.029	15802.246	15912.713	16019.328	16121.967	16220.473	16314.711	16404.573	16489.992	16570.863	16647.087	16718.591	16785.295	16847.166	16904.156	16956.222	17003.349	17045.519	17082.754	17115.012	17142.293	17164.573	17181.904	17194.36	17202.085	17205.285	17204.139	17198.755	17189.242	17175.632	17157.995	17136.41	17110.991	17081.884	17049.252	17013.31	16974.303
77	ASIA	4419897.601	4457037.742	4491462.809	4523454.635	4553234.661	4580964.421	4606742.1	4630605.954	4652543.232	4672505.816	4690456.729	4706419.421	4720521.24	4733011.913	4744211.024	4754353.291	4763544.209	4771749.619	4778887.084	4784807.515	4789396.499	4792641.901	4794572.067	4795155.812	4794360.23	4792155.896	4788530.355	4783467.26	4776932.118	4768885.938	4759303.508	4748182.459	4735537.21	4721384.051	4705748.469	4688660.345	4670144.424	4650235.653	4628992.175	4606483.288	4582774.863	4557910.223	4531935.575	4504923.866	4476955.69	4448101.366	4418411.176	4387922.556	4356676.247	4324708.007	4292051.077	4258742.728	4224813.672	4190280.736	4155154.001	4119446.461	4083186.395	4046401.073	4009101.205	3971293.126	3932990.52	3894217.869	3855010.54	3815407.668	3775454.107	3735193.399	3694657.679	3653882.168	3612918.139	3571821.723	3530642.875	3489418.929	3448178.927	3406953.942	3365771.833	3324659.155	3283642.136	3242745.864	3201994.247	3161409.212	3121010.167	3080813.761	3040833.916	3001081.595	2961565.046	2922289.498
78	Eastern Asia	1635150.365	1640028.284	1643798.297	1646561.977	1648405.166	1649398.069	1649594.363	1649032.05	1647735.578	1645719.477	1642999.047	1639602.019	1635578.588	1631005.715	1625974.906	1620556.165	1614789.963	1608680.754	1602216.091	1595364.807	1588104.882	1580441.057	1572389.353	1563950.287	1555123.973	1545910.262	1536313.152	1526333.013	1515961.856	1505188.675	1494007.382	1482423.82	1470448.153	1458085.444	1445342.127	1432228.714	1418758.554	1404952.136	1390837.892	1376449.769	1361820.609	1346972.285	1331929.601	1316732.394	1301425.162	1286046.703	1270620.972	1255166.899	1239710.697	1224277.634	1208888.265	1193560.488	1178303.472	1163116.261	1147991.417	1132923.844	1117920.477	1102988.241	1088121.406	1073311.039	1058552.503	1043848.093	1029206.374	1014637.246	1000153.501	985767.189	971484.013	957311.458	943265.721	929365.742	915626.852	902055.077	888653.321	875429.261	862389.846	849538.815	836875.694	824396.118	812092.544	799955.255	787972.992	776133.431	764423.111	752827.735	741331.938	729919.307
79	China	1397028.553	1401867.504	1405719.904	1408675.335	1410809.335	1412183.417	1412844.415	1412825.103	1412146.205	1410819.607	1408858.154	1406286.062	1403148.056	1399513.269	1395464.178	1391063.971	1386348.39	1381321.479	1375973.887	1370280.154	1364222.036	1357804.239	1351039.936	1343927.528	1336464.193	1328647.412	1320480.325	1311963.017	1303086.435	1293838.446	1284212.188	1274212.436	1263848.989	1253127.485	1242055.278	1230643.527	1218904.736	1206858.368	1194532.827	1181962.011	1169178.241	1156202.254	1143056.853	1129779.287	1116411.01	1102987.71	1089531.249	1076058.195	1062591.11	1049151.222	1035755.367	1022418.739	1009148.28	995940.619	982786.071	969677.354	956619.986	943618.878	930665.022	917745.861	904854.108	891990.283	879163.282	866385.111	853671.994	841038.627	828491.392	816037.134	803691.984	791474.487	779399.747	767473.73	755700.037	744087.565	732645.044	721377.312	710284.137	699360.6	688598.153	677985.778	667511.092	657160.715	646920.474	636775.5	626710.145	616707.978
80	China, Hong Kong SAR	7245.701	7304.779	7356.554	7401.144	7438.917	7470.512	7496.864	7519.153	7538.769	7557.208	7575.746	7595.137	7615.312	7635.267	7653.392	7668.513	7680.412	7689.498	7695.874	7699.787	7701.456	7700.853	7697.937	7692.88	7685.905	7677.188	7666.805	7654.785	7641.169	7625.97	7609.21	7590.957	7571.277	7550.099	7527.408	7503.147	7477.354	7450.122	7421.568	7391.85	7361.106	7329.403	7296.786	7263.373	7229.24	7194.502	7159.186	7123.371	7087.073	7050.357	7013.244	6975.791	6938.014	6899.873	6861.288	6822.214	6782.661	6742.693	6702.372	6661.762	6620.963	6580.012	6538.966	6497.879	6456.823	6415.833	6374.971	6334.318	6294.026	6254.284	6215.249	6176.989	6139.528	6102.852	6066.911	6031.68	5997.167	5963.383	5930.376	5898.168	5866.769	5836.179	5806.351	5777.227	5748.719	5720.713
81	China, Macao SAR	600.942	610.066	619.022	627.793	636.396	644.815	653.048	661.062	668.867	676.421	683.711	690.737	697.5	704.013	710.302	716.389	722.271	727.958	733.441	738.702	743.758	748.6	753.221	757.645	761.886	765.938	769.81	773.503	777.023	780.398	783.622	786.711	789.66	792.442	795.06	797.476	799.694	801.731	803.579	805.237	806.721	808.024	809.168	810.131	810.933	811.564	812.036	812.35	812.505	812.52	812.399	812.153	811.771	811.25	810.588	809.779	808.824	807.728	806.493	805.129	803.646	802.05	800.343	798.526	796.569	794.488	792.269	789.951	787.549	785.105	782.669	780.234	777.819	775.46	773.183	771.022	768.988	767.075	765.27	763.564	761.929	760.361	758.835	757.344	755.884	754.432
82	China, Taiwan Province of China	23485.755	23530.686	23563.311	23585.169	23597.529	23601.368	23597.302	23585.714	23566.664	23540.077	23505.827	23464.023	23415.173	23360.235	23300.44	23236.598	23169.158	23097.754	23021.375	22938.558	22848.199	22750.047	22644.33	22530.972	22410.001	22281.498	22145.421	22001.843	21851.098	21693.68	21529.998	21360.332	21184.838	21003.697	20817.05	20625.087	20428.089	20226.424	20020.549	19811.025	19598.34	19382.808	19164.744	18944.588	18722.784	18499.753	18275.788	18051.124	17825.931	17600.325	17374.449	17148.514	16922.711	16697.068	16471.562	16246.242	16021.254	15796.824	15573.117	15350.336	15128.679	14908.305	14689.426	14472.473	14257.943	14046.232	13837.554	13632.006	13429.69	13230.619	13034.856	12842.541	12653.73	12468.326	12286.11	12106.973	11930.921	11758.072	11588.615	11422.75	11260.654	11102.472	10948.284	10798.138	10652.009	10509.829
83	Dem. People's Republic of Korea	25243.917	25339.031	25422.53	25495.375	25558.33	25612.016	25656.8	25692.903	25720.364	25739.119	25749.134	25750.542	25743.792	25729.717	25709.327	25683.391	25652.284	25615.942	25574.132	25526.405	25472.441	25412.197	25345.819	25273.254	25194.494	25109.517	25018.362	24920.977	24817.1	24706.411	24588.678	24463.979	24332.533	24194.501	24050.136	23899.725	23743.473	23581.742	23415.178	23244.603	23070.708	22893.899	22714.456	22532.853	22349.546	22164.926	21979.271	21792.799	21605.765	21418.413	21230.907	21043.386	20855.856	20668.091	20479.737	20290.516	20100.362	19909.287	19717.129	19523.671	19328.794	19132.453	18934.652	18735.401	18534.673	18332.511	18128.952	17924.135	17718.298	17511.728	17304.709	17097.408	16889.953	16682.6	16475.588	16269.152	16063.482	15858.767	15655.115	15452.686	15251.604	15052.037	14854.125	14658.045	14463.975	14272.106
84	Japan	127974.958	127621.201	127203.196	126727.902	126201.222	125628.03	125012.127	124356.266	123662.304	122931.499	122165.175	121365.577	120536.552	119683.84	118814.234	117933.086	117043.808	116147.33	115243.425	114330.593	113408.039	112476.692	111538.54	110595.106	109648.109	108698.971	107748.314	106796.561	105844.541	104893.064	103942.628	102993.388	102045.05	101097.044	100148.509	99198.52	98246.949	97293.061	96334.624	95368.809	94393.5	93408.255	92413.35	91408.434	90393.322	89368.283	88333.633	87290.508	86241.268	85188.91	84136.185	83084.677	82035.778	80991.831	79955.339	78928.569	77912.609	76908.845	75920.229	74950.05	74000.617	73073.282	72167.51	71281.199	70411.136	69554.72	68711.162	67880.496	67061.835	66254.372	65457.29	64669.916	63891.467	63120.983	62357.435	61599.989	60848.087	60101.412	59359.835	58623.312	57891.827	57165.355	56443.872	55727.309	55015.611	54308.66
85	Mongolia	2976.877	3022.488	3065.124	3105.046	3142.463	3177.567	3210.458	3241.23	3269.935	3296.593	3321.245	3343.972	3364.931	3384.388	3402.653	3419.983	3436.506	3452.285	3467.365	3481.761	3495.508	3508.648	3521.236	3533.293	3544.827	3555.84	3566.339	3576.283	3585.671	3594.46	3602.605	3610.093	3616.853	3622.745	3627.586	3631.23	3633.633	3634.781	3634.6	3633.035	3630.047	3625.621	3619.804	3612.682	3604.368	3595.011	3584.651	3573.333	3561.196	3548.357	3534.952	3521.052	3506.714	3491.99	3476.961	3461.681	3446.179	3430.508	3414.681	3398.741	3382.687	3366.542	3350.288	3333.915	3317.402	3300.701	3283.799	3266.691	3249.312	3231.598	3213.503	3195.01	3176.084	3156.699	3136.816	3116.407	3095.447	3073.948	3051.897	3029.324	3006.236	2982.641	2958.55	2933.991	2908.981	2883.52
86	Republic of Korea	50593.662	50732.529	50848.656	50944.213	51020.974	51080.344	51123.349	51150.619	51162.47	51158.953	51140.055	51105.969	51057.272	50994.986	50920.38	50834.234	50737.134	50628.508	50506.592	50368.847	50213.445	50039.781	49848.334	49639.609	49414.558	49173.898	48917.776	48646.044	48358.819	48056.246	47738.453	47405.924	47058.953	46697.431	46321.1	45930.002	45524.626	45105.907	44674.967	44233.199	43781.946	43322.021	42854.44	42381.046	41903.959	41424.954	40945.158	40465.219	39985.849	39507.53	39030.762	38556.176	38084.348	37615.539	37149.871	36687.489	36228.602	35773.478	35322.363	34875.489	34433.009	33995.166	33561.907	33132.742	32706.961	32284.077	31863.914	31446.727	31033.027	30623.549	30218.829	29819.249	29424.703	29034.776	28648.759	28266.28	27887.465	27512.861	27143.283	26779.673	26422.881	26073.671	25732.62	25400.181	25076.614	24762.069
87	South-Central Asia	1892013.476	1913530.205	1933991.434	1953512.93	1972180.576	1990050.422	2007146.996	2023465.098	2038974.402	2053627.569	2067384.645	2080238.612	2092238.036	2103496.826	2114166.72	2124356.711	2134108.202	2143392.588	2152160.839	2160331.64	2167841.226	2174677.427	2180847.532	2186327.665	2191092.95	2195122.127	2198403.708	2200928.036	2202680.013	2203644.798	2203813.079	2203180.69	2201752.135	2199539.411	2196560.56	2192832.807	2188365.389	2183168.724	2177264.593	2170678.336	2163432.962	2155543.529	2147023.309	2137891.391	2128167.458	2117868.854	2107012.571	2095610.277	2083667.572	2071186.461	2058172.059	2044636.453	2030595.458	2016062.995	2001053.846	1985583.334	1969667.759	1953322.992	1936564.056	1919405.879	1901865.33	1883960.502	1865712.937	1847147.887	1828293.036	1809174.946	1789814.835	1770234.097	1750459.972	1730521.03	1710443.517	1690251.309	1669963.536	1649595.599	1629160.19	1608671.974	1588149.387	1567613.761	1547088.289	1526596.313	1506160.038	1485799.879	1465534.34	1445379.809	1425350.712	1405459.479
88	Central Asia	68705.005	69692.546	70617.275	71486.513	72306.077	73080.33	73812.018	74502.475	75151.744	75759.041	76323.937	76847.641	77334.15	77790.679	78226.326	78648.102	79058.924	79458.82	79847.99	80225.398	80590.181	80942.66	81283.013	81609.522	81919.8	82211.63	82484.227	82736.583	82966.057	83169.53	83344.531	83489.953	83605.392	83690.204	83744.036	83766.703	83758.03	83718.299	83648.505	83550.103	83424.513	83272.387	83094.48	82892.514	82668.408	82423.831	82159.825	81877.113	81576.832	81259.957	80927.424	80580.101	80218.506	79842.725	79452.529	79047.876	78629.161	78196.972	77751.685	77293.703	76823.45	76341.284	75847.626	75343.002	74827.985	74303.091	73768.729	73225.227	72673.032	72112.585	71544.285	70968.48	70385.411	69795.182	69197.74	68593.154	67981.605	67363.306	66738.567	66107.666	65470.855	64828.366	64180.257	63526.633	62867.475	62202.709
89	Kazakhstan	17749.648	17949.468	18132.744	18301.396	18457.01	18600.864	18733.89	18856.709	18969.676	19072.944	19166.746	19251.61	19328.632	19399.564	19466.504	19531.126	19594.226	19656.035	19716.769	19776.377	19834.842	19892.341	19949.038	20004.734	20059.107	20111.826	20162.736	20211.602	20257.889	20300.956	20340.226	20375.434	20406.308	20432.307	20452.827	20467.393	20475.801	20478.026	20473.995	20463.746	20447.361	20424.868	20396.42	20362.474	20323.604	20280.325	20232.879	20181.481	20126.564	20068.606	20008.013	19945.062	19879.922	19812.725	19743.529	19672.407	19599.442	19524.796	19448.566	19370.906	19291.906	19211.597	19129.917	19046.738	18961.864	18875.108	18786.402	18695.647	18602.671	18507.293	18409.335	18308.704	18205.287	18098.878	17989.187	17876.047	17759.363	17639.138	17515.414	17388.293	17257.874	17124.214	16987.376	16847.418	16704.371	16558.245
90	Kyrgyzstan	5865.401	5950.478	6029.854	6104.245	6174.226	6240.251	6302.602	6361.454	6416.848	6468.764	6517.183	6562.234	6604.283	6643.968	6682.086	6719.248	6755.721	6791.465	6826.475	6860.586	6893.688	6925.782	6956.888	6986.786	7015.201	7041.873	7066.746	7089.729	7110.66	7129.347	7145.632	7159.435	7170.732	7179.556	7185.977	7190.04	7191.777	7191.174	7188.293	7183.176	7175.887	7166.461	7154.961	7141.5	7126.197	7109.155	7090.453	7070.112	7048.194	7024.722	6999.739	6973.307	6945.457	6916.192	6885.47	6853.309	6819.733	6784.795	6748.581	6711.171	6672.651	6633.051	6592.428	6550.861	6508.452	6465.276	6421.364	6376.73	6331.381	6285.332	6238.567	6191.103	6142.922	6093.94	6044.035	5993.117	5941.147	5888.119	5834.063	5778.971	5722.877	5665.78	5607.638	5548.404	5488.015	5426.381
91	Tajikistan	8548.651	8725.543	8896.7	9062.949	9224.915	9382.982	9537.325	9687.882	9834.422	9976.588	10114.117	10247.024	10375.8	10501.475	10625.418	10748.667	10871.55	10994.005	11116.164	11238.019	11359.528	11480.704	11601.41	11721.236	11839.598	11955.969	12070.14	12181.856	12290.409	12394.978	12494.926	12589.945	12679.97	12764.913	12844.829	12919.751	12989.626	13054.478	13114.544	13170.185	13221.707	13269.22	13312.78	13352.709	13389.324	13422.88	13453.507	13481.215	13506.028	13527.863	13546.674	13562.483	13575.268	13584.883	13591.133	13593.838	13592.984	13588.545	13580.407	13568.43	13552.55	13532.733	13509.046	13481.608	13450.594	13416.155	13378.376	13337.331	13293.19	13246.157	13196.408	13144.035	13089.107	13031.762	12972.101	12910.231	12846.206	12780.043	12711.752	12641.321	12568.718	12493.915	12416.877	12337.574	12255.939	12171.936
92	Turkmenistan	5565.284	5656.329	5741.963	5822.784	5899.226	5971.644	6040.222	6105.056	6166.124	6223.35	6276.671	6326.195	6372.265	6415.505	6456.707	6496.504	6535.136	6572.626	6609.074	6644.498	6678.891	6712.317	6744.77	6776.074	6805.988	6834.266	6860.834	6885.593	6908.291	6928.612	6946.305	6961.273	6973.442	6982.732	6989.032	6992.304	6992.51	6989.687	6983.959	6975.511	6964.539	6951.099	6935.286	6917.249	6897.172	6875.216	6851.492	6826.08	6799.177	6770.931	6741.516	6711.021	6679.482	6646.906	6613.249	6578.48	6542.643	6505.762	6467.837	6428.822	6388.692	6347.475	6305.185	6261.848	6217.479	6172.102	6125.749	6078.438	6030.221	5981.137	5931.254	5880.601	5829.22	5777.12	5724.323	5670.839	5616.717	5562.007	5506.773	5451.086	5395	5338.602	5281.928	5225.044	5167.996	5110.837
