Index	Region, subregion, country or area *	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
11	Low-income countries	641858.608	658573.51	675306.944	692104.058	708998.197	726010.926	743151.356	760416.761	777794.477	795264.536	812808.858	830420.495	848111.864	865918.543	883888.888	902054.866	920422.848	938972.597	957675.195	976488.905	995377.694	1014325.251	1033320.735	1052338.404	1071350.663	1090332.043	1109263.817	1128128.184	1146902.714	1165564.283	1184092.874	1202471.373	1220687.943	1238734.658	1256607.115	1274299.831	1291802.832	1309105.438	1326201.235	1343084.766	1359750.109	1376188.462	1392391.424	1408354.05	1424072.19	1439540.007	1454749.527	1469689.84	1484348.547	1498711.724	1512765.978	1526501.014	1539906.519	1552968.877	1565673.654	1578007.676	1589960.841	1601523.972	1612685.835	1623435.287	1633762.614	1643660.279	1653122.341	1662143.435	1670718.986	1678845.369	1686519.313	1693738.58	1700502.588	1706811.837	1712667.297	1718069.402	1723019.507	1727520.992	1731578.406	1735196.221	1738378.471	1741128.888	1743451.165	1745349.456	1746828.574	1747894.125	1748552.725	1748811.733	1748679.465	1748165.177
12	Sub-Saharan Africa	969234.251	994690.965	1020170.292	1045749.535	1071487.426	1097424.304	1123581.021	1149959.844	1176547.537	1203319.127	1230252.032	1257340.038	1284606.086	1312107.602	1339921.158	1368097.667	1396649.204	1425546.344	1454745.276	1484181.853	1513800.58	1543577.083	1573494.911	1603513.327	1633588.171	1663678.889	1693755.41	1723790.41	1753749.784	1783599.153	1813308.088	1842849.651	1872203.382	1901354.032	1930290.576	1959001.162	1987468.947	2015676.356	2043610.378	2071259.338	2098611.51	2125651.69	2152366.861	2178750.468	2204797.81	2230501.575	2255848.712	2280821.922	2305403.911	2329575.449	2353317.264	2376613.497	2399446.581	2421792.898	2443626.651	2464924.403	2485668.996	2505844.963	2525432.548	2544411.853	2562765.522	2580479.314	2597542.5	2613946.047	2629682.952	2644746.721	2659130.234	2672826.994	2685832.911	2698145.315	2709762.082	2720681.213	2730901.594	2740423.803	2749249.529	2757381.073	2764820.937	2771572.132	2777638.228	2783023.383	2787732.896	2791772.843	2795150.404	2797873.686	2799951.878	2801395.104
13	AFRICA	1194369.908	1223816.12	1253135.254	1282426.983	1311767.677	1341210.702	1370784.987	1400496.24	1430330.72	1460260.169	1490259.642	1520325.383	1550490.847	1580833.615	1611455.927	1642427.701	1673768.074	1705445.228	1737412.823	1769600.238	1801945.819	1834424.651	1867018.517	1899676.924	1932343.203	1964966.319	1997510.946	2029946.564	2062233.157	2094330.592	2126203.526	2157821.203	2189160.203	2220202.444	2250934.582	2281343.106	2311409.752	2341116.508	2370451.19	2399403.75	2427964.284	2456117.943	2483852.866	2511166.369	2538058.467	2564525.837	2590557.33	2616136.412	2641247.104	2665871.108	2689990.051	2713589.345	2736652.479	2759155.77	2781073.05	2802380.732	2823062.317	2843103.298	2862484.487	2881186.48	2899192.672	2916489.456	2933067.056	2948917.761	2964036.074	2978416.919	2992053.938	3004941.458	3017076.657	3028458.332	3039085.449	3048957.128	3058072.676	3066432.297	3074036.889	3080888.365	3086989.565	3092344.462	3096957.921	3100835.536	3103983.85	3106409.945	3108121.683	3109127.552	3109436.822	3109059.387
14	Eastern Africa	399458.026	410228.073	420992.016	431779.376	442612.02	453504.367	464462.923	475486.638	486568.211	497695.512	508857.671	520050.632	531282.494	542575.848	553961.251	565458.842	577072.949	588790.838	600593.434	612453.399	624347.257	636264.601	648199.061	660135.063	672056.045	683946.824	695795.726	707591.867	719321.638	730971.248	742528.678	753983.661	765328.951	776559.372	787671.602	798662.009	809524.295	820252.306	830843.058	841294.7	851604.453	861767.622	871778.834	881633.947	891328.886	900859.12	910219.375	919403.8	928406.221	937220.136	945838.821	954256.825	962467.658	970462.277	978230.718	985764.357	993057.09	1000104.171	1006899.924	1013438.957	1019716.631	1025728.705	1031472.032	1036944.364	1042144.179	1047070.185	1051720.909	1056095.071	1060191.881	1064011.024	1067552.562	1070816.503	1073803.754	1076516.432	1078957.365	1081129.237	1083034.135	1084673.854	1086050.014	1087164.41	1088019.184	1088617.107	1088961.43	1089056.021	1088905.301	1088514.332
15	Burundi	10199.27	10525.327	10852.233	11180.822	11511.684	11845.111	12181.133	12519.478	12859.692	13201.156	13543.397	13886.358	14230.603	14577.5	14928.835	15286.009	15649.407	16018.97	16395.059	16777.935	17167.712	17564.436	17967.88	18377.457	18792.397	19211.916	19635.656	20063.128	20493.299	20924.989	21357.18	21789.291	22220.919	22651.494	23080.477	23507.415	23931.924	24353.761	24772.867	25189.312	25603.142	26014.183	26422.352	26827.857	27231.034	27632.095	28030.982	28427.505	28821.64	29213.335	29602.462	29988.875	30372.261	30752.112	31127.799	31498.756	31864.642	32225.138	32579.772	32928.071	33269.596	33604.032	33931.096	34250.394	34561.488	34864.056	35157.822	35442.673	35718.747	35986.281	36245.437	36496.187	36738.392	36971.917	37196.565	37412.224	37618.822	37816.371	38004.886	38184.428	38355.036	38516.705	38669.426	38813.147	38947.807	39073.285
16	Comoros	777.424	794.744	811.842	828.774	845.57	862.267	878.868	895.375	911.776	928.038	944.153	960.108	975.926	991.653	1007.358	1023.087	1038.85	1054.631	1070.413	1086.152	1101.821	1117.401	1132.897	1148.276	1163.508	1178.573	1193.462	1208.145	1222.603	1236.798	1250.704	1264.314	1277.597	1290.566	1303.176	1315.432	1327.324	1338.836	1349.989	1360.771	1371.193	1381.262	1390.966	1400.306	1409.286	1417.894	1426.146	1434.024	1441.552	1448.718	1455.533	1461.996	1468.106	1473.842	1479.178	1484.118	1488.623	1492.709	1496.373	1499.605	1502.408	1504.78	1506.708	1508.21	1509.284	1509.925	1510.153	1509.962	1509.35	1508.318	1506.883	1505.025	1502.782	1500.142	1497.136	1493.774	1490.086	1486.054	1481.704	1477.036	1472.063	1466.803	1461.26	1455.461	1449.42	1443.157
17	Djibouti	927.414	940.954	954.024	966.643	978.862	990.678	1002.121	1013.162	1023.795	1033.999	1043.746	1053.037	1061.884	1070.331	1078.449	1086.262	1093.801	1101.049	1107.977	1114.565	1120.772	1126.598	1132.042	1137.121	1141.805	1146.101	1150.001	1153.499	1156.598	1159.276	1161.539	1163.372	1164.781	1165.759	1166.275	1166.36	1165.978	1165.152	1163.875	1162.156	1159.998	1157.409	1154.39	1150.95	1147.105	1142.863	1138.231	1133.212	1127.831	1122.11	1116.053	1109.674	1102.988	1096.014	1088.748	1081.203	1073.398	1065.342	1057.059	1048.551	1039.849	1030.958	1021.896	1012.674	1003.323	993.844	984.257	974.575	964.819	955.001	945.14	935.257	925.351	915.437	905.5	895.559	885.62	875.68	865.751	855.862	846.013	836.206	826.457	816.758	807.117	797.533
18	Eritrea	4846.976	4955.4	5062.895	5169.977	5277.008	5384.238	5491.754	5599.519	5707.397	5815.141	5922.559	6029.587	6136.406	6243.455	6351.363	6460.542	6571.101	6682.836	6795.522	6908.803	7022.356	7136.043	7249.758	7363.168	7475.908	7587.657	7698.21	7807.41	7914.983	8020.658	8124.196	8225.446	8324.319	8420.764	8514.771	8606.332	8695.394	8781.921	8865.978	8947.653	9027.028	9104.111	9178.883	9251.378	9321.652	9389.733	9455.614	9519.263	9580.657	9639.73	9696.435	9750.744	9802.626	9851.94	9898.575	9942.408	9983.38	10021.496	10056.707	10089.018	10118.397	10144.841	10168.338	10188.918	10206.609	10221.456	10233.459	10242.654	10249.052	10252.711	10253.66	10251.932	10247.551	10240.568	10230.996	10218.881	10204.265	10187.175	10167.685	10145.823	10121.639	10095.194	10066.532	10035.707	10002.767	9967.769
19	Ethiopia	99873.033	102286.872	104680.856	107059.725	109426.293	111781.525	114124.363	116451.873	118759.55	121041.884	123293.946	125513.182	127700.917	129862.967	132007.859	134141.337	136264.643	138374.493	140466.474	142534.191	144572.421	146578.95	148553.232	150493.574	152398.593	154266.694	156096.094	157884.462	159629.023	161326.675	162974.768	164571.534	166115.661	167605.563	169039.803	170417.188	171736.511	172996.984	174198.473	175341.189	176425.229	177450.151	178415.46	179321.186	180167.448	180954.313	181681.634	182349.13	182956.484	183503.327	183989.352	184414.405	184778.338	185080.912	185321.882	185501.048	185618.568	185674.424	185668.223	185599.409	185467.77	185273.535	185017.414	184700.382	184323.691	183888.558	183396.118	182847.317	182243.048	181584.161	180871.797	180107.247	179292.343	178429.464	177521.34	176570.526	175579.157	174549.091	173481.981	172379.521	171243.579	170076.262	168879.938	167657.265	166411.156	165144.805
20	Kenya	47236.259	48407.104	49565.267	50714.801	51858.852	52999.696	54138.664	55276.238	56412.131	57545.451	58675.381	59801.672	60925.347	62048.798	63175.2	64306.541	65443.266	66583.761	67725.262	68863.877	69996.328	71121.299	72237.994	73344.241	74437.721	75516.448	76578.906	77624.129	78651.334	79660.051	80649.765	81619.626	82568.818	83496.861	84403.414	85288.113	86150.463	86989.923	87806.199	88599.041	89368.138	90113.077	90833.436	91528.919	92199.287	92844.227	93463.361	94056.186	94622.118	95160.505	95670.708	96152.417	96605.21	97028.315	97420.875	97782.248	98112.07	98410.297	98676.966	98912.27	99116.404	99289.343	99431.162	99542.246	99623.106	99674.156	99695.762	99688.086	99651.173	99584.957	99489.541	99365.237	99212.589	99032.146	98824.574	98590.529	98330.644	98045.511	97735.754	97402.005	97044.984	96665.472	96264.333	95842.536	95401.093	94941.126
