Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
1992	414.0	249.3	213.6	876.9	499.8	774.7	397.2	1676.3	799.4	559.7	1567	2995	1428
1993	377.3	261.0	221.5	859.9	466.4	751.5	399.2	1635.2	775.3	562.0	1530	2910	1380
1994	344.6	303.2	221.5	869.3	442.3	747.2	387.7	1588.8	719.5	564.2	1541	2816	1275
1995	340.7	315.1	228.7	884.5	433.9	759.7	409.6	1610.4	725.9	566.2	1562	2844	1282
1996	329.2	331.2	258.4	918.8	425.0	773.5	453.8	1661.9	743.2	567.9	1618	2926	1308
1997	328.4	331.1	254.8	914.3	418.9	776.3	443.4	1642.7	728.3	569.5	1605	2884	1279
1998	300.5	328.3	254.3	883.0	405.5	794.6	449.8	1639.4	756.4	571.1	1546	2871	1324
1999	288.1	333.4	261.4	882.9	385.0	785.7	467.5	1661.8	778.9	572.8	1541	2901	1360
2000	277.3	335.4	267.8	880.5	396.1	776.1	480.1	1659.1	778.6	574.7	1532	2887	1355
2001	275.0	326.2	270.8	872.0	394.1	789.2	489.5	1672.3	800.3	577.0	1511	2898	1387
2002	273.0	324.2	278.2	875.4	393.0	786.3	491.1	1699.5	824.1	579.6	1511	2932	1422
2003	270.7	310.4	281.0	862.1	408.8	791.2	513.2	1727.9	865.8	582.3	1481	2967	1487
2004	262.3	297.0	290.7	850.0	402.9	799.9	525.7	1730.1	880.1	585.1	1453	2957	1504
2005	257.1	273.4	282.3	812.8	391.2	806.3	539.4	1747.7	934.8	588.0	1382	2972	1590
2006	256.3	252.6	275.9	784.9	409.1	811.8	535.3	1767.2	982.3	590.8	1329	2991	1663
2007	250.3	240.3	263.9	754.4	411.8	797.8	530.6	1778.0	1023.6	593.6	1271	2995	1724
2008	244.9	228.7	276.0	749.6	391.2	794.4	538.0	1734.5	984.9	596.4	1257	2908	1651
2009	231.5	216.0	261.5	709.1	350.4	757.5	496.2	1620.4	911.3	599.0	1184	2705	1521
2010	228.9	200.0	267.1	696.0	366.3	750.3	535.3	1674.4	978.4	601.5	1157	2784	1626
2011	237.4	182.3	245.4	665.1	381.8	730.5	498.8	1621.2	956.1	603.8	1102	2685	1583
2012	236.9	167.6	247.7	652.1	390.2	708.2	486.1	1582.6	930.5	605.9	1076	2612	1536
2013	223.7	158.9	241.3	624.0	377.6	693.2	476.7	1554.9	931.0	607.9	1026	2558	1531
2014	204.7	159.7	230.0	594.3	354.5	680.1	429.9	1457.1	862.8	609.9	974	2389	1415
2015	187.2	166.5	225.0	578.7	339.2	696.4	437.5	1458.6	879.9	611.9	946	2384	1438
2016	178.6	167.8	224.0	570.4	326.8	714.3	462.2	1517.7	947.2	614.0	929	2472	1543
2017	173.3	164.7	226.3	564.3	315.5	726.3	481.9	1533.7	969.4	616.1	916	2489	1573
2018	170.0	162.9	215.5	548.5	307.1	722.4	472.0	1496.7	948.2	618.2	887	2421	1534
