<<<<<<< HEAD
#
# Data from BP World Energy Report 2020
# All data in mln tonn per year
#
Year	Canada_CONS	Canada_PROD	Mexico_CONS	Mexico_PROD	US_CONS	US_PROD	NAM_CONS	NAM_PROD	Argentina_CONS	Argentina_PROD	Brazil_CONS	Brazil_PROD	Colombia_CONS	Colombia_PROD	Ecuador_CONS	Ecuador_PROD	Peru_CONS	Peru_PROD	TrinidadAndTobago_CONS	TrinidadAndTobago_PROD	Venezuela_CONS	Venezuela_PROD	SAM_CONS	SAM_PROD	Denmark_CONS	Denmark_PROD	Italy_CONS	Italy_PROD	Norway_CONS	Norway_PROD	Romania_CONS	Romania_PROD	UnitedKingdom_CONS	UnitedKingdom_PROD	EUR_CONS	EUR_PROD	Azerbaijan_CONS	Azerbaijan_PROD	Kazakhstan_CONS	Kazakhstan_PROD	RussianFederation_CONS	RussianFederation_PROD	Turkmenistan_CONS	Turkmenistan_PROD	Uzbekistan_CONS	Uzbekistan_PROD	CIS_CONS	CIS_PROD	Iran_CONS	Iran_PROD	Iraq_CONS	Iraq_PROD	Kuwait_CONS	Kuwait_PROD	Oman_CONS	Oman_PROD	Qatar_CONS	Qatar_PROD	SaudiArabia_CONS	SaudiArabia_PROD	UnitedArabEmirates_CONS	UnitedArabEmirates_PROD	MEA_CONS	MEA_PROD	Algeria_CONS	Algeria_PROD	Egypt_CONS	Egypt_PROD	AFR_CONS	AFR_PROD	Australia_CONS	Australia_PROD	China_CONS	China_PROD	India_CONS	India_PROD	Indonesia_CONS	Indonesia_PROD	Malaysia_CONS	Malaysia_PROD	Thailand_CONS	Thailand_PROD	Vietnam_CONS	Vietnam_PROD	APAC_CONS	APAC_PROD	WORLD_CONS	WORLD_PROD
1965	53.8	43.9	14.8	18.1	551.3	427.7	620.0	489.6	22.0	13.8	14.8	5.0	3.8	10.7	0.7	0.4	3.8	3.4	1.9	6.7	9.6	184.1	84.1	226.3	10.4	0.0	52.3	2.3	5.1	0.0	7.1	12.8	75.0	0.1	422.3	39.0	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	168.3	242.9	7.1	95.7	1.3	64.7	5.4	119.0	0.4	0.0	0.0	11.6	19.6	111.0	0.1	13.7	43.6	418.7	1.3	26.1	6.9	6.5	27.4	106.2	15.1	0.3	11.0	11.3	12.6	3.0	6.1	24.5	2.3	0.0	2.3	0.0	1.5	0.0	162.5	44.9	1528.2	1567.6
1966	56.7	48.2	15.5	18.5	578.9	454.5	651.1	521.2	22.8	14.6	16.2	6.2	4.4	10.4	0.7	0.4	4.7	3.4	1.9	7.6	9.4	178.8	88.6	223.9	11.9	0.0	57.7	1.9	5.8	0.0	7.4	13.1	80.3	0.1	463.3	39.6	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	180.3	265.1	7.8	106.9	1.4	68.6	5.3	125.6	0.5	0.0	0.0	14.5	19.7	131.0	0.1	17.4	44.9	467.2	1.7	33.6	7.4	6.3	30.0	135.2	18.0	0.4	14.1	14.6	14.1	4.6	5.9	23.9	2.7	0.0	2.7	0.0	3.2	0.0	187.2	50.0	1645.2	1702.2
1967	60.6	52.7	16.6	20.5	601.0	484.2	678.2	557.4	23.3	16.0	16.7	7.8	4.4	10.1	0.7	0.3	4.7	3.8	2.0	8.9	9.5	187.9	91.3	238.3	12.6	0.0	63.7	1.7	6.0	0.0	8.4	13.5	86.2	0.1	502.4	40.9	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	196.4	288.1	8.6	130.5	1.5	60.5	5.2	126.4	0.5	2.8	0.1	16.1	19.9	141.3	0.1	18.5	46.3	499.8	1.6	38.6	6.1	5.6	29.6	148.7	19.7	1.0	13.9	13.9	14.6	5.7	5.7	25.7	2.7	0.0	3.0	0.0	4.8	0.0	218.5	53.0	1762.8	1826.2
1968	64.5	57.1	18.1	21.9	642.8	502.9	725.3	581.9	23.8	17.5	20.0	8.5	4.9	9.3	0.9	0.3	4.7	4.0	2.0	9.5	10.4	191.8	97.6	244.7	13.6	0.0	70.3	1.6	6.6	0.0	8.9	13.5	91.1	0.1	552.5	41.5	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	209.3	309.2	9.4	142.8	1.7	74.2	5.1	133.1	0.5	12.0	0.1	17.0	20.1	154.2	0.1	24.1	47.8	562.4	1.7	42.4	6.3	8.6	31.3	190.6	21.5	1.9	15.2	16.0	16.3	5.9	6.0	30.3	2.8	0.2	4.0	0.0	4.9	0.0	250.0	62.0	1913.8	1992.3
1969	67.1	62.2	19.1	23.0	678.5	511.4	764.7	596.5	24.7	18.1	22.0	9.3	4.7	11.2	0.9	0.2	4.7	3.9	2.1	7.8	10.3	190.8	101.3	245.1	16.4	0.0	77.3	1.6	7.3	0.0	9.9	13.5	97.9	0.1	615.3	42.0	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	222.6	328.3	10.3	169.3	1.8	74.9	5.0	140.9	0.5	16.2	0.1	17.7	20.3	162.8	0.1	30.4	49.4	618.7	1.8	44.4	4.7	12.3	31.7	242.3	22.1	2.2	20.4	21.7	19.6	6.7	6.4	32.4	2.8	0.4	4.3	0.0	5.9	0.0	290.5	71.4	2075.5	2144.5
1970	71.6	70.1	20.5	24.2	705.7	533.5	797.8	627.7	22.1	20.0	24.9	8.8	5.3	11.8	1.1	0.2	4.9	3.9	2.2	6.9	10.7	197.2	106.7	251.8	18.3	0.0	87.3	1.5	8.2	0.0	10.7	13.7	103.9	0.2	682.1	42.0	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	245.1	353.0	11.1	192.6	2.4	76.3	4.9	151.8	0.5	16.4	0.1	18.1	21.0	192.2	0.1	37.8	51.5	693.3	2.0	48.3	6.1	16.4	35.0	292.3	24.4	8.7	28.2	30.7	19.5	6.8	6.8	43.1	3.1	0.9	5.1	0.0	6.1	0.0	337.9	98.8	2256.1	2358.9
1971	73.5	75.2	21.8	24.1	729.6	525.9	824.9	625.2	23.6	21.6	27.4	9.2	5.5	11.7	1.2	0.2	4.9	3.3	2.3	6.4	10.8	189.9	112.5	245.9	18.0	0.0	93.8	1.4	8.1	0.3	10.9	14.1	104.5	0.2	715.1	41.6	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	259.9	377.0	12.1	228.7	2.6	83.4	4.8	162.5	1.3	14.6	0.1	21.4	21.3	240.8	0.1	51.3	54.2	811.8	2.3	36.8	6.3	15.0	39.6	273.5	25.7	15.3	38.4	39.4	20.5	7.2	7.0	45.0	3.4	3.3	5.6	0.0	5.1	0.0	375.2	118.6	2381.4	2493.6
1972	77.4	86.7	24.5	25.1	788.9	527.9	890.8	639.7	23.6	22.2	31.5	9.0	6.3	10.6	1.2	4.2	4.2	3.5	3.7	7.0	11.8	173.8	122.1	234.3	19.1	0.1	98.2	1.2	8.5	1.6	11.6	14.4	110.8	0.3	765.2	43.1	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	281.9	400.4	13.5	253.7	3.2	72.4	5.2	167.3	1.5	14.0	0.1	24.1	22.7	304.2	0.2	58.4	58.3	903.6	2.5	49.7	7.2	10.7	42.9	274.6	26.1	16.3	44.2	45.7	22.1	7.4	7.6	54.7	3.8	4.5	7.1	0.0	5.3	0.0	403.7	139.7	2564.9	2635.4
1973	81.7	100.3	26.2	25.9	833.1	514.7	941.0	640.8	23.7	21.6	38.8	9.2	6.0	9.9	1.4	11.2	4.9	3.8	3.8	8.2	12.9	181.4	133.3	249.3	17.6	0.1	103.6	1.1	8.6	1.6	13.1	14.6	113.6	0.4	820.0	43.4	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	303.1	429.0	16.2	295.4	3.1	99.4	5.0	153.8	1.3	14.5	0.1	28.4	24.1	384.0	0.3	74.2	62.7	1058.7	2.7	51.7	6.7	8.5	46.2	287.8	27.9	20.4	53.8	53.6	23.3	7.2	9.1	67.5	4.1	4.3	7.5	0.0	5.2	0.0	459.2	166.8	2765.6	2875.8
1974	83.0	94.4	29.7	32.4	799.7	491.4	912.4	618.2	23.9	21.1	41.9	9.6	6.7	9.1	1.6	9.5	5.8	4.1	3.7	9.3	12.9	160.7	137.5	227.1	16.0	0.1	100.8	1.1	7.8	1.7	12.1	14.8	105.5	0.4	771.9	43.6	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	-999.3	333.1	458.9	18.7	303.2	3.1	97.3	4.6	129.9	1.2	14.4	0.2	25.8	25.3	429.6	0.4	81.3	66.7	1091.2	3.0	47.8	7.4	7.5	47.8	265.3	29.5	20.2	61.9	64.9	22.8	7.5	9.5	69.4	4.1	3.9	7.7	0.0	3.2	0.0	455.9	177.8	2725.3	2882.2
