#
# Commodities production
# Based on the tables, assembled by user Basil
# https://aftershock.news/?q=node/793967
#
# Population	mln (UN data and estimates)
#
# Raw extraction:
# Gypsum	mln tonn
# Phosphates	mln tonn
# Ê2Î	mln tonn
# NaCl	mln tonn
# Iron_Ore	mln tonn
# Bauxite	mln tonn
#
# Metal production:
# Black_Iron	mln tonn
# Steel	mln tonn
# Cr	mln tonn
# Al	mln tonn
# Cu	mln tonn
# Zn	
# Ni	mln tonn
# Pb	mln tonn
#
# Chemicals, cement, electricity:
# Na2CO3	mln tonn
# Cement	mln tonn
# Ammonia	mln tonn (Nitrogen equivalent)
# Electricity	TWh per year
#
Year	Population	Gypsum	Phosphates	Ê2Î	NaCl	Iron_Ore	Bauxite	Black_Iron	Steel	Cr	Al	Cu	Zn	Ni	Pb	Na2CO3	Cement	Ammonia	Electricity
1960	3033.21	40.00	41.80	9.10	84.80	514.00	27.60	259.00	346.00	1.25	4.49	3.94	3.09	0.32	2.39	-999.25	317.00	12.90	-999.25
1961	3090.31	40.50	45.50	9.70	85.00	495.00	29.40	256.00	352.00	1.22	4.70	4.09	3.49	0.36	2.39	-999.25	333.00	14.00	-999.25
1962	3149.24	43.50	63.30	9.80	91.50	499.00	31.10	266.00	361.00	1.28	5.06	4.22	3.57	0.36	2.51	-999.25	359.00	11.90	2700.00
1963	3210.27	45.50	54.60	11.30	96.10	510.00	30.70	281.00	387.00	1.17	5.32	4.29	3.66	0.34	2.56	-999.25	378.00	17.10	2900.00
1964	3273.67	46.80	63.70	12.30	98.60	573.00	33.40	317.00	437.00	1.29	5.94	4.45	4.03	0.37	2.53	-999.25	416.00	19.40	3200.00
1965	3339.59	48.00	71.40	13.70	109.00	611.00	37.40	335.00	459.00	1.49	6.31	4.66	4.31	0.43	2.70	-999.25	433.00	21.80	3430.00
1966	3408.12	48.70	84.50	14.60	111.00	626.00	40.70	347.00	475.00	1.36	6.88	4.58	4.50	0.41	2.85	-999.25	464.00	25.00	3700.00
1967	3479.05	46.20	87.30	15.70	119.00	616.00	44.60	350.00	494.00	1.43	7.57	4.63	4.84	0.45	2.87	-999.25	480.00	28.70	3930.00
1968	3551.88	49.40	94.10	16.20	126.00	668.00	46.00	379.00	530.00	1.56	8.02	5.01	4.97	0.50	3.01	-999.25	515.00	32.10	4250.00
1969	3625.91	52.20	92.10	17.40	137.00	701.00	51.80	411.00	574.00	1.67	8.97	5.52	5.34	0.49	3.24	-999.25	543.00	35.90	4640.00
1970	3700.58	51.60	95.10	18.20	146.00	757.00	57.80	431.00	594.00	1.91	9.65	5.90	5.46	0.63	3.39	19.10	572.00	38.80	5000.00
1971	3775.79	53.10	94.00	19.90	144.00	767.00	62.10	430.00	581.00	2.00	10.30	5.90	5.52	0.64	3.49	19.80	590.00	41.10	5400.00
1972	3851.55	57.60	101.00	20.00	146.00	757.00	64.90	454.00	629.00	1.97	11.00	6.50	5.44	0.61	3.45	20.50	661.00	43.00	5730.00
1973	3927.54	61.50	111.00	18.90	155.00	832.00	70.40	501.00	698.00	2.03	12.10	6.90	5.71	0.71	3.49	21.40	702.00	46.70	6200.00
1974	4003.45	61.40	123.00	21.10	166.00	881.00	79.60	512.00	708.00	2.23	13.20	7.10	5.78	0.77	3.49	22.40	703.00	48.40	6300.00
1975	4079.09	59.20	109.00	24.70	162.00	888.00	74.80	479.00	644.00	2.53	12.10	6.70	5.85	0.80	3.44	23.40	702.00	49.50	6494.00
1976	4154.29	66.10	109.00	24.30	161.00	886.00	77.40	498.00	674.00	2.43	12.60	7.30	5.69	0.79	3.69	26.10	735.00	56.90	6800.00
1977	4229.20	74.50	121.00	25.20	157.00	844.00	81.90	488.00	673.00	2.60	13.80	7.40	5.92	0.83	3.41	26.40	797.00	62.00	7254.00
1978	4304.38	77.80	127.00	26.10	168.00	833.00	81.00	506.00	715.00	2.99	14.10	7.30	5.85	0.66	3.46	27.20	853.00	67.20	7512.00
1979	4380.59	80.40	134.00	25.70	173.00	898.00	85.50	532.00	745.00	2.59	14.60	7.40	5.99	0.69	3.51	28.20	872.00	71.10	7977.00
1980	4458.41	78.40	147.00	27.90	169.00	884.00	89.20	514.00	716.00	2.83	15.40	7.20	5.95	0.78	3.52	28.30	883.00	73.60	8371.00
1981	4537.85	76.20	145.00	27.10	171.00	843.00	85.30	502.00	707.00	2.55	15.10	7.70	5.95	0.73	3.35	28.00	887.00	77.00	8384.00
1982	4618.78	72.50	129.00	24.50	164.00	783.00	79.30	457.00	644.00	2.39	13.40	7.60	6.13	0.62	3.45	26.80	887.00	75.90	8639.00
1983	4701.53	80.70	143.00	27.40	159.00	728.00	78.70	463.00	663.00	2.54	13.90	7.60	6.28	0.67	3.35	27.90	917.00	80.40	8723.00
1984	4786.48	85.80	154.00	29.30	173.00	823.00	87.20	495.00	711.00	2.95	15.70	7.80	6.52	0.77	3.20	29.20	941.00	88.60	9251.00
1985	4873.78	87.00	151.00	29.20	173.00	845.00	84.20	499.00	718.00	3.18	15.40	8.00	6.76	0.81	3.39	29.10	959.00	91.00	9643.00
1986	4963.63	88.20	141.00	28.80	175.00	855.00	88.20	495.00	713.00	3.53	15.40	7.90	6.84	0.85	3.24	29.40	1008.00	91.10	10076.00
1987	5055.64	93.10	147.00	30.50	179.00	869.00	91.60	509.00	734.00	3.45	16.50	8.20	7.19	0.89	3.43	30.20	1053.00	95.10	10600.00
1988	5148.56	101.00	166.00	31.80	186.00	967.00	97.40	539.00	780.00	3.87	18.50	8.70	6.77	0.95	3.42	31.30	1118.00	99.30	11000.00
