#
# Combined set of Law Dome core
# https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/law/law2012d18o.txt
# Central England Temperature set:
# 1659-1973 MANLEY (Q.J.R.METEOROL.SOC.,1974)
# 1974 ON PARKER ET AL. (INT.J.CLIM., 1992)
# PARKER AND HORTON (INT.J.CLIM.,2005)
# and Casey weather station 133.9 km from the Law Dome wellhead
# http://berkeleyearth.lbl.gov/stations/151566
# Note that Law Dome Summit record (31.2 km away) starts only in Apr 1986 and thus
# cannot be used for correlations
#
Year	LD_d18O	CE_Year_Average	Casey_Year_Average
873	-21.5956	-999	-999
872	-22.0655	-999	-999
871	-21.2756	-999	-999
870	-22.9183	-999	-999
869	-21.8962	-999	-999
868	-20.0803	-999	-999
867	-19.9265	-999	-999
866	-21.3618	-999	-999
865	-20.4805	-999	-999
864	-22.4239	-999	-999
863	-22.3882	-999	-999
862	-21.2965	-999	-999
861	-21.0465	-999	-999
860	-21.2074	-999	-999
859	-21.6415	-999	-999
858	-21.7909	-999	-999
857	-21.6533	-999	-999
856	-22.3996	-999	-999
855	-21.7111	-999	-999
854	-22.0964	-999	-999
853	-23.1669	-999	-999
852	-21.3194	-999	-999
851	-21.4024	-999	-999
850	-21.4959	-999	-999
849	-21.8919	-999	-999
848	-22.3408	-999	-999
847	-22.1969	-999	-999
846	-21.9427	-999	-999
845	-21.2296	-999	-999
844	-21.0635	-999	-999
843	-21.8449	-999	-999
842	-22.4291	-999	-999
841	-22.4258	-999	-999
840	-21.4741	-999	-999
839	-23.5318	-999	-999
838	-21.7827	-999	-999
837	-18.8025	-999	-999
836	-22.6005	-999	-999
835	-22.1631	-999	-999
834	-21.3594	-999	-999
833	-20.756	-999	-999
832	-20.7253	-999	-999
831	-21.3398	-999	-999
830	-21.1892	-999	-999
829	-21.8552	-999	-999
828	-22.0608	-999	-999
827	-22.9554	-999	-999
826	-22.637	-999	-999
825	-20.0671	-999	-999
824	-21.4262	-999	-999
823	-22.7309	-999	-999
822	-22.1986	-999	-999
821	-22.6743	-999	-999
820	-22.1389	-999	-999
819	-21.3922	-999	-999
818	-22.3072	-999	-999
817	-22.3669	-999	-999
816	-21.8988	-999	-999
815	-22.8081	-999	-999
814	-21.2428	-999	-999
813	-23.4168	-999	-999
812	-22.2617	-999	-999
811	-20.7663	-999	-999
810	-21.1905	-999	-999
809	-22.1817	-999	-999
808	-20.9577	-999	-999
807	-21.8326	-999	-999
806	-21.7118	-999	-999
805	-22.6356	-999	-999
804	-22.0001	-999	-999
803	-22.0478	-999	-999
802	-21.2259	-999	-999
801	-21.9458	-999	-999
800	-22.1281	-999	-999
799	-21.3209	-999	-999
798	-22.3399	-999	-999
797	-21.3214	-999	-999
796	-21.4172	-999	-999
795	-22.4057	-999	-999
794	-21.0759	-999	-999
793	-21.0711	-999	-999
792	-21.6833	-999	-999
791	-22.2234	-999	-999
790	-22.0444	-999	-999
789	-22.4539	-999	-999
788	-22.3467	-999	-999
787	-21.2579	-999	-999
786	-21.5885	-999	-999
785	-22.3547	-999	-999
784	-21.9645	-999	-999
783	-22.2803	-999	-999
782	-23.0796	-999	-999
781	-22.0892	-999	-999
780	-20.6609	-999	-999
779	-21.0148	-999	-999
778	-22.1112	-999	-999
777	-21.706	-999	-999
776	-20.7035	-999	-999
775	-21.0316	-999	-999
774	-21.907	-999	-999
773	-21.0188	-999	-999
772	-21.93	-999	-999
771	-22.1593	-999	-999
770	-22.2683	-999	-999
769	-22.236	-999	-999
768	-21.3939	-999	-999
767	-22.1732	-999	-999
766	-22.9425	-999	-999
765	-21.5603	-999	-999
764	-21.8066	-999	-999
763	-22.5511	-999	-999
762	-20.7518	-999	-999
761	-21.0991	-999	-999
760	-22.4146	-999	-999
759	-22.5653	-999	-999
758	-22.7579	-999	-999
757	-21.6124	-999	-999
756	-21.8663	-999	-999
755	-21.3156	-999	-999
754	-20.478	-999	-999
753	-22.0228	-999	-999
752	-22.7394	-999	-999
751	-21.4626	-999	-999
750	-21.3456	-999	-999
749	-20.8019	-999	-999
748	-21.0075	-999	-999
747	-21.3206	-999	-999
746	-22.0337	-999	-999
745	-22.5325	-999	-999
744	-21.4536	-999	-999
743	-22.2455	-999	-999
742	-22.1801	-999	-999
741	-21.5417	-999	-999
740	-20.9993	-999	-999
739	-21.7334	-999	-999
738	-22.045	-999	-999
737	-20.4904	-999	-999
736	-22.1842	-999	-999
735	-22.8571	-999	-999
734	-22.7152	-999	-999
733	-22.1148	-999	-999
732	-22.1195	-999	-999
731	-21.62	-999	-999
730	-21.8059	-999	-999
729	-22.6737	-999	-999
728	-22.5056	-999	-999
727	-22.2005	-999	-999
726	-22.3494	-999	-999
725	-22.3761	-999	-999
724	-21.0667	-999	-999
723	-22.2072	-999	-999
722	-22.4608	-999	-999
721	-22.7693	-999	-999
720	-23.8998	-999	-999
719	-22.5206	-999	-999
718	-21.8248	-999	-999
717	-20.5955	-999	-999
716	-20.4083	-999	-999
715	-20.7894	-999	-999
714	-21.3345	-999	-999
713	-21.5039	-999	-999
712	-21.3257	-999	-999
711	-19.6579	-999	-999
710	-22.1147	-999	-999
709	-20.3567	-999	-999
708	-20.8034	-999	-999
707	-22.7173	-999	-999
706	-22.3669	-999	-999
705	-20.97	-999	-999
704	-21.2377	-999	-999
703	-21.9706	-999	-999
702	-21.003	-999	-999
701	-20.9938	-999	-999
700	-21.0209	-999	-999
699	-22.2064	-999	-999
698	-21.3272	-999	-999
697	-21.2581	-999	-999
696	-21.5342	-999	-999
695	-21.8399	-999	-999
694	-22.222	-999	-999
693	-22.9946	-999	-999
692	-21.6098	-999	-999
691	-21.4882	-999	-999
690	-20.9877	-999	-999
689	-21.0461	-999	-999
688	-20.1588	-999	-999
687	-21.5892	-999	-999
686	-22.0046	-999	-999
685	-22.3795	-999	-999
684	-22.8837	-999	-999
683	-23.8947	-999	-999
682	-20.987	-999	-999
681	-20.9476	-999	-999
680	-22.3726	-999	-999
679	-21.3874	-999	-999
678	-23.4661	-999	-999
677	-20.9666	-999	-999
676	-22.1828	-999	-999
675	-22.3597	-999	-999
674	-22.0724	-999	-999
673	-21.9609	-999	-999
672	-22.4456	-999	-999
671	-22.7932	-999	-999
670	-22.5535	-999	-999
669	-22.1975	-999	-999
668	-23.2619	-999	-999
667	-22.1249	-999	-999
666	-22.2887	-999	-999
665	-21.6387	-999	-999
664	-21.4516	-999	-999
663	-21.513	-999	-999
662	-21.2598	-999	-999
661	-21.8564	-999	-999
660	-21.5982	-999	-999
659	-22.8379	-999	-999
658	-23.0774	-999	-999
657	-22.6328	-999	-999
656	-22.6419	-999	-999
655	-21.5104	-999	-999
654	-21.179	-999	-999
653	-21.5876	-999	-999
652	-22.3716	-999	-999
651	-23.197	-999	-999
650	-22.3617	-999	-999
649	-23.2424	-999	-999
648	-21.9531	-999	-999
647	-20.9356	-999	-999
646	-21.3389	-999	-999
645	-22.6991	-999	-999
644	-21.6439	-999	-999
643	-20.5267	-999	-999
642	-22.4609	-999	-999
641	-22.3487	-999	-999
640	-21.697	-999	-999
639	-22.8167	-999	-999
638	-21.824	-999	-999
637	-21.7865	-999	-999
636	-20.5988	-999	-999
635	-22.9537	-999	-999
634	-23.5682	-999	-999
633	-22.1721	-999	-999
632	-21.7521	-999	-999
631	-22.5012	-999	-999
630	-22.3313	-999	-999
629	-21.4603	-999	-999
628	-21.4018	-999	-999
627	-21.4625	-999	-999
626	-22.154	-999	-999
625	-21.4942	-999	-999
624	-22.2619	-999	-999
623	-22.1368	-999	-999
622	-23.6121	-999	-999
621	-21.6958	-999	-999
620	-23.2958	-999	-999
619	-23.1051	-999	-999
618	-20.904	-999	-999
617	-20.7292	-999	-999
616	-22.0542	-999	-999
615	-22.9218	-999	-999
614	-21.5402	-999	-999
613	-22.777	-999	-999
612	-23.1274	-999	-999
611	-22.6858	-999	-999
610	-22.5791	-999	-999
609	-22.0722	-999	-999
608	-21.1059	-999	-999
607	-21.9431	-999	-999
606	-22.3903	-999	-999
605	-20.8452	-999	-999
604	-22.5655	-999	-999
603	-22.9635	-999	-999
602	-22.8524	-999	-999
601	-20.6455	-999	-999
600	-21.8573	-999	-999
599	-23.4181	-999	-999
598	-22.7931	-999	-999
597	-21.5943	-999	-999
596	-21.3415	-999	-999
595	-20.865	-999	-999
594	-21.9676	-999	-999
593	-22.912	-999	-999
592	-21.3533	-999	-999
591	-22.6235	-999	-999
590	-20.5763	-999	-999
589	-21.3435	-999	-999
588	-21.5069	-999	-999
587	-22.0918	-999	-999
586	-22.3731	-999	-999
585	-20.7864	-999	-999
584	-21.0955	-999	-999
583	-23.7023	-999	-999
582	-23.2966	-999	-999
581	-21.6613	-999	-999
580	-22.5062	-999	-999
579	-22.2711	-999	-999
578	-22.1901	-999	-999
577	-22.412	-999	-999
576	-21.0583	-999	-999
575	-21.8869	-999	-999
574	-22.1241	-999	-999
573	-21.0086	-999	-999
572	-21.7726	-999	-999
571	-21.1135	-999	-999
570	-21.6025	-999	-999
569	-23.1561	-999	-999
568	-23.7366	-999	-999
567	-23.3761	-999	-999
566	-23.6055	-999	-999
565	-22.456	-999	-999
564	-22.6711	-999	-999
563	-21.0031	-999	-999
562	-21.8798	-999	-999
561	-23.5548	-999	-999
560	-21.3157	-999	-999
559	-20.8983	-999	-999
558	-21.4242	-999	-999
557	-22.231	-999	-999
556	-20.1591	-999	-999
555	-22.6085	-999	-999
554	-22.7295	-999	-999
553	-19.8714	-999	-999
552	-21.6384	-999	-999
551	-21.2971	-999	-999
550	-21.8703	-999	-999
549	-22.027	-999	-999
548	-21.4215	-999	-999
547	-21.9477	-999	-999
546	-22.1956	-999	-999
545	-20.8346	-999	-999
544	-21.5418	-999	-999
543	-21.4738	-999	-999
542	-22.8064	-999	-999
541	-21.2607	-999	-999
540	-20.7816	-999	-999
539	-22.4353	-999	-999
538	-21.6924	-999	-999
537	-21.4457	-999	-999
536	-21.952	-999	-999
535	-21.6852	-999	-999
534	-23.018	-999	-999
533	-22.4463	-999	-999
532	-22.7713	-999	-999
531	-21.9985	-999	-999
530	-21.5531	-999	-999
529	-21.4886	-999	-999
528	-23.6481	-999	-999
527	-23.8303	-999	-999
526	-21.4143	-999	-999
525	-21.4679	-999	-999
524	-23.9975	-999	-999
523	-21.8776	-999	-999
522	-22.2897	-999	-999
521	-21.595	-999	-999
520	-21.9367	-999	-999
519	-21.8613	-999	-999
518	-22.4164	-999	-999
517	-22.2893	-999	-999
516	-21.2483	-999	-999
515	-21.823	-999	-999
514	-22.7581	-999	-999
513	-22.7834	-999	-999
512	-22.1955	-999	-999
511	-22.1427	-999	-999
510	-21.9475	-999	-999
509	-21.316	-999	-999
508	-22.2682	-999	-999
507	-21.9166	-999	-999
506	-22.5941	-999	-999
505	-21.244	-999	-999
504	-22.0503	-999	-999
503	-22.412	-999	-999
502	-22.398	-999	-999
501	-21.0376	-999	-999
500	-21.791	-999	-999
499	-21.8242	-999	-999
498	-22.2348	-999	-999
497	-21.2769	-999	-999
496	-20.4252	-999	-999
495	-23.4558	-999	-999
494	-22.2311	-999	-999
493	-22.6941	-999	-999
492	-21.5782	-999	-999
491	-21.4571	-999	-999
490	-20.7965	-999	-999
489	-22.4347	-999	-999
488	-21.6368	-999	-999
487	-22.1765	-999	-999
486	-21.7355	-999	-999
485	-22.0646	-999	-999
484	-21.0237	-999	-999
483	-21.1004	-999	-999
482	-20.8468	-999	-999
481	-22.1432	-999	-999
480	-22.3517	-999	-999
479	-21.3998	-999	-999
478	-21.7445	-999	-999
477	-22.6437	-999	-999
476	-22.4702	-999	-999
475	-22.1495	-999	-999
474	-21.9963	-999	-999
473	-22.0934	-999	-999
472	-21.9015	-999	-999
471	-22.3689	-999	-999
470	-23.1221	-999	-999
469	-22.2076	-999	-999
468	-21.8809	-999	-999
467	-21.8822	-999	-999
466	-22.1452	-999	-999
465	-22.1368	-999	-999
464	-21.5463	-999	-999
463	-21.6864	-999	-999
462	-22.777	-999	-999
461	-22.1004	-999	-999
460	-22.1778	-999	-999
459	-22.4261	-999	-999
458	-21.7246	-999	-999
457	-21.9817	-999	-999
456	-24.004	-999	-999
455	-22.8563	-999	-999
454	-22.5276	-999	-999
453	-22.0205	-999	-999
452	-20.5627	-999	-999
451	-22.0861	-999	-999
450	-21.5021	-999	-999
449	-21.7111	-999	-999
448	-21.6971	-999	-999
447	-21.8383	-999	-999
446	-22.7164	-999	-999
445	-22.1843	-999	-999
444	-21.4643	-999	-999
443	-20.8527	-999	-999
442	-22.5144	-999	-999
441	-21.5815	-999	-999
440	-21.5952	-999	-999
439	-23.0336	-999	-999
438	-22.9936	-999	-999
437	-21.4636	-999	-999
436	-21.4784	-999	-999
435	-21.6092	-999	-999
434	-23.1175	-999	-999
433	-22.9819	-999	-999
432	-22.6574	-999	-999
431	-21.3089	-999	-999
430	-21.5514	-999	-999
429	-22.0127	-999	-999
428	-22.0185	-999	-999
427	-22.0282	-999	-999
426	-23.3598	-999	-999
425	-22.2959	-999	-999
424	-21.1317	-999	-999
423	-22.5368	-999	-999
422	-21.7254	-999	-999
421	-22.0331	-999	-999
420	-22.0846	-999	-999
419	-21.7373	-999	-999
418	-21.532	-999	-999
417	-21.8961	-999	-999
416	-22.1952	-999	-999
415	-21.3692	-999	-999
414	-21.5705	-999	-999
413	-20.8876	-999	-999
412	-21.6922	-999	-999
411	-22.101	-999	-999
410	-21.0559	-999	-999
409	-24.1305	-999	-999
408	-21.7094	-999	-999
407	-22.6238	-999	-999
406	-23.2138	-999	-999
405	-22.5141	-999	-999
404	-20.999	-999	-999
403	-21.0821	-999	-999
402	-23.3897	-999	-999
401	-23.4292	-999	-999
400	-23.3837	-999	-999
399	-21.659	-999	-999
398	-22.1845	-999	-999
397	-22.7736	-999	-999
396	-21.5191	-999	-999
395	-22.2996	-999	-999
394	-21.811	-999	-999
393	-20.9494	-999	-999
392	-22.3604	-999	-999
391	-21.9962	-999	-999
390	-21.6289	-999	-999
389	-20.4241	-999	-999
388	-20.8499	-999	-999
387	-21.412	-999	-999
386	-21.0959	-999	-999
385	-22.3291	-999	-999
384	-21.9938	-999	-999
383	-22.591	-999	-999
382	-23.568	-999	-999
381	-22.0892	-999	-999
380	-22.5124	-999	-999
379	-23.3283	-999	-999
378	-22.5604	-999	-999
377	-22.5465	-999	-999
376	-22.4775	-999	-999
375	-21.7783	-999	-999
374	-22.2539	-999	-999
373	-21.723	-999	-999
372	-21.8985	-999	-999
371	-21.6867	-999	-999
370	-21.8671	-999	-999
369	-21.6811	-999	-999
368	-20.4684	-999	-999
367	-22.1225	-999	-999
366	-21.5676	-999	-999
365	-22.6024	-999	-999
364	-21.4171	-999	-999
363	-21.1478	-999	-999
362	-21.0814	-999	-999
361	-21.3628	-999	-999
360	-22.2924	-999	-999
359	-21.674	-999	-999
358	-22.3317	-999	-999
357	-22.6939	-999	-999
356	-21.7788	-999	-999
355	-21.8822	-999	-999
354	-20.8655	-999	-999
353	-22.7159	-999	-999
352	-21.7705	-999	-999
351	-22.6969	-999	-999
350	-23.1598	-999	-999
349	-21.6379	-999	-999
348	-21.1126	-999	-999
347	-21.8375	-999	-999
346	-22.749	-999	-999
345	-20.9609	-999	-999
344	-22.4659	-999	-999
343	-22.0578	-999	-999
342	-22.8645	-999	-999
341	-22.324	-999	-999
340	-22.8905	-999	-999
339	-22.0672	-999	-999
338	-22.4091	-999	-999
337	-21.7235	-999	-999
336	-21.3464	-999	-999
335	-20.9803	-999	-999
334	-21.5813	-999	-999
333	-23.4649	-999	-999
332	-21.5617	-999	-999
331	-22.8659	-999	-999
330	-21.8826	-999	-999
329	-21.2802	-999	-999
328	-20.6725	-999	-999
327	-21.6048	-999	-999
326	-21.2655	-999	-999
325	-22.1084	-999	-999
324	-22.5804	-999	-999
323	-21.8009	-999	-999
322	-22.0111	-999	-999
321	-22.1195	-999	-999
320	-22.4639	-999	-999
319	-22.9264	-999	-999
318	-22.1292	-999	-999
317	-21.1902	-999	-999
316	-21.8097	-999	-999
315	-22.4059	-999	-999
314	-23.0075	-999	-999
313	-22.2144	-999	-999
312	-21.8127	-999	-999
311	-21.5575	-999	-999
310	-21.7995	-999	-999
309	-21.5314	-999	-999
308	-21.7056	-999	-999
307	-23.8098	-999	-999
306	-24.213	-999	-999
305	-23.0393	-999	-999
304	-20.8838	-999	-999
303	-22.3529	-999	-999
302	-21.6283	-999	-999
301	-21.5271	-999	-999
300	-21.601	-999	-999
299	-22.0051	-999	-999
298	-21.3177	-999	-999
297	-22.397	-999	-999
296	-22.0026	-999	-999
295	-22.0764	-999	-999
294	-20.9265	-999	-999
293	-21.7384	-999	-999
292	-22.41	-999	-999
291	-22.2658	-999	-999
290	-20.9249	-999	-999
289	-22.1745	-999	-999
288	-23.4186	-999	-999
287	-22.3859	-999	-999
286	-23.6127	-999	-999
285	-23.0693	-999	-999
284	-22.0493	-999	-999
283	-22.1077	-999	-999
282	-22.0418	-999	-999
281	-23.2001	-999	-999
280	-22.7095	-999	-999
279	-21.5344	-999	-999
278	-21.0078	-999	-999
277	-21.4344	-999	-999
276	-22.3737	-999	-999
275	-22.4026	-999	-999
274	-24.039	-999	-999
273	-22.3785	-999	-999
272	-22.6797	-999	-999
271	-22.5414	-999	-999
270	-22.1054	-999	-999
269	-21.5375	-999	-999
268	-22.6786	-999	-999
267	-22.9978	-999	-999
266	-23.3145	-999	-999
265	-21.9523	-999	-999
264	-22.2363	-999	-999
263	-21.7309	-999	-999
262	-21.6011	-999	-999
261	-21.3733	-999	-999
260	-22.4855	-999	-999
259	-22.4255	-999	-999
258	-20.5838	-999	-999
257	-21.595	-999	-999
256	-22.6224	-999	-999
255	-22.9367	-999	-999
254	-22.6004	-999	-999
253	-21.8089	-999	-999
252	-22.3601	-999	-999
251	-22.4249	-999	-999
250	-22.2833	-999	-999
249	-21.3737	-999	-999
248	-21.3414	-999	-999
247	-21.2373	-999	-999
246	-20.974	-999	-999
245	-21.901	-999	-999
244	-21.7852	-999	-999
243	-22.4331	-999	-999
242	-22.7531	-999	-999
241	-22.6072	-999	-999
240	-22.5376	-999	-999
239	-21.6217	-999	-999
238	-22.5875	-999	-999
237	-22.1157	-999	-999
236	-23.3466	-999	-999
235	-23.2525	-999	-999
234	-23.3506	-999	-999
233	-22.2759	-999	-999
232	-21.4768	-999	-999
231	-23.4244	-999	-999
230	-21.9771	-999	-999
229	-21.6234	-999	-999
228	-21.7332	-999	-999
227	-22.4275	-999	-999
226	-21.6397	-999	-999
225	-22.7767	-999	-999
224	-21.4293	-999	-999
223	-22.6851	-999	-999
222	-22.0356	-999	-999
221	-23.009	-999	-999
220	-22.2085	-999	-999
219	-23.3444	-999	-999
218	-22.289	-999	-999
217	-23.3804	-999	-999
216	-21.8103	-999	-999
215	-21.3681	-999	-999
214	-20.8517	-999	-999
213	-21.7015	-999	-999
212	-21.8969	-999	-999
211	-23.4352	-999	-999
210	-22.8235	-999	-999
209	-22.3184	-999	-999
208	-22.9797	-999	-999
207	-22.2408	-999	-999
206	-21.5707	-999	-999
205	-21.5221	-999	-999
204	-22.1882	-999	-999
203	-21.0767	-999	-999
202	-21.2913	-999	-999
201	-21.4672	-999	-999
200	-20.8864	-999	-999
199	-22.1354	-999	-999
198	-22.0912	-999	-999
197	-21.9606	-999	-999
196	-22.5528	-999	-999
195	-23.2099	-999	-999
194	-22.8822	-999	-999
193	-21.9564	-999	-999
192	-22.5939	-999	-999
191	-22.0912	-999	-999
190	-22.5821	-999	-999
189	-22.2265	-999	-999
188	-22.6234	-999	-999
187	-22.0504	-999	-999
186	-22.8845	-999	-999
185	-22.2899	-999	-999
184	-22.006	-999	-999
183	-20.6845	-999	-999
182	-20.3104	-999	-999
181	-21.2045	-999	-999
180	-20.7774	-999	-999
179	-22.6154	-999	-999
178	-22.405	-999	-999
177	-22.5961	-999	-999
176	-22.5868	-999	-999
175	-21.8451	-999	-999
174	-22.8067	-999	-999
173	-23.1218	-999	-999
