#
# GIK23258-2
# 56	GIK23258-2	Foram transfer function	±1.5 C uncertainty	75	14	-1768	40	Winter and Summer*	Sarnthein et al., 2003 (51)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
93	3.16	5110	2	5121.01	73.56	0.83
94	3.59	5168	2.34	5181.07	114.9	1.09
95	3.82	5227	2.53	5239.87	143.76	1.24
96	3.08	5285	1.92	5298.46	165.93	0.76
97	4.45	5343	3.08	5356.91	183.77	1.71
98	3.95	5401	2.65	5415.28	198.4	1.35
99	4.42	5460	3.06	5473.59	210.47	1.7
100	4.84	5518	3.37	5531.84	220.39	1.9
101	5.75	5576	4.19	5590.04	228.44	2.62
102	5.4	5635	3.87	5648.21	234.78	2.34
103	4.77	5693	3.3	5706.33	239.56	1.83
104	3.88	5751	2.6	5764.42	242.86	1.32
105	4.61	5809	3.2	5822.48	244.73	1.79
106	5.92	5868	4.32	5880.5	245.19	2.71
107	4.93	5926	3.45	5938.49	244.25	1.96
108	4.91	5984	3.41	5996.45	241.89	1.91
109	4.38	6042	2.95	6054.37	238.06	1.51
110	3.99	6101	2.67	6112.25	232.67	1.35
111	3.32	6159	2.13	6170.09	225.61	0.94
112	2.82	6217	1.68	6227.89	216.69	0.54
113	4.38	6276	3.02	6285.63	205.66	1.66
114	3.49	6334	2.26	6343.31	192.13	1.02
115	4.1	6392	2.8	6400.9	175.49	1.49
116	2.71	6450	1.59	6458.36	154.64	0.47
117	2.84	6509	1.72	6515.6	127.3	0.6
118	3.43	6567	2.24	6571.59	84.33	1.05
119	2.55	6610	1.48	6616.02	118.39	0.4
120	2.69	6652	1.58	6659.61	141.41	0.47
121	2.58	6695	1.48	6703.05	159.75	0.37
122	2.6	6738	1.5	6746.42	175.01	0.4
123	2.71	6781	1.59	6789.73	188.01	0.47
124	2.67	6824	1.56	6833.01	199.21	0.45
125	3.38	6866	2.17	6876.25	208.91	0.96
126	4.75	6909	3.29	6919.46	217.34	1.83
