#
# ASTM E-490 Reference Spectra Derived from SMARTS v. 2.9.2 (AM1.5)
# Wavelength (nm),
# Irradiance W*m-2*nm-1
#
Wavelength,Irradiance
254.5,5.957E-02
255.5,7.930E-02
256.5,1.018E-01
257.5,1.254E-01
258.5,1.251E-01
259.5,1.040E-01
260.5,8.551E-02
261.5,8.980E-02
262.5,1.036E-01
263.5,1.658E-01
264.5,2.497E-01
265.5,2.527E-01
266.5,2.494E-01
267.5,2.508E-01
268.5,2.438E-01
269.5,2.389E-01
270.5,2.673E-01
271.5,2.244E-01
272.5,1.974E-01
273.5,1.965E-01
274.5,1.326E-01
275.5,1.751E-01
276.5,2.428E-01
277.5,2.338E-01
278.5,1.593E-01
279.5,8.555E-02
280.5,9.463E-02
281.5,2.083E-01
282.5,2.941E-01
283.5,3.135E-01
284.5,2.353E-01
285.5,1.631E-01
286.5,3.227E-01
287.5,3.363E-01
288.5,3.222E-01
289.5,4.727E-01
290.5,6.013E-01
291.5,5.808E-01
292.5,5.219E-01
293.5,5.355E-01
294.5,5.088E-01
295.5,5.532E-01
296.5,5.096E-01
297.5,5.073E-01
298.5,4.655E-01
299.5,4.840E-01
300.5,4.200E-01
301.5,4.555E-01
302.5,4.890E-01
303.5,6.206E-01
304.5,6.025E-01
305.5,5.948E-01
306.5,5.557E-01
307.5,6.150E-01
308.5,6.114E-01
309.5,4.965E-01
310.5,6.224E-01
311.5,7.292E-01
312.5,6.559E-01
313.5,6.999E-01
314.5,6.629E-01
315.5,6.330E-01
316.5,6.332E-01
317.5,7.739E-01
318.5,6.649E-01
319.5,7.105E-01
320.5,8.051E-01
321.5,6.995E-01
322.5,6.886E-01
323.5,6.613E-01
324.5,7.608E-01
325.5,8.758E-01
326.5,9.795E-01
327.5,9.527E-01
328.5,9.176E-01
329.5,1.061E+00
330.5,1.016E+00
331.5,9.657E-01
332.5,9.549E-01
333.5,9.216E-01
334.5,9.589E-01
335.5,9.434E-01
336.5,8.095E-01
337.5,8.418E-01
338.5,9.215E-01
339.5,9.581E-01
340.5,1.007E+00
341.5,9.238E-01
342.5,9.930E-01
343.5,9.506E-01
344.5,7.957E-01
345.5,9.392E-01
346.5,9.264E-01
347.5,9.017E-01
348.5,8.972E-01
349.5,8.898E-01
350.5,1.050E+00
351.5,9.795E-01
352.5,9.079E-01
353.5,1.033E+00
354.5,1.111E+00
355.5,1.045E+00
356.5,9.123E-01
357.5,7.960E-01
358.5,6.936E-01
359.5,9.911E-01
360.5,9.708E-01
361.5,8.781E-01
362.5,9.978E-01
363.5,9.969E-01
364.5,1.013E+00
365.5,1.152E+00
366.5,1.233E+00
367.5,1.180E+00
368.5,1.101E+00
369.5,1.226E+00
370.5,1.139E+00
371.5,1.175E+00
372.5,1.054E+00
373.5,9.202E-01
374.5,9.004E-01
375.5,1.062E+00
376.5,1.085E+00
377.5,1.282E+00
378.5,1.327E+00
379.5,1.066E+00
380.5,1.202E+00
381.5,1.082E+00
382.5,7.913E-01
383.5,6.841E-01
384.5,9.597E-01
385.5,1.008E+00
386.5,1.007E+00
387.5,1.004E+00
388.5,9.843E-01
389.5,1.174E+00
390.5,1.247E+00
391.5,1.342E+00
392.5,1.019E+00
393.5,5.823E-01
394.5,1.026E+00
395.5,1.314E+00
396.5,8.545E-01
397.5,9.288E-01
398.5,1.522E+00
399.5,1.663E+00
400.5,1.682E+00
401.5,1.746E+00
402.5,1.759E+00
403.5,1.684E+00
404.5,1.674E+00
405.5,1.667E+00
406.5,1.589E+00
407.5,1.628E+00
408.5,1.735E+00
409.5,1.715E+00
410.5,1.532E+00
411.5,1.817E+00
412.5,1.789E+00
413.5,1.756E+00
414.5,1.737E+00
415.5,1.734E+00
416.5,1.842E+00
417.5,1.665E+00
418.5,1.684E+00
419.5,1.701E+00
420.5,1.757E+00
421.5,1.797E+00
422.5,1.582E+00
423.5,1.711E+00
424.5,1.767E+00
425.5,1.695E+00
426.5,1.698E+00
427.5,1.569E+00
428.5,1.587E+00
429.5,1.475E+00
430.5,1.135E+00
431.5,1.686E+00
432.5,1.646E+00
433.5,1.731E+00
434.5,1.670E+00
435.5,1.723E+00
436.5,1.929E+00
437.5,1.806E+00
438.5,1.567E+00
439.5,1.825E+00
440.5,1.713E+00
441.5,1.931E+00
442.5,1.980E+00
443.5,1.909E+00
444.5,1.973E+00
445.5,1.821E+00
446.5,1.891E+00
447.5,2.077E+00
448.5,1.973E+00
449.5,2.027E+00
450.5,2.144E+00
451.5,2.109E+00
452.5,1.941E+00
453.5,1.970E+00
454.5,1.979E+00
455.5,2.034E+00
456.5,2.077E+00
457.5,2.100E+00
458.5,1.971E+00
459.5,2.009E+00
460.5,2.040E+00
461.5,2.055E+00
462.5,2.104E+00
463.5,2.040E+00
464.5,1.976E+00
465.5,2.042E+00
466.5,1.921E+00
467.5,2.015E+00
468.5,1.994E+00
469.5,1.990E+00
470.5,1.877E+00
471.5,2.018E+00
472.5,2.041E+00
473.5,1.991E+00
474.5,2.051E+00
475.5,2.016E+00
476.5,1.956E+00
477.5,2.075E+00
478.5,2.009E+00
479.5,2.076E+00
480.5,2.035E+00
481.5,2.090E+00
482.5,2.023E+00
483.5,2.019E+00
484.5,1.969E+00
485.5,1.830E+00
486.5,1.625E+00
