Year,Birthrate,Deathrate,Population,Workforce,Labor_Prod,GDP,Investment,Consumption,Coal,Oil,Gas,Nuclear,Renewable,CO2,Food,Land,Yield,BioCapacity,BioFootprint
1970,10.4036,5.8101,595.374,379.204,21255.4,8.060,2.078,5.982,566.6,963.2,114.9,11.0,131.8,5195.7,663.1,169.1,3.920,2139.7,1738.3
1975,9.4396,5.8885,621.516,397.568,24257.9,9.644,2.179,7.465,512.4,1073.3,224.9,33.2,153.1,5621.1,706.4,173.4,4.073,2199.5,1771.3
1980,8.9811,5.9735,641.189,416.370,27515.2,11.457,2.613,8.844,576.4,1110.9,291.0,80.1,170.3,6256.5,745.5,176.1,4.234,2184.4,1784.0
1985,8.5176,6.0340,657.808,438.969,28741.7,12.617,2.666,9.950,620.4,950.6,329.9,191.2,195.3,5976.1,841.5,183.3,4.591,2165.8,1717.7
1990,8.1984,6.1572,673.722,454.736,33981.4,15.453,3.796,11.657,591.7,1069.4,384.4,249.6,202.7,6268.8,840.3,172.8,4.864,2142.4,1793.3
1995,7.7033,6.2604,691.037,466.900,36318.3,16.957,3.969,12.988,524.1,1167.2,468.1,299.8,224.8,6477.5,798.4,168.4,4.741,2181.8,1819.0
2000,7.4232,6.2499,702.814,474.640,40826.2,19.378,4.617,14.761,531.4,1210.4,575.3,324.9,253.2,6600.8,868.0,173.5,5.002,2181.6,1720.6
2005,7.6935,6.4180,719.529,484.427,44269.7,21.445,5.011,16.434,569.0,1238.0,644.8,342.5,264.9,6845.7,858.2,168.4,5.096,2108.8,1691.6
2010,7.7399,6.8168,737.137,492.932,44673.8,22.021,4.637,17.384,535.0,1142.7,678.0,326.1,318.6,6787.5,865.9,167.9,5.156,2055.7,1668.5
2015,7.0467,7.2443,741.753,488.779,47801.0,23.364,5.150,18.214,529.2,1028.2,771.1,332.7,362.9,6678.8,901.0,170.0,5.300,2010.0,1637.0
2020,6.4447,7.6480,740.765,482.555,50788.6,24.508,5.991,18.517,482.2,934.2,843.8,301.4,452.0,6375.0,935.0,170.0,5.500,1990.0,1598.0
2025,6.1719,8.0316,734.748,475.205,53581.9,25.462,6.686,18.776,446.2,862.6,862.6,267.7,535.4,6065.6,986.0,170.0,5.800,1970.0,1553.4
2030,6.1663,8.4231,725.449,459.152,56127.1,25.771,7.208,18.563,400.4,743.6,872.3,214.5,629.2,5561.2,1037.0,170.0,6.100,1950.0,1506.9
2035,6.0704,8.8123,714.166,438.879,58372.1,25.618,7.583,18.035,367.3,621.2,837.2,172.9,702.2,5002.1,1062.5,170.0,6.250,1930.0,1461.2
2040,5.8138,9.1464,700.456,416.915,60269.2,25.127,7.834,17.293,329.7,503.3,755.0,148.5,780.1,4338.8,1088.0,170.0,6.400,1910.0,1415.2
2045,5.4020,9.3822,683.793,397.304,61776.0,24.544,8.175,16.369,280.2,397.0,677.2,116.8,864.0,3672.9,1072.5,165.0,6.500,1870.0,1367.7
2050,5.1120,9.4834,663.892,378.838,62857.1,23.813,8.502,15.310,247.5,279.8,581.1,96.9,947.1,3001.8,1023.0,155.0,6.600,1750.0,1318.0
